,个人所得税,企业所得税,关税,各项税收,国内增值税,国内消费税,营业税
1978年,,,28.76,519.28,,,
1979年,,,26.0,537.82,,,
1980年,,,33.53,571.7,,,
1981年,,,54.04,629.89,,,
1982年,,,47.46,700.02,,,
1983年,,,53.88,775.59,,,
1984年,,,103.07,947.35,,,
1985年,,696.06,205.21,2040.79,147.7,,211.07
1986年,,692.4,151.62,2090.73,232.19,,261.07
1987年,,664.71,142.67,2140.36,254.2,,302.0
1988年,,676.04,155.02,2390.47,384.37,,397.92
1989年,,700.43,181.54,2727.4,430.83,,487.3
1990年,21.1,716.0,159.01,2821.86,400.0,,515.75
1991年,,731.13,187.28,2990.17,406.36,,564.0
1992年,,720.78,212.75,3296.91,705.93,,658.67
1993年,,678.6,256.47,4255.3,1081.48,,966.09
1994年,,708.49,272.68,5126.88,2308.34,487.4,670.02
1995年,131.3,878.44,291.83,6038.04,2602.33,541.48,865.56
1996年,,968.48,301.84,6909.82,2962.81,620.23,1052.57
1997年,,963.18,319.49,8234.04,3283.92,678.7,1324.27
1998年,,925.54,313.04,9262.8,3628.46,814.93,1575.08
1999年,413.657,811.41,562.23,10682.58,3881.87,820.66,1668.56
2000年,659.6373,999.63,750.48,12581.51,4553.17,858.29,1868.78
2001年,995.2563,2630.87,840.52,15301.38,5357.13,929.99,2064.09
2002年,1211.7805,3082.79,704.27,17636.45,6178.39,1046.32,2450.33
2003年,1418.0331,2919.51,923.13,20017.31,7236.54,1182.26,2844.45
2004年,1737.0555,3957.33,1043.77,24165.68,9017.94,1501.9,3581.97
2005年,2094.9104,5343.92,1066.17,28778.54,10792.11,1633.81,4232.46
2006年,2453.7087,7039.6,1141.78,34804.35,12784.81,1885.69,5128.71
2007年,3185.58,8779.25,1432.57,45621.97,15470.23,2206.83,6582.17
2008年,3722.31,11175.63,1769.95,54223.79,17996.94,2568.27,7626.39
2009年,3949.35,11536.84,1483.81,59521.59,18481.22,4761.22,9013.98
2010年,4837.27,12843.54,2027.83,73210.79,21093.48,6071.55,11157.91
2011年,6054.11,16769.64,2559.12,89738.39,24266.63,6936.21,13679.0
2012年,5820.28,19654.53,2783.93,100614.28,26415.51,7875.58,15747.64
2013年,6531.53,22427.2,2630.61,110530.7,28810.13,8231.32,17233.02
2014年,7376.61,24642.19,2843.41,119175.31,30855.36,8907.12,17781.73
