,中央财政支出,中央财政支出比重,全国财政支出,地方财政支出,地方财政支出比重
1978年,532.12,47.422221034,1122.09,589.97,52.577778966
1979年,655.08,51.1,1281.79,626.71,48.9
1980年,666.81,54.2638119187,1228.83,562.02,45.7361880813
1981年,625.65,55.0,1138.41,512.76,45.0
1982年,651.81,53.0,1229.98,578.17,47.0
1983年,759.6,53.9,1409.52,649.92,46.1
1984年,893.33,52.5,1701.02,807.69,47.5
1985年,795.25,39.6781838593,2004.25,1209.0,60.3218161407
1986年,836.36,37.9,2204.91,1368.55,62.1
1987年,845.63,37.4,2262.18,1416.55,62.6
1988年,845.04,33.9,2491.21,1646.17,66.1
1989年,888.77,31.5,2823.78,1935.01,68.5
1990年,1004.47,32.5746937822,3083.59,2079.12,67.4253062178
1991年,1090.81,32.2094005232,3386.62,2295.81,67.7905994768
1992年,1170.44,31.2767890546,3742.2,2571.76,68.7232109454
1993年,1312.06,28.2631454236,4642.3,3330.24,71.7368545764
1994年,1754.43,30.2873311213,5792.62,4038.19,69.7126688787
1995年,1995.39,29.2419677243,6823.72,4828.33,70.7580322757
1996年,2151.27,27.1024434492,7937.55,5786.28,72.8975565508
1997年,2532.5,27.4271245327,9233.56,6701.06,72.5728754673
1998年,3125.6,28.9456186135,10798.18,7672.58,71.0543813865
1999年,4152.33,31.4864566675,13187.67,9035.34,68.5135433325
2000年,5519.85,34.7,15886.5,10366.65,65.3
2001年,5768.02,30.5,18902.58,13134.56,69.5
2002年,6771.7,30.71,22053.15,15281.45,69.29
2003年,7420.1,30.1018866164,24649.95,17229.85,69.8981133836
2004年,7894.08,27.7112735016,28486.89,20592.81,72.2887264984
2005年,8775.97,25.8647143495,33930.28,25154.31,74.1352856505
2006年,9991.4,24.7172815888,40422.73,30431.33,75.2827184112
2007年,11442.06,23.0,49781.35,38339.29,77.0
2008年,13344.17,21.3190652067,62592.66,49248.49,78.6809347933
2009年,15255.79,19.9945006503,76299.93,61044.14,80.0054993497
2010年,15989.73,17.8,89874.16,73884.43,82.2
2011年,16514.11,15.1,109247.79,92733.68,84.9
2012年,18764.63,0.0,125952.97,107188.34,0.0
2013年,20471.76,0.0,140212.1,119740.34,0.0
2014年,22570.07,0.0,151785.56,129215.4933,0.0
