,国家外债余额中国际商业贷款,国家外债余额中国际金融组织贷款,国家外债余额中外国政府贷款,国家外债余额中短期债务余额,国家外债余额中贸易信贷,国家外债余额中长期债务余额,国家外债债务率,国家外债偿债率,国家外债负债率,外债余额
1978年,,,,,,,,,,
1979年,,,,,,,,,,
1980年,,,,,,,,,,
1981年,,,,,,,,,,
1982年,,,,,,,,,,
1983年,,,,,,,,,,
1984年,,,,,,,,,,
1985年,,,,64.2,,94.1,56.0,2.7,5.18584188568,158.3
1986年,,,,47.7,,167.1,72.1,15.4,7.26962263041,214.8
1987年,,,,57.2,,244.8,77.0998212918,9.0,9.39664952978,302.0
1988年,,,,73.1,,326.9,87.1269875844,6.5,9.97313862746,400.0
1989年,,,,42.7,,370.3,86.365537432,8.3,9.19609620798,413.0
1990年,291.9,62.9,83.9,67.7,,457.8,91.5983963744,8.7,13.5517853773,525.5
1991年,315.9,70.7,95.1,103.0,,502.6,91.8968133536,8.5,14.9126667839,605.6
1992年,354.8,84.2,115.0,108.5,,584.7,87.9472215174,7.1,14.3505757543,693.2
1993年,410.8,104.64,143.15,135.5,,700.2,96.5457486137,10.2,13.6279600385,835.7
1994年,473.35,129.39,195.91,104.2,,823.9,78.037501051,9.1,16.5961564173,928.1
1995年,526.27,147.99,220.58,119.16,,946.74,72.3920130399,7.6,14.6417917887,1065.9
1996年,569.44,167.39,221.64,141.08,,1021.67,67.7306616962,6.0,13.5826907006,1162.75
1997年,647.68,192.12,207.82,181.4,,1128.2,63.1924338931,7.3,13.7468781482,1309.6
1998年,682.2,229.5,224.1,173.4,,1287.0,70.4078680937,10.9,14.3252501599,1460.43
1999年,653.8,251.39,265.6,151.8,,1366.5,68.7137943519,11.2,14.0157932246,1518.3
2000年,947.7,263.5,246.1,130.8,,1326.5,52.1283445414,9.2,12.1595649045,1457.3
2001年,972.3,275.7,237.0,837.7,216.1,1195.3,67.900203734,7.5,15.3455300716,2033.0
2002年,929.1,277.02,244.23,870.8,263.23,1155.5,55.4542966612,7.89,13.9377270574,2026.3
2003年,1051.73,264.67,254.2,1027.7,365.74,1165.9,45.2288659794,6.85,13.3677118014,2193.6
2004年,1247.83,251.01,322.08,1387.0,809.0,1242.9,40.1511450382,3.19,13.6148540262,2629.9
2005年,1362.6,267.9,272.0,1716.4,1063.0,1249.0,35.4385755258,3.07,13.1355184781,2965.4
2006年,1635.1,278.11,276.67,1992.3,1196.0,1393.6,31.8911180183,2.09,12.4779294323,3385.9
2007年,1820.9,283.71,300.57,2356.9,1487.0,1535.3,29.0006705909,1.98,11.1343077074,3892.2
2008年,2010.34,270.54,324.73,2262.8,1296.0,1638.76,24.6671303028,1.78,8.62838197074,3901.6
2009年,1986.49,333.75,349.23,2592.59,1617.0,1693.88,32.1592017406,2.86998274439,8.58927574077,4286.47
2010年,2701.08,355.46,320.84,3756.95,2112.0,1732.43,29.2487212276,1.63,9.3372061872,5489.38
2011年,3774.97,350.0,333.0,5009.01,2492.0,1940.96,33.31,1.72,9.52,6949.97
2012年,3803.43,340.98,310.45,5409.29,2915.0,1960.57,32.78,1.62,8.96,7369.86
2013年,4668.71915,332.79616,265.15127,6766.25,3365.0,1865.42,35.59,1.57,9.4,8631.66658
2014年,4957.0,421.4,232.2,6833.6,3344.0,2121.0,35.2,1.9,8.6,8954.6
