,预算外一般公共服务资金支出,预算外交通运输资金支出,预算外其他资金支出,预算外城乡社区事务资金支出,预算外教育资金支出,预算外社会保障和就业资金支出,预算外资金支出
1978年,,,,,,,
1979年,,,,,,,
1980年,,,,,,,
1981年,,,,,,,
1982年,,,,,,,734.5
1983年,,,,,,,875.81
1984年,,,,,,,1114.74
1985年,,,,,,,1375.03
1986年,,,,,,,1578.37
1987年,,,,,,,1840.75
1988年,,,,,,,2145.27
1989年,,,,,,,2503.1
1990年,,,,,,,2707.06
1991年,,,,,,,3092.26
1992年,,,,,,,3649.9
1993年,,,,,,,1314.3
1994年,,,,,,,1710.39
1995年,,,,,,,2331.26
1996年,,,,,,,3838.32
1997年,,,,,,,2685.54
1998年,,,,,,,2918.31
1999年,,,,,,,3139.14
2000年,,,,,,,3529.01
2001年,,,,,,,3850.0
2002年,,,,,,,3831.0
2003年,,,,,,,4156.36
2004年,,,,,,,4351.73
2005年,,,,,,,5242.48
2006年,,,,,,,5866.95
2007年,611.71,975.956,1300.87,771.0177,2196.93,255.9392,6112.4235
2008年,565.3817,1066.1976,1363.3103,807.6638,2325.9793,217.8273,6346.36
2009年,539.63,1047.53,1456.63,646.84,2365.21,172.45,6228.29
2010年,378.57,355.97,1740.79,612.85,2482.29,184.22,5754.69
2011年,,,,,,,
2012年,,,,,,,
2013年,,,,,,,
2014年,,,,,,,
