,中央财政收入,中央财政收入比重,全国财政收入,地方财政收入,地方财政收入比重
1978年,175.77,15.5238196174,1132.26,956.49,84.4761803826
1979年,231.34,20.2,1146.38,915.04,79.8
1980年,284.45,24.5230315622,1159.93,875.48,75.4769684378
1981年,311.07,26.5,1175.79,864.72,73.5
1982年,346.84,28.6,1212.33,865.49,71.4
1983年,490.01,35.8,1366.95,876.94,64.2
1984年,665.47,40.5,1642.86,977.39,59.5
1985年,769.63,38.388982552,2004.82,1235.19,61.611017448
1986年,778.42,36.7,2122.01,1343.59,63.3
1987年,736.29,33.5,2199.35,1463.06,66.5
1988年,774.76,32.9,2357.24,1582.48,67.1
1989年,822.52,30.9,2664.9,1842.38,69.1
1990年,992.42,33.7891117088,2937.1,1944.68,66.2108882912
1991年,938.25,29.7906321043,3149.48,2211.23,70.2093678957
1992年,979.51,28.1196083103,3483.37,2503.86,71.8803916897
1993年,957.51,22.0170385955,4348.95,3391.44,77.9829614045
1994年,2906.5,55.7003507024,5218.1,2311.6,44.2996492976
1995年,3256.62,52.1710294447,6242.2,2985.58,47.8289705553
1996年,3661.07,49.4205580731,7407.99,3746.92,50.5794419269
1997年,4226.92,48.9,8651.14,4424.22,51.1
1998年,4892.0,49.5,9875.95,4983.95,50.5
1999年,5849.21,51.1,11444.08,5594.87,48.9
2000年,6989.17,52.2,13395.23,6406.06,47.8
2001年,8582.74,52.4,16386.04,7803.3,47.6
2002年,10388.64,54.96,18903.64,8515.0,45.04
2003年,11865.27,54.6402643304,21715.25,9849.98,45.3597356696
2004年,14503.1,54.9433314379,26396.47,11893.37,45.0566685621
2005年,16548.53,52.2872077067,31649.29,15100.76,47.7127922933
2006年,20456.62,52.7773850496,38760.2,18303.58,47.2226149504
2007年,27749.16,54.1,51321.78,23572.62,45.9
2008年,32680.56,53.2861136452,61330.35,28649.79,46.7138863548
2009年,35915.71,52.4176898726,68518.3,32602.59,47.5823101274
2010年,42488.47,51.1,83101.51,40613.04,48.9
2011年,51327.32,49.4,103874.43,52547.11,50.6
2012年,56175.23,,117253.52,61078.29,
2013年,60198.48,,129209.64,69011.16,
2014年,64493.45,,140370.03,75876.58,
