,CPCI-S收录中医学科技论文篇数,CPCI-S收录临床医学科技论文篇数,CPCI-S收录交通运输科技论文篇数,CPCI-S收录信息、系统科学科技论文篇数,CPCI-S收录其他学科科技论文篇数,CPCI-S收录军事医学与特种医学科技论文篇数,CPCI-S收录农学科技论文篇数,CPCI-S收录冶金、金属学科技论文篇数,CPCI-S收录力学科技论文篇数,CPCI-S收录动力与电气科技论文篇数,CPCI-S收录化学科技论文篇数,CPCI-S收录化工科技论文篇数,CPCI-S收录土木建筑科技论文篇数,CPCI-S收录地学科技论文篇数,CPCI-S收录基础医学科技论文篇数,CPCI-S收录天文学科技论文篇数,CPCI-S收录安全科学技术科技论文篇数,CPCI-S收录工程与技术基础学科科技论文篇数,CPCI-S收录数学科技论文篇数,CPCI-S收录机械、仪表科技论文篇数,CPCI-S收录材料科学科技论文篇数,CPCI-S收录林学科技论文篇数,CPCI-S收录核科学技术科技论文篇数,CPCI-S收录水产学科技论文篇数,CPCI-S收录水利科技论文篇数,CPCI-S收录测绘科学技术科技论文篇数,CPCI-S收录物理学科技论文篇数,CPCI-S收录环境科技论文篇数,CPCI-S收录生物学科技论文篇数,CPCI-S收录电子、通讯与自动控制科技论文篇数,CPCI-S收录畜牧、兽医科学科技论文篇数,CPCI-S收录矿山工程技术科技论文篇数,CPCI-S收录科技论文篇数,CPCI-S收录管理科技论文篇数,CPCI-S收录能源科学技术科技论文篇数,CPCI-S收录航空航天科技论文篇数,CPCI-S收录药学科技论文篇数,CPCI-S收录计算技术科技论文篇数,CPCI-S收录轻工、纺织科技论文篇数,CPCI-S收录预防医学与卫生学科技论文篇数,CPCI-S收录食品科技论文篇数
1998年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1999年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2001年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2002年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2004年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2005年,2,1284,303,1553,1,0,101,355,353,733,1300,273,334,829,376,88,918,285,241,900,1975,30,126,21,368,2591,1561,512,449,4529,3,18,29374,635,290,13,22,5834,115,21,32
2006年,0,707,225,848,487,187,103,238,204,1286,1047,255,1534,1131,954,123,86,658,637,487,1247,6,124,7,50,60,2192,752,355,7872,1,160,35461,1211,73,296,64,9762,2,14,16
2007年,0,546,16,447,7,0,204,500,473,739,493,41,337,1046,840,86,483,1022,2062,912,3305,1,121,17,8,121,1583,341,812,5134,0,522,41392,2144,314,81,91,16183,98,203,59
2008年,0,126,50,1117,75,0,695,396,530,233,1150,133,1950,1738,1149,195,115,3,1320,916,3323,14,41,6,123,3,2272,2327,350,19049,1,212,59299,2907,1087,716,2,14810,138,14,13
2009年,0,98,90,0,4040,0,105,322,31,0,520,58,1791,522,630,66,840,314,611,1154,2256,14,79,2,220,0,1122,0,888,12605,0,1,52159,595,1308,190,5,21567,0,49,66
2010年,169,1760,4,5091,5239,1,764,349,843,42,1398,72,2774,1857,2713,82,0,447,726,2716,8063,14,202,8,112,4,4785,1637,1204,16131,5,51,86754,2657,2414,592,101,21349,27,347,4
2011年,18,715,680,40,1173,0,122,210,383,62,858,57,3005,281,1574,133,178,197,117,901,14391,7,71,1,65,2,3545,193,658,12070,1,305,50458,27,1550,171,226,6316,13,92,50
2012年,6,908,5,69,887,11,313,266,1907,369,1326,50,3991,290,623,176,257,383,119,328,15125,0,122,0,147,0,2214,1207,677,8977,10,3,56351,59,4469,213,35,10783,10,1,15
2013年,0,2629,188,106,336,7,291,104,401,25,658,27,3697,478,592,23,1669,19,62,4797,9070,0,30,25,11,0,2919,0,520,10165,26,3,48707,233,3780,61,90,5637,0,28,0
2014年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
