,技术市场成交额
1978年,0.0
1979年,0.0
1980年,0.0
1981年,0.0
1982年,0.0
1983年,0.0
1984年,0.0
1985年,0.0
1986年,0.0
1987年,0.0
1988年,0.0
1989年,0.0
1990年,0.0
1991年,0.0
1992年,0.0
1993年,0.0
1994年,0.0
1995年,268.3447
1996年,300.2045
1997年,351.3718
1998年,435.8228
1999年,523.4544
2000年,650.75
2001年,782.7489
2002年,884.1713
2003年,1084.6728
2004年,1334.363
2005年,1551.3694
2006年,1818.1813
2007年,2226.5261
2008年,2665.22881729
2009年,3039.00244054
2010年,3906.57532061
2011年,4763.5589398
2012年,6437.0682977
2013年,7469.12536746
2014年,8577.17898723
