,专利申请受理量,企业发明专利申请受理量,企业外观设计专利申请受理量,企业实用新型专利申请受理量,发明专利申请受理量,国内发明专利申请受理量,国内外观设计专利申请受理量,国内实用新型专利申请受理量,国外发明专利申请受理量,国外外观设计专利申请受理量,国外实用新型专利申请受理量,外观设计专利申请受理量,大专院校发明专利申请受理量,大专院校外观设计专利申请受理量,大专院校实用新型专利申请受理量,实用新型专利申请受理量,机关团体发明专利申请受理量,机关团体外观设计专利申请受理量,机关团体实用新型专利申请受理量,科研单位发明专利申请受理量,科研单位外观设计专利申请受理量,科研单位实用新型专利申请受理量,职务发明专利申请受理量,职务外观设计专利申请受理量,职务实用新型专利申请受理量,非职务发明专利申请受理量,非职务外观设计专利申请受理量,非职务实用新型专利申请受理量
1978年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1980年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1981年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1982年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1983年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1984年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1985年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1986年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1987年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1988年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1989年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1990年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1991年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1992年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1993年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1994年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1995年,83045,1086,6031,4739,21636,10018,15433,43429,11618,2235,312,17668,574,18,771,43741,468,2040,1841,865,104,1376,11045,2013,190,573,222,122
1996年,102735,1725,11032,7544,28517,11471,21395,49341,17046,3219,263,24614,604,5,711,49604,123,147,404,1036,265,1534,16329,2994,142,717,225,121
1997年,114208,2239,14793,8437,33666,12713,27456,49902,20953,2957,227,30413,635,9,649,50129,112,22,293,1262,171,1396,20003,2853,151,950,104,76
1998年,121989,2480,15695,9004,35960,13726,31287,51220,22234,3345,177,34632,794,32,619,51397,96,53,244,1248,191,1422,21351,3229,117,883,116,60
1999年,134239,3490,17634,11512,36694,15596,37148,57214,21098,2905,278,40053,988,34,747,57492,118,56,329,1413,170,1465,20245,2742,201,853,163,77
2000年,170682,8316,22634,14912,51747,25346,46532,68461,26401,3588,354,50120,1942,17,965,68815,123,45,299,2228,278,1616,25334,3432,259,1067,156,95
2001年,203573,9371,23260,18671,63204,30038,56460,79275,33166,4187,447,60647,2636,37,1137,79722,149,31,452,2659,159,1542,31820,4003,294,1346,184,153
2002年,252631,14657,30505,23800,80232,39806,73572,92166,40426,5688,973,79260,4282,41,1658,93139,300,114,512,3429,302,1642,38764,5458,640,1662,230,333
2003年,308487,21858,33261,28998,105318,56769,86627,107842,48549,7427,1273,94054,7704,173,2375,109115,458,64,567,4711,183,2104,46764,7192,1076,1785,235,197
2004年,353807,27029,33186,29933,130133,65786,101579,111578,64347,9270,1247,110849,9683,470,2844,112825,495,371,560,4543,285,1881,62113,8904,1020,2234,366,227
2005年,476264,40196,47552,39649,173327,93485,151587,138085,79842,11784,1481,163371,14643,1435,3843,139566,705,387,726,6726,359,2661,77575,11230,1171,2267,554,310
2006年,573178,56455,60069,50350,210490,122318,188027,159997,88172,13295,1369,201322,17312,1262,4376,161366,873,1639,1352,6845,342,2691,85834,12697,1077,2338,598,292
2007年,693917,73893,86208,63371,245161,153060,253439,179999,92101,13993,1325,267432,23001,3302,6377,181324,1022,3439,1369,9748,773,3598,89632,13519,1002,2469,474,323
2008年,828328,95619,108517,91374,289838,194579,298620,223945,95259,14284,1641,312904,30808,4975,9362,225586,1590,1880,1649,12435,1453,4724,92827,13776,1331,2432,508,310
2009年,976686,118257,128424,147618,314573,229096,339654,308861,85477,11688,1910,351342,37965,9850,13764,310771,1627,2266,2009,14332,917,6022,82647,10972,1612,2830,716,298
2010年,1222286,154581,173338,212081,391177,293066,409124,407238,98111,12149,2598,421273,48294,12815,18223,409836,2625,4950,4701,18254,1234,7474,95517,11535,2248,2594,614,350
2011年,1633347,231551,231586,336298,526412,415829,507538,581303,110583,13930,4164,521468,63028,14467,32641,585467,4423,2300,8140,25222,2176,10512,107899,13315,3772,2684,615,392
2012年,2050649,316414,330804,450002,652777,535313,642401,734437,117464,15181,5853,657582,75688,16961,39999,740290,6807,2106,9416,29518,2815,12786,114700,14456,5482,2764,725,371
2013年,2377061,426544,332458,551056,825136,704936,644398,885226,120200,15165,7136,659563,98509,13150,55997,892362,9438,2853,12033,36582,2090,14360,117654,14289,6666,2546,876,470
2014年,2361243,484747,255962,565757,928177,801135,548428,861053,127042,16127,7458,564555,111993,11607,60369,868511,11658,2366,12734,39625,1192,15044,124362,15183,6985,2680,944,473
