,大中型工业企业专利申请数,大中型工业企业办研究与试验发展机构人员数,大中型工业企业办研究与试验发展机构数,大中型工业企业办研究与试验发展机构科学家和工程师数,大中型工业企业办研究与试验发展机构经费支出,大中型工业企业发明专利申请数,大中型工业企业基础研究研究与试验发展人员全时当量,大中型工业企业基础研究研究与试验发展经费支出,大中型工业企业应用研究研究与试验发展人员全时当量,大中型工业企业应用研究研究与试验发展经费支出,大中型工业企业开发新产品经费,大中型工业企业引进国外技术经费支出,大中型工业企业引进技术消化吸收经费支出,大中型工业企业技术改造经费支出,大中型工业企业新产品出口销售收入,大中型工业企业新产品销售收入,大中型工业企业新产品项目数,大中型工业企业有效发明专利数,大中型工业企业有研究与试验发展活动企业所占比重,大中型工业企业有研究与试验发展活动企业数,大中型工业企业有科技机构的企业数,大中型工业企业来源于企业的科技经费筹集额,大中型工业企业来源于政府的科技经费筹集额,大中型工业企业来源于金融机构贷款的科技经费筹集额,大中型工业企业的科学家和工程师人员,大中型工业企业的科技经费内部支出,大中型工业企业研究与试验发展人员全时当量,大中型工业企业研究与试验发展折合全时科学家和工程师人员,大中型工业企业研究与试验发展经费支出,大中型工业企业研究与试验发展经费支出与主营业务收入之比,大中型工业企业研究与试验发展经费支出中企业资金支出,大中型工业企业研究与试验发展经费支出中政府资金支出,大中型工业企业研究与试验发展项目数,大中型工业企业研究与试验发展项目经费支出,大中型工业企业科技活动人员,大中型工业企业科技经费用于劳务费的内部支出,大中型工业企业科技经费用于固定资产购建的内部支出,大中型工业企业科技经费筹集额,大中型工业企业试验发展研究与试验发展人员全时当量,大中型工业企业试验发展研究与试验发展经费支出,大中型工业企业购买国内技术经费支出
2005年,55271.0,64.316,9352.0,43.0585,1018.3,18292.0,,49000.0,,669000.0,14571954.7,296.76495,69.38244,2792.85007,55389000.0,240970909.9,81033.0,22971.0,24.0627297231,6874.0,6775.0,2358.5643,81.8716,169.4354,103.1237,2543.3232,606376.22,47.7251,12502918.0,0.757873575314,1181.89,45.4,70580.0,1142.3,167.9221,501.42375,846.19403,2665.8,,11785000.0,83.38757
2006年,69009.0,75.7744,10464.0,50.7562,1335.1,25685.0,,34263.3399671,,782122.640272,18629418.0,320.42721,81.86105,3019.55695,73351890.0,312328083.9,100760.0,29176.0,24.0083315465,7838.0,7579.0,2892.4443,105.376,253.6952,117.5502,3175.8025,695668.23,54.2185,16301909.0,0.772336497153,1547.5,60.0,87207.0,1491.0,189.2497,609.67226,1084.56594,3300.7919,,15485524.0296,87.43111
2007年,95905.0,88.2994,11847.0,60.7672,1791.8,36074.0,2638.0,24538.4290745,31592.0,538650.609074,24533447.9,452.45278,106.61292,3650.01851,99224158.0,409761681.4,112369.0,43652.0,24.6993269337,8954.0,8820.0,3826.10559,144.25171,267.63003,140.1152,4123.73007,857649.74,68.1726,21124560.5,0.808509326177,1996.877,85.709,92913.0,1967.6,220.1557,810.5697,1423.48615,4312.55794,823420.0,20561371.9619,129.58535
2008年,122076.0,107.4587,13241.0,74.1493,2336.3442,43773.0,1097.0,18260.4,15458.0,380763.7,30955692.2,440.42558,106.44565,4167.2,132107457.9,512916075.0,121358.0,55723.0,24.8722528154,10027.0,9941.0,4705.54287,192.74441,261.07314,158.8618,5040.6721,1014223.11,79.032107,26813109.5,0.837681123198,2541.67434,111.8855,103234.0,2520.92866,246.7763,1015.0243,1704.3231,5220.36653,997668.0,26414084.8,166.2
2009年,166762.0,127.9651,15217.0,,2625.0606,63011.0,,,,,36546131.0,394.61297,163.8464,3671.3512,106787198.0,579780546.0,152770.0,81592.0,30.4924381695,12434.0,11741.0,,,,,,1158839.0,,32102300.0,0.96,,,133852.0,2696.4029,,,,,,,174.7221
2010年,198890.0,148.5379,16717.0,,3276.8798,72523.0,,,,,44206917.4,386.1321,165.2015,3638.4926,147736448.5,728638981.6,159637.0,113074.0,28.3,12889.0,12568.0,,,,,,1369908.313,,40153965.2,0.93,,,145589.0,3446.2199,,,,,,,221.4127
2011年,265612.0,,,,,97822.0,,,,,56971680.7,,,,189565814.7,886502359.4,176044.0,146469.0,,,,,,,,,1587164.6,,50306960.2,,,,161226.0,,,,,,,,
2012年,327116.0,,,,,124695.0,,,,,65718382.0,,,,205652136.0,981921709.0,210730.0,204636.0,,,,,,,,,1818585.0,,59923237.0,,,,192755.0,,,,,,,,
2013年,359791.0,,,,,139723.0,,,,,74406399.3,,,,212932265.0,1125619063.0,222508.0,244175.0,,,,,,,,,1976735.7,,67440645.6,,,,205146.0,,,,,,,,
2014年,393480.0,,,,,158680.0,,,,,79532787.9,,,,249545313.6,1236008137.2,225206.0,313626.0,,,,,,,,,2037661.2,,73196923.1,,,,210997.0,,,,,,,,
