,产品质量一等品率,产品质量优等品率,产品质量合格品率,质量损失率
1978年,0.0,0.0,0.0,0.0
1979年,0.0,0.0,0.0,0.0
1980年,0.0,0.0,0.0,0.0
1981年,0.0,0.0,0.0,0.0
1982年,0.0,0.0,0.0,0.0
1983年,0.0,0.0,0.0,0.0
1984年,0.0,0.0,0.0,0.0
1985年,0.0,0.0,0.0,0.0
1986年,0.0,0.0,0.0,0.0
1987年,0.0,0.0,0.0,0.0
1988年,0.0,0.0,0.0,0.0
1989年,0.0,0.0,0.0,0.0
1990年,0.0,0.0,0.0,0.0
1991年,0.0,0.0,0.0,0.0
1992年,0.0,0.0,0.0,0.0
1993年,0.0,0.0,0.0,0.0
1994年,0.0,0.0,0.0,0.0
1995年,31.8,17.77,47.65,1.0
1996年,33.53,16.28,47.34,0.81
1997年,40.0,15.85,43.78,0.74
1998年,39.5,19.8,40.17,0.72
1999年,40.35,20.62,38.24,0.65
2000年,42.67,21.81,34.39,0.62
2001年,45.73,27.75,27.13,0.58
2002年,43.81,24.64,30.9,0.33
2003年,49.39,31.49,19.12,0.46
2004年,41.71,27.76,30.82,0.37
2005年,36.42,39.0,24.56,0.38
2006年,35.17,50.41,14.42,0.36
2007年,37.2,48.46,14.34,0.25
2008年,33.32,54.59,12.09,0.25
2009年,29.9,58.42,11.68,0.35
2010年,20.42,70.75,8.83,0.25
2011年,32.9,57.64,9.46,0.25
2012年,34.41,53.37,12.22,0.18
2013年,19.21,75.03,5.76,0.09
2014年,22.06,68.19,9.75,0.19
