,专利申请受理数,专利申请授权数,出版科技著作,发明专利申请受理数,发明专利申请授权数,发表科技论文,国家技术发明奖,国家科学技术进步奖,技术市场成交额,来源于企业资金的科技经费筹集额,来源于政府资金的科技经费筹集额,来源于金融机构贷款的科技经费筹集额,研究与试验发展人员全时当量,研究与试验发展人员全时当量中研究人员,研究与试验发展人员全时当量中科学家和工程师,研究与试验发展企业资金经费支出,研究与试验发展基础研究人员全时当量,研究与试验发展基础研究经费支出,研究与试验发展应用研究人员全时当量,研究与试验发展应用研究经费支出,研究与试验发展政府资金经费支出,研究与试验发展经费支出,研究与试验发展试验发展人员全时当量,研究与试验发展试验发展经费支出,科学家和工程师人员,科技成果登记数,科技活动人员,科技经费内部支出,科技经费内部支出中劳务费,科技经费内部支出中固定资产构建费,科技经费筹集额,高技术产品出口额,高技术产品进出口额,高技术产品进口额
1978年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1979年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1980年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1981年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1982年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1983年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1984年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1985年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1986年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1987年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1988年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1989年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1991年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1992年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1993年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1994年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1995年,83045.0,45064.0,,21636.0,3393.0,,131.0,607.0,268.3447,305.1918,248.7311,127.0806,75.17,,,,6.66,,22.79,,,348.69,45.71,,,31000.0,,846.9113,178.7382,241.0676,962.507,100.91,319.18,218.27
1996年,102735.0,43780.0,,28517.0,2976.0,,111.0,536.0,300.2045,312.8228,271.9714,149.788,80.4,,,,6.96,,23.65,,,404.48,49.79,,,31099.0,,932.9752,187.1553,269.0765,1043.173,126.63,351.32,224.69
1997年,114208.0,50992.0,,33666.0,3494.0,,100.0,475.0,351.3718,348.3689,309.8706,155.1858,83.12,,,,7.17,,25.27,,,509.16,50.68,,,30566.0,,1065.2257,211.5154,293.4338,1181.9282,163.1,402.03,238.93
1998年,121989.0,67889.0,,35960.0,4733.0,,72.0,471.0,435.8228,402.504,353.83,170.9832,75.52,,,,7.87,28.95,24.97,124.62,,551.12,42.68,397.54,,28584.0,,1128.4682,236.2408,304.5921,1289.7557,202.51,494.52,292.01
1999年,134239.0,100156.0,,36694.0,7637.0,,69.0,476.0,523.4544,510.2899,472.9764,128.7921,82.17,,,,7.6,33.9,24.15,151.55,,678.91,50.42,493.46,,31060.0,,1284.9277,270.1568,357.4264,1460.6085,247.04,623.02,375.98
2000年,170682.0,105345.0,,51747.0,12683.0,,23.0,250.0,650.75,1296.3664,593.392,196.2129,92.2,,,,7.9488,46.73,21.9676,151.9,,895.66,62.2966,697.03,,32858.0,,2050.2472,475.7702,607.3208,2346.6834,370.43,895.5,525.07
2001年,203573.0,114251.0,,63204.0,16296.0,,14.0,191.0,782.7489,1458.3833,656.3595,190.7606,95.65,,,,7.88,55.6,22.6,184.85,,1042.49,65.17,802.03,,28448.0,,2312.5469,549.3008,692.2875,2589.3991,464.52,1105.59,641.07
