,人文社科学校数,普通高校数,理工农医学校数,高等学校专利申请受理数,高等学校专利申请授权数,高等学校出版科技著作,高等学校发明专利申请受理数,高等学校发明专利申请授权数,高等学校发表科技论文中国外发表数,高等学校发表科技论文数量,高等学校固定资产购建费,高等学校基础研究机构研究与试验发展折合全时人员,高等学校基础研究经费支出,高等学校应用研究机构研究与试验发展折合全时人员,高等学校来源于企业的科技经费筹集额,高等学校来源于政府的科技经费筹集额,高等学校来源于金融机构贷款科技经费筹集额,高等学校构应用研究经费支出,高等学校用于劳务费的科技经费内部支出,高等学校的科学家和工程师人员,高等学校的科技经费内部支出,高等学校研究与试验发展人员,高等学校研究与试验发展企业资金经费支出,高等学校研究与试验发展政府资金经费支出,高等学校研究与试验发展机构数,高等学校研究与试验发展经费支出,高等学校研究与试验发展项目(课题)人员全时当量,高等学校研究与试验发展项目(课题)数,高等学校研究与试验发展项目(课题)经费支出,高等学校科技活动人员,高等学校科技经费筹集额,高等学校科研和开发机构研究与试验发展折合全时人员,高等学校科研和开发机构研究与试验发展折合全时科学家和工程师人员,高等学校试验发展机构研究与试验发展折合全时人员,高等学校试验发展经费支出
1978年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1979年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1980年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1981年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1982年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1983年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1984年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1985年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1986年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1987年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1988年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1989年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1991年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1992年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1993年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1994年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1995年,,1054.0,,,,,,,,,7.8,3.94,6.5,7.76,,22.0525,1.1748,23.3,5.5082,30.7985,44.3889,,,,3431.0,42.3,,,,32.4279,49.4756,14.42,13.22,2.72,12.5
1996年,,1032.0,,,,,,,,,9.6,4.12,7.5,8.03,,25.8241,0.8302,26.7,6.6018,31.6354,51.1824,,,,3398.0,47.8,,,,33.2008,56.538,14.81,13.16,2.66,13.7
1997年,,1020.0,,,,,,,,,12.6,4.34,9.7,9.23,,36.47,0.7126,31.6,8.0622,31.1622,62.9892,,,,3306.0,57.7,,,,32.6202,73.0763,16.58,15.69,3.01,16.4
1998年,,1022.0,,,,,,,,,13.2,4.6,9.5,9.3,36.7733,41.1494,,31.4,7.0565,31.1417,73.1542,,,,3241.0,57.3,,,,34.5159,84.9566,16.9,16.1,3.0,16.3
1999年,,1071.0,,,,,,,,,17.0,4.7,11.4,9.8,53.2425,49.2174,0.4509,37.7,8.9185,32.8991,85.0978,,,,3124.0,63.5,,,,34.191,102.946,17.6,16.8,3.1,14.4
2000年,,1041.0,,,,,,,,,27.4,5.1,17.8,8.7,55.4523,97.4653,1.3797,40.0,28.5406,31.511,137.145,,,,3735.0,76.7,,,,35.2231,166.7784,15.9,14.7,2.1,18.9
2001年,,1225.0,,,,,,,,,51.2638,5.1,19.0,9.2,72.4562,109.8293,0.9721,56.6,29.8112,35.8844,165.9188,,,,3481.0,102.4,,,,36.641,200.0002,17.1,16.8,2.8,26.8
