,高技术产业专利申请数(大中型工业企业口径),高技术产业全部建成或投产项目数(大中型工业企业口径),高技术产业固定资产投资额(大中型工业企业口径),高技术产业新产品开发经费(大中型工业企业口径),高技术产业新增固定资产(大中型工业企业口径),高技术产业新开工项目数(大中型工业企业口径),高技术产业施工项目数(大中型工业企业口径),高技术产业有效发明专利数(大中型工业企业口径),高技术产业研究与试验发展人员全时当量(大中型工业企业口径),高技术产业研究与试验发展机构数(大中型工业企业口径),高技术产业研究与试验发展经费(大中型工业企业口径)
1978年,,,,,,,,,,,
1979年,,,,,,,,,,,
1980年,,,,,,,,,,,
1981年,,,,,,,,,,,
1982年,,,,,,,,,,,
1983年,,,,,,,,,,,
1984年,,,,,,,,,,,
1985年,,,,,,,,,,,
1986年,,,,,,,,,,,
1987年,,,,,,,,,,,
1988年,,,,,,,,,,,
1989年,,,,,,,,,,,
1990年,,,,,,,,,,,
1991年,,,,,,,,,,,
1992年,,,,,,,,,,,
1993年,,,,,,,,,,,
1994年,,,,,,,,,,,
1995年,612.0,,,32.28067,,,,410.0,5.7838,2138.0,17.84741
1996年,,,,,,,,,,,
1997年,,,,,,,,,,,
1998年,,,,,,,,,,,
1999年,,,,,,,,,,,
2000年,2245.0,1282.0,562.9501,117.79403,421.0174,1640.0,2734.0,1443.0,9.1573,1379.0,111.041
2001年,,,,,,,,,,,
2002年,,,,,,,,,,,
2003年,8270.0,,,207.5842,,,,3356.0,12.7847,,222.4421
2004年,11026.0,,,258.8201,,,,4535.0,12.083003,,292.1315
2005年,16823.0,3158.0,2144.0,415.69158,1464.0,4460.0,7095.0,6658.0,17.3161,1619.0,362.49852
2006年,24301.0,,,509.95343,,,,8141.0,18.898654,,456.43672
2007年,34446.0,,,652.02839,,,,13386.0,24.8228,,545.32441
2008年,39656.0,4290.0,4169.23,798.4007,2574.17,4872.0,8534.0,23915.0,28.5079,2534.0,655.1994
2009年,51513.0,5412.0,4882.2,925.07433,3160.5,6220.0,9780.0,31830.0,32.0033,2845.0,774.04986
2010年,59683.0,6011.0,6944.7,1006.93846,4450.4,7117.0,10723.0,50166.0,39.90749,3184.0,967.82997
2011年,77725.0,7735.0,9468.46,1528.0302,6355.15,8447.0,13204.0,67428.0,42.6718,3254.0,1237.8065
2012年,97200.0,8968.0,12932.7,1827.4769,8377.1,10223.0,15681.0,97878.0,52.6,4566.0,1491.494
2013年,102532.0,10528.0,15557.7,2069.5,9874.3,11637.0,17691.0,115884.0,55.9,4583.0,1734.4
2014年,120077.0,11914.0,17451.7,2350.6,11790.7,12039.0,18403.0,147927.0,57.3,4763.0,1922.2
