,县市级群众业余文艺团体数,县市级群众文化机构举办展览,县市级群众文化机构举办训练班班次,县市级群众文化机构从业人员,县市级群众文化机构参加培训人次,县市级群众文化机构参加文艺活动人次,县市级群众文化机构参加研讨和讲座人次,县市级群众文化机构参观展览人次,县市级群众文化机构总支出,县市级群众文化机构拥有计算机台数,县市级群众文化机构收入,县市级群众文化机构数,县市级群众文化机构组织各类理论研讨和讲座次数,县市级群众文化机构组织文艺活动,县市级群众文化机构藏书,县市级群众文化机构馆办文艺团体数,县市级群众文化机构馆办文艺团体演出场次,县市级群众文化机构馆办老年大学数
1989年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2955.0,0.0,0.0,0.0,0.0,0.0,0.0
1990年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2955.0,0.0,0.0,0.0,0.0,0.0,0.0
1991年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2894.0,0.0,0.0,0.0,0.0,0.0,0.0
1992年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2900.0,0.0,0.0,0.0,0.0,0.0,0.0
1993年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2886.0,0.0,0.0,0.0,0.0,0.0,0.0
1994年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2887.0,0.0,0.0,0.0,0.0,0.0,0.0
1995年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2886.0,0.0,0.0,0.0,0.0,0.0,0.0
1996年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2892.0,0.0,0.0,0.0,0.0,0.0,0.0
1997年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2901.0,0.0,0.0,0.0,0.0,0.0,0.0
1998年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2901.0,0.0,0.0,0.0,0.0,0.0,0.0
1999年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2905.0,0.0,0.0,0.0,0.0,0.0,0.0
2000年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2907.0,0.0,0.0,0.0,0.0,0.0,0.0
2001年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2842.0,0.0,0.0,0.0,0.0,0.0,0.0
2002年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2854.0,0.0,0.0,0.0,0.0,0.0,0.0
2003年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2846.0,0.0,0.0,0.0,0.0,0.0,0.0
2004年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2841.0,0.0,0.0,0.0,0.0,0.0,0.0
2005年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2851.0,0.0,0.0,0.0,0.0,0.0,0.0
2006年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2819.0,0.0,0.0,0.0,0.0,0.0,0.0
2007年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2806.0,0.0,0.0,0.0,0.0,0.0,0.0
2008年,69337.0,14523.0,55771.0,39768.0,0.0,0.0,0.0,0.0,229382.4,8512.0,23.40783,2829.0,10026.0,89172.0,442.8,5193.0,0.0,554.0
2009年,64675.0,15593.0,53997.0,40325.0,278.702,0.0,0.0,0.0,265100.0,11618.0,26.97,2862.0,9542.0,109580.0,356.787,4353.0,64391.0,697.0
2010年,74986.0,15516.0,71898.0,40040.0,335.8,0.0,0.0,0.0,302000.0,13657.0,31.2,2890.0,10360.0,118875.0,410.0,4745.0,63380.0,686.0
2011年,47090.0,16602.0,77173.0,40633.0,457.16,10092.0,244.39,2447.39,391034.1,19393.0,40.40567,2906.0,13464.0,129646.0,429.34,6702.0,118501.0,609.0
2012年,50559.0,18408.0,84720.0,41792.0,571.61,11219.39,286.85,2971.07,445495.3,24367.0,45.76992,2919.0,16350.0,136066.0,463.04,7155.0,104592.0,626.0
2013年,54770.0,19033.0,83533.0,43672.0,643.0,12620.0,333.0,2907.0,529600.0,28242.0,53.73,2930.0,19030.0,146316.0,486.0,4957.0,107174.0,632.0
2014年,64198.0,20726.0,113209.0,43110.0,788.236,11778.576,337.224,3227.331,556355.0,32308.0,57.51443,2928.0,20807.0,315636.0,524.477,5289.0,120008.0,617.0
