,乡镇(街道)文化站举办展览,乡镇(街道)文化站举办训练班班次,乡镇(街道)文化站从业人员数,乡镇(街道)文化站办文艺团体数,乡镇(街道)文化站办文艺团体演出场次,乡镇(街道)文化站办老年大学数,乡镇(街道)文化站参加培训人次,乡镇(街道)文化站参加文艺活动人次,乡镇(街道)文化站参加研讨和讲座人次,乡镇(街道)文化站参观展览人次,乡镇(街道)文化站拥有计算机台数,乡镇(街道)文化站支出,乡镇(街道)文化站收入,乡镇(街道)文化站数,乡镇(街道)文化站组织各类理论研讨和讲座次数,乡镇(街道)文化站组织文艺活动,乡镇(街道)文化站群众业余文艺团体数,乡镇(街道)文化站藏书
1978年,,,,,,,,,,,,,,4053.0,,,,
1979年,,,,,,,,,,,,,,,,,,
1980年,,,,,,,,,,,,,,5609.0,,,,
1981年,,,,,,,,,,,,,,,,,,
1982年,,,,,,,,,,,,,,,,,,
1983年,,,,,,,,,,,,,,,,,,
1984年,,,,,,,,,,,,,,,,,,
1985年,,,,,,,,,,,,,,5281.0,,,,
1986年,,,,,,,,,,,,,,5583.0,,,,
1987年,,,,,,,,,,,,,,5653.0,,,,
1988年,,,,,,,,,,,,,,5712.0,,,,
1989年,,,,,,,,,,,,,,5716.0,,,,
1990年,,,,,,,,,,,,,,5895.0,,,,
1991年,,,,,,,,,,,,,,7242.0,,,,
1992年,,,,,,,,,,,,,,6292.0,,,,
1993年,,,,,,,,,,,,,,6899.0,,,,
1994年,,,,,,,,,,,,,,8015.0,,,,
1995年,,,,,,,,,,,,,,10228.0,,,,
1996年,,,,,,,,,,,,,,41969.0,,,,
1997年,,,,,,,,,,,,,,42163.0,,,,
1998年,,,,,,,,,,,,,,42547.0,,,,
1999年,,,,,,,,,,,,,,42543.0,,,,
2000年,,,,,,,,,,,,,,42024.0,,,,
2001年,,,,,,,,,,,,,,40138.0,,,,
2002年,,,,,,,,,,,,,,39273.0,,,,
2003年,,,,,,,,,,,,,,38588.0,,,,
2004年,,,,,,,,,,,,,,38181.0,,,,
2005年,,,,,,,,,,,,,,38362.0,,,,
2006年,,,,,,,,,,,,,,36874.0,,,,
2007年,,,,,,,,,,,,,,37384.0,,,,
2008年,83924.0,222622.0,,,,,,,,,,322379.6,31.74289,37938.0,,371570.0,,11959.3
2009年,92159.0,235728.0,,,,,1244.451,,,,68467.0,408300.0,41.06,38736.0,,427818.0,189431.0,13525.488
2010年,99237.0,267796.0,89842.0,,,,1375.8,,,,96009.0,483000.0,48.6,40118.0,,438767.0,222568.0,15686.6
2011年,88385.0,236761.0,95728.0,,,,1799.26,15282.0,,4371.95,144137.0,704813.7,70.28511,40390.0,,470417.0,216752.0,17526.53
2012年,92844.0,268730.0,102631.0,,,,1962.63,17949.63,,4933.37,202460.0,811821.1,77.36331,40575.0,,531246.0,247971.0,20265.67
2013年,115494.0,282426.0,108434.0,,,,2244.0,15314.0,,5093.0,255418.0,850800.0,86.24,40945.0,,570207.0,282094.0,22461.0
2014年,106842.0,324757.0,114856.0,,,,2552.459,19076.835,,5690.382,300653.0,1003105.9,104.68612,41110.0,,1088406.0,331269.0,24243.466
