,借方储备资产,借方其它债权储备资产,借方在基金组织的储备头寸储备资产,借方外汇储备资产,借方特别提款权储备资产,借方货币黄金储备资产
1978年,,,,,,
1979年,,,,,,
1980年,,,,,,
1981年,,,,,,
1982年,427800.0,0.0,0.0,427800.0,0.0,0.0
1983年,269500.0,48300.0,17600.0,191500.0,12100.0,0.0
1984年,15000.0,0.0,7900.0,0.0,7100.0,0.0
1985年,15400.0,0.0,7700.0,0.0,7700.0,0.0
1986年,12400.0,0.0,3800.0,0.0,8600.0,0.0
1987年,166000.0,7900.0,5900.0,145100.0,7100.0,0.0
1988年,53100.0,8200.0,0.0,44900.0,0.0,0.0
1989年,225700.0,7900.0,0.0,217800.0,0.0,0.0
1990年,608900.0,49200.0,3200.0,554300.0,2200.0,0.0
1991年,1109100.0,45400.0,300.0,1061900.0,1500.0,0.0
1992年,32500.0,0.0,32500.0,0.0,0.0,0.0
1993年,182100.0,0.0,0.0,175600.0,6500.0,0.0
1994年,3052700.0,0.0,5100.0,3042100.0,5500.0,0.0
1995年,2246300.0,0.0,46100.0,2195900.0,4300.0,0.0
1996年,3166200.0,0.0,18000.0,3145000.0,3200.0,0.0
1997年,3573562.0,0.0,87400.0,3486162.0,0.0,0.0
1998年,648800.0,0.0,128300.0,517600.0,12200.0,0.0
1999年,975732.0,0.0,0.0,971632.0,5400.0,0.0
2000年,1112840.0,0.0,17300.0,1089840.0,5700.0,0.0
2001年,4732512.97227,0.0,71725.9243995,4659104.0,5370.6,0.0
2002年,7569131.95213,0.0,130600.0,7424215.0,14316.9521266,0.0
2003年,10641430.6,0.0,27400.0,10596930.6,17100.0,0.0
2004年,19054700.0,0.0,900.0,19037700.0,16100.0,0.0
2005年,25259289.7,0.0,0.0,25257289.7,2000.0,0.0
2006年,28542243.6,0.0,0.0,28526743.6,15500.0,0.0
2007年,46118318.5517,0.0,20896.07193,46086510.0,10912.47975,0.0
2008年,47964407.4813,0.0,123599.87622,47834166.0,6641.60505,0.0
2009年,40048518.9787,0.0,244031.88602,38205148.0,1111776.4779,487562.614774
2010年,47173902.7211,0.0,207558.403384,46955634.0,10710.3177216,0.0
2011年,38881789.0467,0.0,400031.046706,38481758.0,0.0,0.0
2012年,11010259.7941,0.0,0.0,10991331.0,18928.79406,0.0
2013年,43269968.6863,0.0,0.0,43269605.0,363.6863,0.0
2014年,14900802.1301,,35736.7398016,14857249.0,7816.3903437,
