,借方经常项目,借方经常项目中专有权利使用费和特许费服务,借方经常项目中保险服务,借方经常项目中其它商业服务,借方经常项目中其它部门经常转移,借方经常项目中别处未提及的政府服务,借方经常项目中各级政府经常转移,借方经常项目中咨询服务,借方经常项目中广告、宣传服务,借方经常项目中建筑服务,借方经常项目中投资收益,借方经常项目中收益,借方经常项目中旅游服务,借方经常项目中服务,借方经常项目中电影、音像服务,借方经常项目中经常转移,借方经常项目中职工报酬,借方经常项目中计算机和信息服务,借方经常项目中货物,借方经常项目中货物和服务,借方经常项目中运输服务,借方经常项目中通讯服务,借方经常项目中金融服务
1978年,,,,,,,,,,,,,,,,,,,,,,,
1979年,,,,,,,,,,,,,,,,,,,,,,,
1980年,,,,,,,,,,,,,,,,,,,,,,,
1981年,,,,,,,,,,,,,,,,,,,,,,,
1982年,1972700.0,0.0,8900.0,45700.0,1300.0,15900.0,17300.0,0.0,0.0,0.0,64100.0,64100.0,6600.0,202400.0,0.0,18600.0,0.0,0.0,1687600.0,1890000.0,124700.0,600.0,0.0
1983年,2111500.0,0.0,11000.0,31500.0,1000.0,15400.0,9900.0,0.0,0.0,0.0,29500.0,29500.0,5300.0,199400.0,0.0,10900.0,0.0,0.0,1871700.0,2071100.0,135300.0,900.0,0.0
1984年,2729000.0,0.0,12100.0,103500.0,1200.0,22300.0,14200.0,0.0,0.0,0.0,38800.0,38800.0,15000.0,285700.0,0.0,15400.0,0.0,0.0,2389100.0,2674800.0,132100.0,700.0,0.0
1985年,4149500.0,0.0,6800.0,34700.0,900.0,26300.0,18600.0,0.0,0.0,0.0,54600.0,54600.0,31400.0,252300.0,0.0,19500.0,0.0,0.0,3823100.0,4075400.0,152400.0,700.0,0.0
1986年,3823400.0,0.0,8200.0,10100.0,1200.0,25100.0,12600.0,0.0,0.0,0.0,92400.0,92400.0,30800.0,227600.0,0.0,13800.0,0.0,0.0,3489600.0,3717200.0,152000.0,1400.0,0.0
1987年,4023600.0,0.0,14200.0,15100.0,1100.0,15000.0,15400.0,0.0,0.0,0.0,119100.0,119100.0,38700.0,248500.0,0.0,16500.0,0.0,0.0,3639500.0,3888000.0,164100.0,1400.0,0.0
1988年,5175200.0,0.0,21400.0,19300.0,1200.0,27700.0,13700.0,0.0,0.0,0.0,163000.0,163000.0,63300.0,360400.0,0.0,14900.0,0.0,0.0,4636900.0,4997300.0,227600.0,1100.0,0.0
1989年,5451100.0,0.0,18700.0,18900.0,900.0,33700.0,8700.0,0.0,0.0,0.0,166500.0,166500.0,42900.0,391000.0,0.0,9600.0,0.0,0.0,4884000.0,5275000.0,275200.0,1600.0,0.0
1990年,4877000.0,0.0,9400.0,29100.0,1100.0,23900.0,9100.0,0.0,0.0,0.0,196200.0,196200.0,47000.0,435200.0,0.0,10200.0,0.0,0.0,4235400.0,4670600.0,324500.0,1300.0,0.0
1991年,5723600.0,0.0,21400.0,68900.0,4000.0,18400.0,2000.0,0.0,0.0,0.0,287900.0,287900.0,51100.0,412100.0,0.0,6000.0,0.0,0.0,5017600.0,5429700.0,250800.0,1500.0,0.0
1992年,7921700.0,0.0,27400.0,200400.0,1700.0,22700.0,3400.0,0.0,0.0,2000.0,534700.0,534700.0,251200.0,943400.0,0.0,5100.0,0.0,0.0,6438500.0,7381900.0,432500.0,7200.0,0.0
1993年,10414100.0,0.0,36200.0,281800.0,1800.0,47300.0,10000.0,0.0,0.0,2200.0,567400.0,567400.0,279700.0,1203600.0,0.0,11800.0,0.0,0.0,8631300.0,9834900.0,547900.0,8500.0,0.0
1994年,11877700.0,0.0,188000.0,300000.0,25900.0,51800.0,17400.0,0.0,0.0,9800.0,677400.0,677400.0,303600.0,1629900.0,0.0,43300.0,0.0,0.0,9527100.0,11157000.0,762100.0,14600.0,0.0
1995年,15263900.0,0.0,427300.0,612700.0,36000.0,58800.0,3200.0,0.0,0.0,80300.0,1696500.0,1696500.0,368800.0,2522200.0,0.0,39200.0,0.0,0.0,11006000.0,13528200.0,952600.0,21700.0,0.0
