,借方直接投资金融项目,借方资本和金融项目,借方资本项目,借方金融项目,借方金融项目中其它投资,借方金融项目中其它投资其它资产,借方金融项目中其它投资的短期其它资产,借方金融项目中其它投资的短期贸易信贷资产,借方金融项目中其它投资的贸易信贷资产,借方金融项目中其它投资的资产,借方金融项目中其它投资的长期其它资产,借方金融项目中其它投资的长期贸易信贷资产,借方金融项目中其它投资短期贷款资产,借方金融项目中其它投资货币和存款负债,借方金融项目中其它投资货币和存款资产,借方金融项目中其它投资贷款负债,借方金融项目中其它投资贷款资产,借方金融项目中其它投资长期贷款资产,借方金融项目中证券投资的中长期债务证券负债,借方金融项目中证券投资的中长期债务证券资产,借方金融项目中证券投资的债务证券负债,借方金融项目中证券投资的债务证券资产,借方金融项目中证券投资的股本证券负债,借方金融项目中证券投资的股本证券资产,借方金融项目中证券投资的货币市场工具债务证券负债,借方金融项目中证券投资的货币市场工具债务证券资产,借方金融项目中证券投资负债,借方金融项目中证券投资资产,借方金融项目其它投资中其它负债,借方金融项目其它投资中短期贷款负债,借方金融项目其它投资中负债,借方金融项目其它投资的短期贸易信贷负债,借方金融项目其它投资的贸易信贷负债,借方金融项目其它投资的长期贷款负债,借方金融项目其它投资短期其它负债,借方金融项目其它投资长期其它负债,借方金融项目外国在华直接投资,借方金融项目我国在外直接投资,借方金融项目的其它投资长期贸易信贷负债,借方金融项目的证券投资
1978年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1979年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1980年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1981年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1982年,4400.0,529200.0,0.0,529200.0,522800.0,207400.0,207400.0,25900.0,38000.0,286700.0,0.0,12100.0,0.0,0.0,0.0,126300.0,41300.0,41300.0,0.0,0.0,0.0,2000.0,0.0,0.0,0.0,2000.0,0.0,2000.0,14600.0,3600.0,236100.0,0.0,95200.0,122700.0,0.0,14600.0,0.0,4400.0,95200.0,2000.0
1983年,9300.0,441300.0,0.0,441300.0,354600.0,142600.0,142600.0,28200.0,35300.0,205800.0,0.0,7100.0,0.0,0.0,0.0,80700.0,27900.0,27900.0,0.0,0.0,0.0,77400.0,0.0,0.0,0.0,77400.0,0.0,77400.0,20200.0,5200.0,148800.0,0.0,47900.0,75500.0,0.0,20200.0,0.0,9300.0,47900.0,77400.0
1984年,13400.0,826400.0,0.0,826400.0,555000.0,385000.0,385000.0,8500.0,37700.0,449800.0,0.0,29200.0,0.0,0.0,0.0,27700.0,27100.0,27100.0,0.0,0.0,0.0,258000.0,0.0,0.0,0.0,258000.0,0.0,258000.0,23000.0,8800.0,105200.0,0.0,54500.0,18900.0,0.0,23000.0,0.0,13400.0,54500.0,258000.0
1985年,62900.0,1268900.0,0.0,1268900.0,1203800.0,83400.0,83400.0,845500.0,921400.0,1027300.0,0.0,75900.0,0.0,0.0,0.0,64300.0,22500.0,22500.0,0.0,0.0,0.0,2200.0,0.0,0.0,0.0,2200.0,0.0,2200.0,7400.0,8300.0,176500.0,48700.0,104800.0,56000.0,0.0,7400.0,0.0,62900.0,56100.0,2200.0
1986年,45000.0,1479300.0,0.0,1479300.0,1430300.0,0.0,0.0,781500.0,851000.0,876000.0,0.0,69500.0,0.0,0.0,0.0,431100.0,25000.0,25000.0,0.0,0.0,0.0,4000.0,0.0,0.0,0.0,4000.0,0.0,4000.0,9800.0,347600.0,554300.0,34600.0,113400.0,83500.0,0.0,9800.0,0.0,45000.0,78800.0,4000.0
1987年,64500.0,1643500.0,0.0,1643500.0,1565000.0,327100.0,327100.0,800500.0,814100.0,1165100.0,0.0,13600.0,0.0,0.0,0.0,278200.0,23900.0,23900.0,0.0,0.0,0.0,14000.0,0.0,0.0,0.0,14000.0,0.0,14000.0,10900.0,57100.0,399900.0,63800.0,110800.0,221100.0,0.0,10900.0,0.0,64500.0,47000.0,14000.0
