,发生地质灾害起数,发生地面塌陷灾害起数,发生崩塌灾害起数,发生泥石流灾害起数,发生滑坡灾害起数,地质灾害人员伤亡,地质灾害死亡人数,地质灾害直接经济损失,地质灾害防治投资,地质灾害防治项目数
1978年,,,,,,,,,,
1979年,,,,,,,,,,
1980年,,,,,,,,,,
1981年,,,,,,,,,,
1982年,,,,,,,,,,
1983年,,,,,,,,,,
1984年,,,,,,,,,,
1985年,,,,,,,,,,
1986年,,,,,,,,,,
1987年,,,,,,,,,,
1988年,,,,,,,,,,
1989年,,,,,,,,,,
1990年,,,,,,,,,,
1991年,,,,,,,,,,
1992年,,,,,,,,,,
1993年,,,,,,,,,,
1994年,,,,,,,,,,
1995年,,,,,,,,,,
1996年,,,,,,,,,,
1997年,,,,,,,,,,
1998年,,,,,,,,,,
1999年,,,,,,,,,,
2000年,,,,,,,,,,
2001年,,,,,,,,,,
2002年,,,,,,,,,,
2003年,,,,,,,,,,
2004年,13555.0,445.0,2593.0,1157.0,9130.0,1407.0,734.0,408828.0,175231.0,2247.0
2005年,17751.0,137.0,7654.0,566.0,9367.0,1223.0,578.0,357678.07,166860.16,3179.0
2006年,102804.0,398.0,13160.0,417.0,88523.0,1227.0,663.0,431590.13,193569.86,2914.0
2007年,25364.0,578.0,7722.0,1215.0,15478.0,1123.0,598.0,247528.42,244884.66,3492.0
2008年,26580.0,454.0,8080.0,843.0,13450.0,1598.0,656.0,326936.35,529938.93,5325.0
2009年,10580.0,326.0,2378.0,1442.0,6310.0,845.0,331.0,190109.4,542367.6,28061.0
2010年,30670.0,478.0,5688.0,1981.0,22250.0,3445.0,2244.0,638508.5,1159813.0,28106.0
2011年,15804.0,386.0,2445.0,1356.0,11504.0,413.0,244.0,413151.0,928085.45,20871.0
2012年,14675.0,364.0,2152.0,952.0,11112.0,636.0,293.0,625253.0,1024183.0,26882.0
2013年,15374.0,385.0,3288.0,1547.0,9832.0,929.0,482.0,1043567.56,1235363.1,36984.0
2014年,,,,,,,,,,
