,中外合作经营零售业企业期末商品库存额,中外合资经营零售业企业期末商品库存额,其他外商投资零售业企业期末商品库存额,其他有限责任公司零售业企业期末商品库存额,其他港澳台商投资零售业企业期末商品库存额,其他联营零售业企业期末商品库存额,其他零售业企业期末商品库存额,内资零售业企业期末商品库存额,国有与集体联营零售业企业期末商品库存额,国有独资公司零售业企业期末商品库存额,国有联营零售业企业期末商品库存额,国有零售业企业期末商品库存额,外商投资股份有限公司零售业企业期末商品库存额,外商投资零售业企业期末商品库存额,外资零售业企业期末商品库存额,有限责任公司零售业企业期末商品库存额,港澳台商合作经营零售业企业期末商品库存额,港澳台商合资经营零售业企业期末商品库存额,港澳台商投资股份有限公司零售业企业期末商品库存额,港澳台商投资零售业企业期末商品库存额,港澳台商独资经营零售业企业期末商品库存额,私营合伙零售业企业期末商品库存额,私营有限责任公司零售业企业期末商品库存额,私营独资零售业企业期末商品库存额,私营股份有限公司零售业企业期末商品库存额,私营零售业企业期末商品库存额,联营零售业企业期末商品库存额,股份合作零售业企业期末商品库存额,股份有限公司零售业企业期末商品库存额,集体联营零售业企业期末商品库存额,集体零售业企业期末商品库存额,零售业企业期末商品库存额
1988年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1989年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1990年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1991年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1992年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1993年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1994年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1995年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1996年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1997年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1999年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,839.12
2000年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,738.82
2001年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,774.16
2002年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,902.26
2003年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1033.18114
2004年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1786.2
2006年,31.04191,70.55094,0.0,610.25908,0.0,2.9003,13.12302,1821.25534,2.13589,30.87594,4.60459,161.03135,1.27088,130.80224,27.93851,641.13502,5.28073,23.97397,0.67263,44.89553,14.9682,12.91184,537.41769,34.93518,38.13386,623.39857,11.2867,20.76868,296.51343,1.64592,53.99857,1997.0
2007年,34.7132,102.05786,0.0,821.22054,0.0,2.3858,23.35819,2279.63587,3.06825,36.70531,3.41562,192.52272,2.96364,185.63844,45.90374,857.92585,2.141,29.33276,1.88758,78.04566,44.68432,10.45116,718.67654,46.86668,33.57513,809.56951,10.01994,28.90386,292.14405,1.15027,65.19175,2543.3
2008年,29.1686,116.2507,0.0,1093.809,0.0,3.3359,31.6544,3204.6652,2.5397,28.7672,4.6597,251.7993,8.7216,272.2032,118.0623,1122.5762,2.7532,42.3315,4.5483,215.5172,165.8842,20.1719,960.4416,115.6292,54.6892,1150.9319,11.4656,35.9168,533.1535,0.9303,67.1674,3692.4
2009年,13.73103,132.54295,0.0,1372.80805,0.0,1.79879,36.24857,3730.82824,1.64361,25.5002,4.05716,301.05655,7.01911,273.93932,120.64623,1398.30825,15.41788,36.1932,2.26294,170.93782,117.0638,23.19949,1067.3557,156.65757,100.2818,1347.49456,9.20857,27.93733,463.46025,1.70901,147.11416,4175.7
2010年,15.0,132.9,0.0,1639.2,0.0,2.7,43.7,4433.3,2.9,31.0,6.2,374.1,7.9,396.3,240.6,1670.2,46.0,54.5,8.1,274.9,166.3,26.3,1373.5,138.7,90.7,1629.2,13.3,22.5,566.9,1.5,113.3,5104.6
2011年,22.8892,179.5121,1.8438,2329.2793,14.9757,2.5784,132.9677,5783.0612,2.6198,86.3564,11.9383,377.3948,6.6443,455.6816,244.7922,2415.6357,15.068,100.6893,8.7323,411.5961,272.1308,29.5187,1779.9789,150.1758,90.9341,2050.6075,19.936,54.9613,651.3803,2.7996,80.1779,6650.3388
2012年,16.54855,159.50446,5.65588,2761.49291,21.86235,2.99226,196.59416,6743.17248,1.94773,42.00928,5.6818,359.50878,6.52132,484.68889,296.45868,2803.50219,16.98862,96.78046,14.85731,507.49909,357.01035,29.72739,2176.5461,165.70485,162.34754,2534.32588,14.47837,33.24044,719.26118,3.85658,82.26148,7735.36046
2013年,25.85987,177.20679,2.20177,3407.05832,11.94524,1.34315,53.51784,7983.13644,1.0839,91.01367,0.81576,152.72392,15.54272,549.11719,328.30604,3498.07199,3.19095,138.84091,15.52693,629.09094,459.58691,10.38277,2867.46391,85.55129,406.92135,3370.31932,5.63544,20.01858,809.86903,2.39263,72.98032,9161.34457
2014年,13.66653,167.17734,5.50714,4483.09252,8.80315,0.37474,35.21868,10794.00562,0.70226,112.22086,0.80161,611.94772,11.82469,525.532,327.3563,4595.31338,2.4295,267.47954,18.78155,723.32511,425.83137,11.03485,3911.63918,93.05202,190.15898,4205.88503,3.85978,13.5843,1256.55587,1.98117,71.64086,12042.8627
