,专用设备制造业大中型工业企业固定资产合计,交通运输设备制造业大中型工业企业固定资产合计,仪器仪表及文化、办公用机械制造业大中型工业企业固定资产合计,其他采矿业大中型工业企业固定资产合计,农副食品加工业大中型工业企业固定资产合计,化学原料及化学制品制造业大中型工业企业固定资产合计,化学纤维制造业大中型工业企业固定资产合计,医药制造业大中型工业企业固定资产合计,印刷业和记录媒介的复制大中型工业企业固定资产合计,塑料制品业大中型工业企业固定资产合计,大中型工业企业固定资产合计,家具制造业大中型工业企业固定资产合计,工艺品及其他制造业大中型工业企业固定资产合计,废弃资源和废旧材料回收加工业大中型工业企业固定资产合计,文教体育用品制造业大中型工业企业固定资产合计,有色金属冶炼及压延加工业大中型工业企业固定资产合计,有色金属矿采选业大中型工业企业固定资产合计,木材加工及木、竹、藤、棕、草制品业大中型工业企业固定资产合计,橡胶制品业大中型工业企业固定资产合计,水的生产和供应业大中型工业企业固定资产合计,烟草制品业大中型工业企业固定资产合计,煤炭开采和洗选业大中型工业企业固定资产合计,燃气生产和供应业大中型工业企业固定资产合计,电力、热力的生产和供应业大中型工业企业固定资产合计,电气机械及器材制造业大中型工业企业固定资产合计,皮革、毛皮、羽毛(绒)及其制品业大中型工业企业固定资产合计,石油加工、炼焦及核燃料加工业大中型工业企业固定资产合计,石油和天然气开采业大中型工业企业固定资产合计,纺织业大中型工业企业固定资产合计,纺织服装、鞋、帽制造业大中型工业企业固定资产合计,通信设备、计算机及其他电子设备制造大中型工业企业固定资产合计,通用设备制造业大中型工业企业固定资产合计,造纸及纸制品业大中型工业企业固定资产合计,金属制品业大中型工业企业固定资产合计,非金属矿物制品业大中型工业企业固定资产合计,非金属矿采选业大中型工业企业固定资产合计,食品制造业大中型工业企业固定资产合计,饮料制造业大中型工业企业固定资产合计,黑色金属冶炼及压延加工业大中型工业企业固定资产合计,黑色金属矿采选业大中型工业企业固定资产合计
1991年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1992年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1993年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1994年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1995年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1996年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1997年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1999年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2001年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2002年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2003年,1028.19466,2954.14867,260.65962,15.10961,766.63565,3855.776,721.88573,947.307,258.9843,519.77615,57893.2125,106.79644,116.65121,0.52879,126.3037,1595.89598,219.21799,181.18955,459.59531,951.53474,671.80335,2757.60666,381.30658,14483.77137,1261.38127,200.88505,2120.25201,3493.82366,2186.92889,376.70699,2546.18594,1164.36199,1175.03534,446.49164,2088.3565,248.84873,531.86965,931.66427,5609.57027,130.17124
2004年,968.19,3430.26,280.69,1.77,940.48,3979.46,820.14,1021.47,278.75,610.65,68763.81,140.54,260.84,3.28,153.04,1984.56,227.73,210.23,577.41,1156.48,693.41,3304.63,465.43,18440.51,1417.52,225.03,2405.93,4363.33,2239.08,419.76,3489.19,1314.03,1418.5,515.11,2413.31,191.86,667.8,845.37,6710.49,177.56
2005年,1157.55007,4076.28434,355.64065,2.41691,1071.73599,4968.74777,1018.31919,1269.06927,331.59168,689.62961,79546.56189,172.73407,220.78946,5.48287,177.37328,2397.57377,261.56101,233.66824,613.57678,1165.70345,719.28404,3948.51512,484.91419,20034.20309,1775.25427,295.70198,2840.99424,4828.6922,2599.6125,490.32701,4246.25445,1553.53927,1768.05463,635.52859,2804.32996,156.50357,771.66472,948.3049,8221.2305,234.20425
2006年,1366.03744,4782.80638,426.98595,0.0,1241.98019,6047.53105,1058.5056,1356.3834,344.38946,760.99058,93795.68722,245.23849,264.65757,26.75396,190.86912,2844.33722,322.75633,266.48065,709.86251,1399.59857,718.32307,5004.2017,520.0031,23598.96353,2031.341,340.68466,3443.725,5738.87008,2913.43001,587.24156,4827.6042,1780.79405,1992.77244,794.69435,3146.71589,207.91983,872.36322,1031.771,10281.41132,306.69274
