,中等教育招生数,中等职业教育招生数,九年一贯制普通初中招生数,九年一贯制普通小学招生数,初中阶段教育招生数,初等教育招生数,初级中学招生数,十二年一贯制普通初中招生数,十二年一贯制普通小学招生数,十二年一贯制普通高中招生数,博士招生数,在职人员攻读博士、硕士学位招生数,学前教育招生数,小学招生数,工读学校招生数,成人专科招生数,成人中专招生数,成人初中招生数,成人小学招生数,成人本专科招生数,成人本科招生数,成人高中招生数,扫盲班招生数,技工学校招生数,普通专科招生数,普通中专招生数,普通初中完全中学招生数,普通初中招生数,普通小学招生数,普通本专科招生数,普通本科招生数,普通高中完全中学招生数,普通高中招生数,特殊教育招生数,研究生招生数,硕士招生数,网络专科招生数,网络本专科生招生数,网络本科招生数,职业初中招生数,职业高中招生数,高中招生数,高中阶段教育招生数,高等教育招生数,高级中学招生数
1978年,,,,,,,,,,,,,,,,,,,,,,,,,,44.7,,2006.0,3315.4,40.15,,,692.9,0.6,1.0708,,,,,,,,,,
1979年,,,,,,,,,,,,,,,,,,,,,,,,,,49.1,,1727.8,3101.7,27.5,,,614.1,0.6,0.811,,,,,,,,,,
1980年,,,,,,,,,,,,,,,,,,,,,,,,,,46.8,,1550.9,2942.3,28.12,,,383.4,0.6,0.3616,,,,,6.7,,,,,
1981年,,,,,,,,,,,,,,,,,,,,,,,,,,43.3,,1412.7,2749.2,27.9,,,327.8,0.6,0.9363,,,,,,,,,,
1982年,,,,,,,,,,,,,,,,,,,,,,,,20.3,,41.9,,1363.1,2671.7,31.5,,,279.3,0.61,1.108,,,,,,,,,,
1983年,,,,,,,,,,,,,,,,,,,,,,,,27.4,,47.8,,1317.1,2544.0,39.1,,,259.8,0.64,1.5642,,,,,,,,,,
1984年,,,,,,,,,,,,,,,,,,,,,,,,31.1,,54.6,,1302.5,2472.9,47.5,,,262.3,0.7,2.3181,,,,,,,,,,
1985年,,,,,,,,,,,,,,,,,,,,,,,,35.5,,66.8,,1349.4,2298.2,61.92,,,257.5,0.9,4.6871,,,,,17.6,,,,,
1986年,,,,,,,,,,,,,,,,,,,,,,,,39.4,,67.7,,1386.6,2258.2,57.2,,,257.3,1.1,4.131,,,,,,,,,,
1987年,,,,,,,,,,,,,,,,,,,,,,,,42.3,,71.5227,,1394.3,2094.57,61.6822,,,255.16,1.1755,3.9017,,,,,,,,,,
1988年,,,,,,,,,,,,,,,,,,,,,,,,46.1,,77.6382,,1340.5,2123.28,66.9731,,,244.27,1.1971,3.5645,,,,,,,,,,
1989年,,,,,,,,,,,,,,,,,,,,,,,,47.0,,73.4861,,1309.4,2151.5,59.7113,,,242.1,1.3638,2.8569,,,,,,,,,,
1990年,,,,,,,,,,,,,,,,,,,,,,,,50.6,,73.0097,,1369.9,2064.0,60.89,,,249.8,1.6,2.9649,,,,,19.36,,,,,
1991年,,,,,,,,,,,,,,,,,,,,,,,,54.4,,77.9955,,1411.3,2072.7,61.9874,,,243.8,1.9804,2.9679,,,,,,,,,,
1992年,,,,,,,,,,,,,,,,,,,,,,,,60.2,,87.9242,,1465.0,2183.2,75.4192,,,234.7,2.9545,3.3439,,,,,,,,,,
1993年,,,,,,,,,,,,,,,,,,,,,,,,66.4,,114.9,,1479.0,2353.5,92.4,,,228.3,3.4,4.2145,,,,,,,,,,
