,中等教育毕业生数,中等职业教育毕业生数,九年一贯制普通初中毕业生数,九年一贯制普通小学毕业生数,其他高等学历教育毕业生数,初中阶段教育毕业生数,初等教育毕业生数,初级中学毕业生数,十二年一贯制普通初中毕业生数,十二年一贯制普通小学毕业生数,十二年一贯制普通高中毕业生数,博士毕业生数,在职人员攻读博士、硕士学位毕业生数,学前教育毕业生数,小学毕业生数,工读学校毕业生数,成人专科毕业生数,成人中专毕业生数,成人初中毕业生数,成人小学毕业生数,成人本专科毕业生数,成人本科毕业生数,成人高中毕业生数,扫盲班毕业生数,技工学校毕业生数,普通专科毕业生数,普通中专毕业生数,普通初中完全中学毕业生数,普通初中毕业生数,普通小学毕业生数,普通本专科毕业生数,普通本科毕业生数,普通高中完全中学毕业生数,普通高中毕业生数,特殊教育毕业生数,研究生毕业生数,硕士毕业生数,网络专科毕业生数,网络本专科生毕业生数,网络本科毕业生数,职业初中毕业生数,职业高中毕业生数,高中毕业生数,高中阶段教育毕业生数,高等教育毕业生数,高级中学毕业生数
1978年,,,,,,,,,,,,,,,,,,,,,,,,,,,23.2,,1692.6,2287.9,16.5,,,682.7,0.3,0.0009,,,,,,,,,,
1979年,,,,,,,,,,,,,,,,,,,,,,,,,,,18.1,,1657.9,2087.9,8.5,,,726.5,0.34,0.014,,,,,,,,,,
1980年,,,,,,,,,,,,,,,,,,,,,,,,,,,41.0,,964.7,2053.3,14.7,,,616.2,0.4,0.0476,,,,,7.9,,,,,
1981年,,,,,,,,,,,,,,,,,,,,,,,,,,,60.5,,1154.2,2075.7,14.0,,,486.1,0.37,1.1669,,,,,,,,,,
1982年,,,,,,,,,,,,,,,,,,,,,,,,,32.3,,44.6,,1032.1,2068.9,45.7,,,310.6,0.35,0.4058,,,,,,,,,,
1983年,,,,,,,,,,,,,,,,,,,,,,,,,26.9,,37.5,,960.3,1980.7,33.5,,,235.1,0.3,0.4497,,,,,,,,,,
1984年,,,,,,,,,,,,,,,,,,,,,,,,,18.5,,37.6,,950.4,1995.0,28.7,,,189.8,0.4,0.2756,,,,,,,,,,
1985年,,,,,,,,,,,,,,,,,,,,,,,,,22.6,,42.9,,998.3,1999.9,31.6,,,196.6,0.4,1.7004,,,,,8.9,,,,,
1986年,,,,,,,,,,,,,,,,,,,,,,,,,23.3,,49.6,,1057.0,2016.1,39.3,,,224.0,0.5,1.695,,,,,,,,,,
1987年,,,,,,,,,,,,,,,,,,,,,,,,,26.5,,57.78,,1117.3,2043.01,53.193,,,246.78,0.4064,2.7603,,,,,,,,,,
1988年,,,,,,,,,,,,,,,,,,,,,,,,,31.1,,59.5737,,1157.2,1930.34,55.3466,,,250.56,0.4513,4.0838,,,,,,,,,,
1989年,,,,,,,,,,,,,,,,,,,,,,,,,36.8,,59.0876,,1134.3,1857.1,57.6242,,,243.2,0.5026,3.7232,,,,,,,,,,
1990年,,,,,,,,,,,,,,,,,,,,,,,,,41.3,,66.1262,,1109.1,1863.1,61.4,,,233.0,0.5,3.544,,,,,13.91,,,,,
1991年,,,,,,,,,,,,,,,,,,,,,,,,,45.4,,74.027,,1085.5,1846.7,61.4267,,,222.9,0.5819,3.2537,,,,,,,,,,
1992年,,,,,,,,,,,,,,,,,,,,,,,,,45.7,,74.2957,,1102.3,1872.4,60.4223,,,226.1,0.8936,2.5692,,,,,,,,,,
1993年,,,,,,,,,,,,,,,,,,,,,,,,,49.7,,73.6,,1134.2,1841.5,57.1,,,231.7,1.2,2.8214,,,,,,,,,,
1994年,,,,,,,,,,,,,,,,,,,,,,,,,55.7,,72.9106,,1152.6,1899.6,63.7,,,209.3021,1.4,2.8047,,,,,,,,,,
1995年,,,,,,,,,,,,,,,,,,,,,,,,,68.2,,83.9167,,1227.4,1961.5,80.5,,,201.6,1.9,3.1877,,,,,16.96,,,,,
1996年,,,,,,,,,,,,,,,,,,,,,,,,,68.1,,101.8676,,1279.0,1934.1,83.9,,,204.9,2.4,3.9652,,,,,,,,,,
1997年,,,,,,,,,,,,,,,,,,,,,,,,,69.9,,115.7055,,1442.4,1960.1,82.9,,,221.7,2.8036,4.6539,,,,,,,,,,
1998年,,,,,,,,,,,,,,,,,,,,,,,,,68.2,42.52,129.3,,1580.2,2117.4,83.0,40.4666,,251.8,3.5,4.7077,,,,,,,,,,
1999年,,,,,,,,,,,,,,,,,,,,,,,,,66.2,40.67,140.1,,1589.8,2313.74,84.76,44.0935,,262.91,3.8,5.467,,,,,,,,,,
2000年,,,,,,,,,,,,,,,,,,,,,,,,,64.62,45.41,150.7237,,1607.09,2419.18,94.98,49.5624,,301.51,4.34,5.8767,,,,,26.36,,,,,
2001年,,,,,,,,,,,,,,1160.2,,,,,,,,,,,47.73,46.85,150.29,,1706.98,2396.9,103.63,56.7839,,340.46,4.63,6.7809,,,,,24.52,,,,,
2002年,,,,,,,,,,,,,,1152.7,,,,,,,,,,,45.4,68.15,144.15,,1879.87,2351.92,133.73,65.5763,,383.76,4.42,8.0841,,,,,23.82,,,,,
2003年,,,,,,,,,,,,,,1072.0,,,,,,,,,,,45.3,94.79,148.4,,1995.6,2267.9,187.7492,92.9598,,458.1,4.5,11.1091,,,,,22.9,,,,,
2004年,3075.0473,359.1939,,,,2155.062,2494.7962,,,,,2.3446,,1059.7,,0.3507,135.5796,39.5513,67.7622,359.6236,189.6152,54.0356,13.8563,204.5819,53.5,119.4862,140.5817,,2070.4,2135.2,239.1152,119.629,,546.9,4.7,15.0777,12.7331,18.1987,39.3715,21.1728,16.9,125.5609,560.7914,919.9853,,
2005年,3293.1917,418.2,,,,2201.0215,2317.1154,,,,,2.7677,,1025.4,,0.3514,111.209,39.3926,77.5933,297.6386,166.7889,55.5799,12.4092,169.0506,68.9976,160.217,156.7135,,2106.515,2019.4768,306.7956,146.5786,,661.5713,4.3214,18.9728,16.2051,36.7317,75.9627,39.231,16.9,153.086,673.9805,1092.1702,,
2006年,3370.4199,479.05,,,,2151.8847,2204.0197,,,,,3.6247,,1045.1,,0.3565,59.686,39.9429,80.3081,275.5359,81.5163,21.8303,12.4131,164.6073,86.4,204.8034,182.3745,,2062.4,1928.5,377.4708,172.6674,,727.1,4.5,25.5902,21.9655,44.841,88.5117,43.6707,9.2,170.3097,739.4824,1218.5352,,
2007年,3406.058,530.9,,,,2070.3678,2099.4369,,,,,4.1464,,1049.1,,0.3422,108.951,38.0934,106.662,229.2661,176.44,67.489,16.4727,95.782,99.6599,248.1963,202.2662,,1956.8428,1870.1708,447.7907,199.5944,,788.3143,5.0283,31.1839,27.0375,45.1064,82.8225,37.7161,6.9,190.8837,804.787,1335.6902,,
2008年,3360.5282,580.66,,,,1934.4722,2099.8339,,,,,4.3759,,1040.5,,0.3973,100.6438,38.8977,66.5178,234.8827,169.0944,68.4506,9.3372,115.0196,108.997,286.2715,220.5624,,1862.8943,1864.9512,511.9498,225.6783,,836.0593,5.2035,34.4825,30.1066,49.7698,90.1522,40.3824,5.1,211.6323,845.3965,1426.056,,
2009年,3311.5503,625.2,,,,1852.8429,2008.4844,,,,,4.8658,,1040.6,,0.4511,107.8472,38.9905,55.1421,203.2847,194.3893,86.5421,9.795,95.7408,115.5,285.5664,241.5223,,1794.7254,1805.1997,531.1023,245.5359,,823.722,5.7423,37.1273,32.2615,57.7972,98.3521,40.5549,3.0,229.1526,833.517,1458.7074,,
2010年,3281.8276,665.3,,,,1813.0799,1927.9332,,,,,4.8987,,1057.6,,0.3894,116.8958,48.8061,62.7291,188.2968,197.2873,80.3915,9.0193,90.2594,121.6,316.371,264.6434,,1748.5714,1739.6364,575.4245,259.0535,,794.4335,5.8941,38.36,33.4613,68.2986,110.5529,42.2543,1.8,230.2029,803.4528,1468.7477,,
2011年,3266.5962,660.34,179.0288,132.6111,,1796.3135,1841.78,1309.7178,18.573,10.0465,17.0377,5.0289,,1184.7,1520.1478,0.4378,115.1238,53.0942,59.6349,178.9746,190.664,75.5402,22.1966,81.815,119.2208,328.5336,270.2302,228.1767,1735.4963,1662.8054,608.1565,279.6229,261.8833,787.7401,4.4194,42.9994,37.9705,83.9104,129.9253,46.0149,1.2,217.8008,809.9367,1470.2827,,508.8191
2012年,3202.0579,674.9,180.1127,139.808,,1724.0323,1800.7271,1238.2897,19.7499,11.4641,18.1481,5.1713,,1433.6,1490.2844,0.3653,115.3342,71.6307,63.2572,159.1706,195.4357,80.1015,11.6264,58.5749,120.5106,320.8865,265.3135,221.6885,1660.7751,1641.6,624.7338,303.8473,261.3879,791.5,4.9,48.6455,43.4742,88.2921,136.087,47.7949,0.9,217.4398,803.131,1478.0256,,511.9686
2013年,3088.754,674.4396,176.0777,137.2707,,1604.9343,1698.8501,1155.9429,20.645,12.2193,19.5445,5.3139,,1491.7314,1431.5683,0.3596,118.657,87.8323,43.3891,117.7918,199.7729,81.1159,10.4012,50.5877,116.8809,318.7494,265.2082,208.1587,,1581.0583,638.721,319.9716,255.1466,798.9789,5.0739,51.3626,46.0487,102.406,156.0762,53.6702,0.7209,204.5182,809.3801,1483.8197,,524.2878
2014年,2892.8894,622.9463,168.1372,137.6765,,1457.9686,1588.2235,1029.618,21.9881,12.3754,20.0677,5.3653,,1527.1571,1326.5761,0.3,131.3279,90.047,44.4559,111.5955,221.2329,89.905,12.3556,44.1537,106.7944,317.9884,247.7321,193.4473,,1476.628,659.3671,341.3787,251.4209,799.6189,4.9032,53.5863,48.221,107.5034,166.1306,58.6272,0.3221,178.3728,811.9745,1434.9208,,528.1303
