,中外合作经营餐饮业企业资产总计,中外合资经营餐饮业企业资产总计,其他外商投资餐饮业企业资产总计,其他有限责任公司餐饮业企业资产总计,其他港澳台商投资餐饮业企业资产总计,其他联营餐饮业企业资产总计,其他餐饮业企业资产总计,其他餐饮服务业资产总计,内资餐饮业企业资产总计,国有与集体联营餐饮业企业资产总计,国有独资公司餐饮业企业资产总计,国有联营餐饮业企业资产总计,国有餐饮业企业资产总计,外商投资股份有限公司餐饮业企业资产总计,外商投资餐饮业企业资产总计,外资餐饮业企业资产总计,快餐服务业资产总计,有限责任公司餐饮业企业资产总计,正餐服务业资产总计,港、澳、台商合作经营餐饮业企业资产总计,港、澳、台商合资经营餐饮业企业资产总计,港、澳、台商投资股份有限公司餐饮业企业资产总计,港、澳、台商投资餐饮业企业资产总计,港、澳、台商独资经营餐饮业企业资产总计,私营合伙餐饮业企业资产总计,私营有限责任公司餐饮业企业资产总计,私营独资餐饮业企业资产总计,私营股份有限公司餐饮业企业资产总计,私营餐饮业企业资产总计,联营餐饮业企业资产总计,股份合作餐饮业企业资产总计,股份有限公司餐饮业企业资产总计,集体联营餐饮业企业资产总计,集体餐饮业企业资产总计,餐饮业企业资产总计,饮料及冷饮服务业资产总计
2002年,17.6787,88.3467,,120.9051,,1.172,3.4618,20.674,630.7931,1.7756,5.2645,2.9777,197.1206,0.4724,138.3231,31.8255,85.0443,126.1696,785.6849,19.4803,75.3548,2.6704,122.287,24.7816,8.5258,123.2069,30.3497,10.8048,172.8872,6.9082,23.0681,37.2375,0.983,63.9401,891.4033,
2003年,27.9,88.1,,196.0,,0.5,1.8,14.6,813.5,0.8,4.1,2.8,189.3,0.8,158.4,41.6,88.6,200.1,1006.0,35.9,73.7,2.2,138.9,27.1,18.1,201.4,50.2,12.9,282.6,4.9,20.0,50.4,1.2,65.8,1110.8,1.6
2004年,35.4434,60.44405,,229.39679,0.0,1.87718,5.14636,27.61235,893.87936,0.66836,1.87401,2.72846,127.03787,1.51248,150.40447,53.00454,111.16382,231.2708,1021.18413,26.53669,66.17352,0.24755,120.69604,27.73828,13.31622,308.38041,68.24718,23.03882,412.98263,5.76266,22.10591,50.00359,0.48866,39.56954,1165.0,5.01957
2005年,28.4,56.7,,195.9,,1.4,7.9,25.0,865.5,,1.7,2.5,106.1,2.6,148.8,61.1,114.2,197.6,959.5,17.8,48.8,0.2,96.7,30.0,14.2,321.5,72.4,23.0,431.2,4.1,24.7,56.5,0.2,37.3,1111.0,12.3
2006年,24.6028,75.2328,,233.8234,,1.5038,17.1685,27.764,1046.7944,0.0572,3.5846,2.6066,99.0736,0.8517,185.7263,85.039,131.8605,237.4081,1155.7776,10.3044,44.9466,0.2535,107.6269,52.1224,17.9953,401.2622,118.1374,32.8138,570.2087,5.2019,25.7001,57.6239,1.0343,34.4097,1340.1476,24.7456
2007年,29.1,69.7,,304.4,,1.8,16.4,31.2,1207.9,,3.1,3.2,106.5,2.1,216.7,115.8,156.2,307.5,1351.4,8.3,55.1,1.0,123.4,59.0,23.4,465.4,129.5,39.2,657.6,5.7,19.7,67.3,0.7,27.2,1548.1,9.2
2008年,14.0,60.3,,372.8,,1.1,40.7,55.8,1709.0,,2.4,5.3,122.6,7.9,253.4,171.2,218.2,375.2,1826.4,10.0,46.7,10.1,149.6,82.8,35.6,635.9,270.4,51.0,993.0,6.6,34.3,107.7,0.2,28.8,2112.0,11.6
2009年,18.8,59.9,,450.6,,1.0,37.7,62.1,1807.1,0.1,1.3,,113.3,8.8,246.0,158.5,233.7,451.9,1903.3,10.2,44.9,10.7,160.9,95.0,36.0,691.6,243.7,52.6,1023.9,1.2,32.2,116.0,0.2,30.8,2213.9,14.9
2010年,13.8,70.1,,596.6,,0.8,56.8,90.7,2273.1,0.1,9.0,0.2,120.0,11.8,270.4,174.7,258.3,605.5,2375.2,12.0,60.9,6.7,200.6,121.0,45.5,840.6,295.4,86.3,1267.7,1.2,39.6,151.3,0.1,30.9,2744.1,19.9
2011年,9.6,117.0,1.2,770.7,0.1,0.7,99.8,100.6,2622.3,0.3,14.6,0.2,137.3,7.5,357.6,222.4,333.6,785.2,2768.3,13.8,66.7,10.8,244.4,153.0,38.0,999.9,250.6,72.7,1361.3,3.0,43.5,166.9,1.7,25.2,3224.2,21.7
2012年,6.7389,114.00611,0.87233,955.83519,0.14165,0.55766,142.86393,91.93728,3291.4501,,21.01411,0.21054,186.30089,5.99237,400.33831,272.7286,408.35632,976.8493,3424.89967,17.07392,70.09796,9.15691,275.21595,178.74551,39.45075,1261.59863,290.41295,85.52011,1676.98244,2.53659,53.01,220.92692,1.76839,31.98003,3967.00436,41.81109
2013年,6.25592,106.34258,0.69355,1286.01521,0.15554,,39.11295,119.88818,3832.30254,,52.12378,,123.11048,6.33281,414.10012,294.47526,449.47194,1338.13899,3934.93804,17.73999,72.05078,8.07539,311.37471,213.35301,23.61922,1647.79039,226.78208,112.14006,2010.33175,1.73228,41.27526,250.81633,1.73228,27.7845,4557.77737,53.47921
2014年,5.80589,105.54794,2.36865,1388.69015,0.19737,,36.00758,112.7,4017.1,,69.8967,,111.39036,6.91478,487.1,366.51358,549.82593,1458.58685,4084.2,19.91195,77.53759,7.5238,343.62072,238.45001,23.13478,1759.1,206.46963,101.5412,2090.2,1.65862,40.47954,250.48506,1.65862,28.30219,4847.8,101.05074
