,中外合作经营餐饮业企业固定资产合计,中外合资经营餐饮业企业固定资产合计,其他外商投资餐饮业企业固定资产合计,其他有限责任公司餐饮业企业固定资产合计,其他港澳台商投资餐饮业企业固定资产合计,其他联营餐饮业企业固定资产合计,其他餐饮业企业固定资产合计,其他餐饮服务业固定资产合计,内资餐饮业企业固定资产合计,国有与集体联营餐饮业企业固定资产合计,国有独资公司餐饮业企业固定资产合计,国有联营餐饮业企业固定资产合计,国有餐饮业企业固定资产合计,外商投资股份有限公司餐饮业企业固定资产合计,外商投资餐饮业企业固定资产合计,外资餐饮业企业固定资产合计,快餐服务业固定资产合计,有限责任公司餐饮业企业固定资产合计,正餐服务业固定资产合计,港、澳、台商合作经营餐饮业企业固定资产合计,港、澳、台商合资经营餐饮业企业固定资产合计,港、澳、台商投资股份有限公司餐饮业企业固定资产合计,港、澳、台商投资餐饮业企业固定资产合计,港、澳、台商独资经营餐饮业企业固定资产合计,私营合伙餐饮业企业固定资产合计,私营有限责任公司餐饮业企业固定资产合计,私营独资餐饮业企业固定资产合计,私营股份有限公司餐饮业企业固定资产合计,私营餐饮业企业固定资产合计,联营餐饮业企业固定资产合计,股份合作餐饮业企业固定资产合计,股份有限公司餐饮业企业固定资产合计,集体联营餐饮业企业固定资产合计,集体餐饮业企业固定资产合计,餐饮业企业固定资产合计,饮料及冷饮服务业固定资产合计
2001年,5.8625,51.0644,,61.7938,,0.2766,0.2331,2.0,306.3981,0.6777,1.9297,1.7687,113.7663,0.213,66.2246,9.0847,24.6917,63.7235,421.3165,10.1943,55.9764,0.7693,75.4057,8.4658,1.9407,30.7395,15.1749,3.3629,51.218,2.8784,10.0052,19.9073,0.1554,44.6663,448.0284,24.6917
2002年,6.7323,56.4018,,63.8007,,0.3122,2.1954,11.5561,364.3846,0.7032,2.6732,2.0466,134.3145,0.251,75.8656,12.4805,29.424,66.4739,462.2999,8.4582,42.3633,2.1065,63.0298,10.1017,3.9891,57.2879,16.5246,5.1852,82.9867,3.433,11.4207,22.502,0.3709,41.0585,503.28,
2003年,12.2,55.9,,115.3,,0.2,1.0,6.8,459.7,0.1,1.4,1.7,120.1,0.3,86.6,18.3,31.9,116.7,580.8,16.9,45.2,1.9,73.6,9.7,9.1,93.1,26.7,7.2,136.1,2.9,9.6,31.5,0.9,42.2,620.0,0.6
2004年,19.62802,38.47551,,127.05689,0.0,1.4132,3.57756,14.72613,504.78274,0.46035,0.88559,2.79369,95.72705,1.11129,87.83634,28.62152,64.7868,127.94248,588.76436,17.05644,43.02362,0.29732,78.25497,17.87759,7.12503,138.59024,43.78333,12.3557,201.8543,4.88758,12.59711,30.30472,0.22034,27.89194,491.0,2.59676
2005年,12.8,25.2,,84.5,,1.1,2.7,8.3,366.3,,0.9,2.1,59.0,0.9,76.7,37.8,62.8,85.4,408.6,6.8,23.4,,42.3,12.1,5.6,106.4,36.1,9.7,157.9,3.2,13.6,24.5,,19.9,485.2,5.5
2006年,18.7699,55.3674,,126.4717,,1.2408,7.7433,13.0692,581.7239,,1.9698,3.1643,80.5762,0.4702,146.914,72.3065,114.8983,128.4415,653.0045,5.5278,23.5098,0.1092,58.7688,29.6221,11.2337,183.2381,70.4303,17.0171,281.9191,4.9282,18.9608,33.0614,0.5197,26.0935,787.4067,6.4347
2007年,20.5,56.0,,148.6,,1.2,8.9,13.4,629.5,,2.0,4.7,82.3,0.3,170.9,94.0,133.5,150.6,713.7,4.3,28.8,0.3,65.2,31.8,13.2,204.3,80.5,18.2,316.1,6.5,11.0,35.2,0.5,19.0,865.6,5.0
2008年,7.7,47.2,,180.2,,0.8,23.6,25.2,897.2,,1.1,0.6,89.1,4.6,184.8,125.3,174.6,181.3,962.2,6.4,25.1,10.8,87.6,45.3,21.3,279.0,179.9,25.8,506.0,1.5,17.0,58.2,0.1,20.5,1169.5,7.4
2009年,7.9,19.0,,169.9,,0.4,18.8,18.8,686.2,,0.1,,62.2,2.9,80.6,50.8,69.6,170.0,726.9,4.0,14.2,2.8,52.6,31.6,16.8,217.1,119.5,20.0,373.3,0.5,12.0,35.0,,14.3,819.4,4.1
2010年,3.9,20.8,,208.3,,0.3,20.3,21.9,804.4,,1.2,0.1,61.0,2.4,77.7,50.5,73.6,209.5,844.2,4.9,18.2,2.4,63.2,37.8,20.0,263.4,138.2,24.2,445.8,0.5,14.2,40.5,,12.5,945.3,5.7
2011年,1.6,42.4,0.3,248.0,,0.2,39.2,23.8,892.4,,6.7,0.1,70.1,0.9,103.0,57.8,88.0,254.8,944.6,4.5,19.2,0.8,66.6,42.1,15.7,306.6,112.2,21.3,455.8,1.6,12.2,48.0,1.2,10.7,1062.0,5.6
2012年,1.61495,43.44355,0.26911,301.66763,,0.05002,52.11485,16.84157,1065.48675,,9.99254,0.12156,82.08221,0.63351,112.50606,66.54494,104.97787,311.66017,1123.96547,6.09516,21.39416,1.06129,76.84593,48.27931,14.71985,385.03888,127.39885,21.13617,548.29375,1.261,10.60899,49.04567,1.08942,10.42011,1254.83874,9.05383
2013年,1.366,36.98621,0.09485,412.75873,,,18.74407,21.4216,1253.90602,,20.9752,,60.56841,0.76303,113.10475,73.89466,112.545,433.73393,1304.18119,5.4096,17.67132,1.01727,81.65608,57.52831,11.05282,520.17047,108.45921,30.1871,669.8696,0.96749,5.54502,58.90071,0.96749,5.57679,1448.66685,10.51906
2014年,1.33367,42.49956,0.95368,424.88699,0.03128,,15.94695,23.76395,1261.2,,25.34212,,58.39676,0.96135,117.99311,72.24485,121.69062,450.22911,1307.14441,4.73961,21.27571,0.92347,88.46877,61.4987,10.06652,539.3,98.0271,24.9623,672.40996,0.95542,5.1153,52.39515,0.95542,5.8237,1467.7342,15.13525
