,中外合作经营餐饮业企业流动资产合计,中外合资经营餐饮业企业流动资产合计,其他外商投资餐饮业企业流动资产合计,其他有限责任公司餐饮业企业流动资产合计,其他港澳台商投资餐饮业企业流动资产合计,其他联营餐饮业企业流动资产合计,其他餐饮业企业流动资产合计,其他餐饮服务业流动资产合计,内资餐饮业企业流动资产合计,国有与集体联营餐饮业企业流动资产合计,国有独资公司餐饮业企业流动资产合计,国有联营餐饮业企业流动资产合计,国有餐饮业企业流动资产合计,外商投资股份有限公司餐饮业企业流动资产合计,外商投资餐饮业企业流动资产合计,外资餐饮业企业流动资产合计,快餐服务业流动资产合计,有限责任公司餐饮业企业流动资产合计,正餐服务业流动资产合计,港、澳、台商合作经营餐饮业企业流动资产合计,港、澳、台商合资经营餐饮业企业流动资产合计,港、澳、台商投资股份有限公司餐饮业企业流动资产合计,港、澳、台商投资餐饮业企业流动资产合计,港、澳、台商独资经营餐饮业企业流动资产合计,私营合伙餐饮业企业流动资产合计,私营有限责任公司餐饮业企业流动资产合计,私营独资餐饮业企业流动资产合计,私营股份有限公司餐饮业企业流动资产合计,私营餐饮业企业流动资产合计,联营餐饮业企业流动资产合计,股份合作餐饮业企业流动资产合计,股份有限公司餐饮业企业流动资产合计,集体联营餐饮业企业流动资产合计,集体餐饮业企业流动资产合计,餐饮业企业流动资产合计,饮料及冷饮服务业流动资产合计
2001年,5.1503,15.8053,,29.6721,,0.3671,0.0731,2.4,142.4174,0.9324,2.0182,0.428,42.3893,0.1693,28.7752,7.6504,24.2868,31.6903,182.1949,9.0288,20.6611,0.2121,37.715,7.813,0.903,25.0718,6.6339,2.5957,35.2043,1.8693,5.1107,10.4059,0.1419,15.6746,208.9076,24.2868
2002年,5.2814,16.1352,,33.1041,,0.407,0.6148,5.955,176.6411,1.043,0.8703,0.63,40.8895,0.586,29.1203,7.1177,23.6404,33.9744,213.483,7.1871,20.1809,0.5186,37.317,9.4306,2.6322,45.9045,11.4928,4.5197,64.5492,2.3317,7.1235,10.906,0.2516,16.2521,243.0784,
2003年,10.4,14.8,,52.0,,0.3,0.6,4.1,234.4,0.6,0.5,0.8,43.0,0.3,34.6,9.1,22.9,52.5,278.4,9.5,17.6,0.3,37.0,9.5,5.8,72.3,16.6,4.6,99.3,1.6,7.5,13.8,0.2,17.0,306.0,0.5
2004年,13.06783,15.72003,,76.40439,0.0,0.36,1.35846,11.82537,310.54778,0.19035,0.88612,0.35354,33.50049,0.14642,43.24764,14.31336,28.89069,77.29051,346.67314,8.84304,17.5442,0.02469,35.57579,9.16386,5.04738,127.24546,22.09421,8.52939,162.91644,1.08764,7.41072,15.15981,0.18375,11.82371,389.4,1.98201
2005年,10.1,15.0,,72.2,,0.2,3.5,12.5,329.6,,0.7,0.3,25.7,0.7,41.6,15.8,27.7,72.9,359.6,8.4,14.7,0.8,34.2,10.3,6.9,145.3,28.0,9.2,189.3,0.6,7.2,20.1,0.1,10.2,405.3,5.5
2006年,8.2922,22.8793,,88.9337,,0.1552,5.3726,14.0377,406.8739,0.0531,0.8181,0.3645,25.8778,0.3163,59.1635,27.6757,36.5273,89.7518,452.6787,5.8002,16.6726,0.0507,44.274,21.7504,7.5099,188.507,38.2603,11.3864,245.6635,1.1421,8.5661,20.2537,0.5693,10.2465,510.3113,7.0677
2007年,10.9,20.9,,124.0,,0.7,6.9,17.2,497.9,,0.5,0.5,28.9,1.0,70.4,37.6,43.5,124.5,555.3,5.1,20.6,0.4,53.2,27.1,8.0,220.8,48.6,15.0,292.4,1.4,8.5,25.6,0.2,9.7,621.6,5.6
2008年,5.4,19.4,,155.3,,0.5,14.3,28.2,693.6,,0.9,3.2,35.7,3.2,86.1,58.1,65.3,156.2,746.2,4.1,20.3,3.5,65.3,37.4,13.1,299.6,90.2,20.9,423.8,3.8,11.7,36.9,0.1,11.2,844.9,5.2
2009年,5.2,19.3,,181.1,,0.5,13.7,29.1,748.0,,0.8,,29.2,4.0,78.2,49.7,74.1,181.9,788.4,4.2,21.1,3.9,73.4,44.2,13.2,334.0,81.1,24.3,452.6,0.6,12.1,47.3,0.1,10.7,899.7,8.1
2010年,7.2,26.2,,243.2,,0.5,19.5,43.3,954.9,,5.8,,33.8,6.8,101.1,60.9,92.9,249.0,1005.4,5.1,28.3,3.7,94.8,57.6,18.3,410.6,102.0,37.5,568.4,0.6,14.3,59.1,0.1,10.2,1150.8,9.3
2011年,3.5,38.1,0.5,343.6,,0.4,38.5,55.1,1147.5,0.2,4.9,,40.4,3.0,123.2,78.1,124.8,348.5,1193.9,6.8,30.0,7.5,115.8,71.5,15.5,480.9,97.4,33.1,627.0,1.0,17.8,63.7,0.4,10.6,1386.5,12.6
2012年,3.10195,31.7797,0.47723,421.61946,0.11914,0.29847,64.23338,48.74276,1477.13783,,7.56912,,70.83358,1.57664,130.12938,93.19386,143.31094,429.18858,1524.59027,8.16109,34.73438,7.49864,131.93338,81.42013,18.81105,615.82868,109.74382,38.66945,783.053,0.85334,24.16708,94.45582,0.52062,10.35305,1739.20059,22.55662
2013年,3.09932,27.49803,0.45648,560.00058,0.11747,,13.779,65.72031,1694.47215,,23.3497,,36.40927,1.57592,121.95613,89.32638,161.65442,583.35028,1713.43263,8.91304,36.03773,6.62608,150.84231,99.14799,9.63344,768.25057,75.65804,49.88851,903.43056,0.59284,25.28487,113.39185,0.59284,18.23348,1967.27059,26.46323
2014年,2.73075,27.2,0.71605,619.85862,0.14618,,13.99117,65.14741,1783.1,,30.22023,,30.85595,1.60344,135.10706,102.79042,199.95077,650.07885,1769.1,11.45783,36.71431,6.23057,162.5489,108.00001,8.75922,803.76267,77.84934,47.46039,937.83162,0.53439,24.73371,107.19712,0.53439,17.98747,2080.7,46.54661
