,中外合作经营餐饮业企业所有者权益合计,中外合资经营餐饮业企业所有者权益合计,其他外商投资餐饮业企业所有者权益合计,其他有限责任公司餐饮业企业所有者权益合计,其他港澳台商投资餐饮业企业所有者权益合计,其他联营餐饮业企业所有者权益合计,其他餐饮业企业所有者权益合计,其他餐饮服务业所有者权益合计,内资餐饮业企业所有者权益合计,国有与集体联营餐饮业企业所有者权益合计,国有独资公司餐饮业企业所有者权益合计,国有联营餐饮业企业所有者权益合计,国有餐饮业企业所有者权益合计,外商投资股份有限公司餐饮业企业所有者权益合计,外商投资餐饮业企业所有者权益合计,外资餐饮业企业所有者权益合计,快餐服务业所有者权益合计,有限责任公司餐饮业企业所有者权益合计,正餐服务业所有者权益合计,港、澳、台商合作经营餐饮业企业所有者权益合计,港、澳、台商合资经营餐饮业企业所有者权益合计,港、澳、台商投资股份有限公司餐饮业企业所有者权益合计,港、澳、台商投资餐饮业企业所有者权益合计,港、澳、台商独资经营餐饮业企业所有者权益合计,私营合伙餐饮业企业所有者权益合计,私营有限责任公司餐饮业企业所有者权益合计,私营独资餐饮业企业所有者权益合计,私营股份有限公司餐饮业企业所有者权益合计,私营餐饮业企业所有者权益合计,联营餐饮业企业所有者权益合计,股份合作餐饮业企业所有者权益合计,股份有限公司餐饮业企业所有者权益合计,集体联营餐饮业企业所有者权益合计,集体餐饮业企业所有者权益合计,餐饮业企业所有者权益合计,饮料及冷饮服务业所有者权益合计
1991年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1992年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1993年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1994年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1995年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1996年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1997年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1999年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2001年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2002年,6.7674,31.2809,0.0,39.8927,0.0,0.7608,0.7301,7.2028,233.601,0.7606,2.9704,0.7031,79.6422,0.3092,43.799,5.4415,28.9474,42.8632,270.8926,3.5873,21.3918,-0.0217,29.6429,4.6855,3.0335,43.4466,14.2631,3.6528,64.396,2.4918,6.5099,15.7665,0.2674,21.2015,307.0429,0.0
2003年,10.9,27.1,0.0,59.4,0.0,0.2,1.0,6.7,290.1,0.3,2.7,0.9,69.9,0.5,53.2,14.8,36.3,62.2,0.0,5.2,9.5,0.0,22.5,7.9,9.4,68.9,23.2,5.0,106.6,0.7,6.0,18.0,-0.6,26.3,365.8,0.4
2004年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,408.3,0.0
2005年,11.5,20.3,0.0,63.4,0.0,0.6,3.2,6.7,294.6,0.0,0.7,0.7,44.2,0.8,57.4,24.7,44.1,64.2,316.0,1.8,13.0,0.0,23.4,8.6,5.3,88.2,34.5,7.7,135.7,1.4,11.5,23.3,0.1,11.1,375.4,8.6
2006年,9.5407,27.4763,0.0,67.7611,0.0,0.7393,5.8061,11.5141,344.9093,0.0,1.8244,0.8001,42.0249,0.2345,69.4316,32.1802,46.7499,69.5855,368.6815,5.0095,10.5413,0.0715,32.5892,16.967,7.384,108.7107,60.5754,10.0012,186.6713,1.7034,8.3394,22.6208,0.1534,8.1579,446.9301,19.9847
2007年,13.9,30.7,0.0,87.3,0.0,0.9,7.0,13.0,386.03625,0.0,1.0,-0.6,46.7,1.0,83.6,38.1,59.7,88.3,430.1,4.0,12.8,0.4,36.9,19.7,9.0,119.4,61.3,10.7,200.4,0.4,6.0,28.1,0.1,9.1,506.6,3.8
2008年,1.8,23.9,0.0,114.0,0.0,0.4,20.6,21.2,623.8,0.0,0.9,1.0,59.8,1.8,77.8,50.3,71.6,114.9,655.3,4.4,13.5,5.2,51.1,27.9,17.8,170.4,148.2,16.2,352.5,1.5,12.9,49.4,0.0,12.2,752.7,4.6
2009年,4.1,25.4,0.0,138.4,0.0,0.2,17.6,26.4,637.3,0.0,0.4,0.0,50.7,3.0,88.9,56.4,90.2,138.8,659.3,4.2,13.0,6.6,56.7,32.9,17.9,179.5,128.9,18.5,344.7,0.3,12.7,60.7,0.1,11.8,782.9,7.1
2010年,4.4,29.3,0.0,189.5,0.0,0.2,25.7,41.3,789.9,0.0,0.4,0.2,47.7,3.0,96.5,59.8,95.4,189.9,796.7,4.6,10.5,1.1,57.2,41.1,22.0,221.5,148.1,27.5,419.1,0.4,16.9,78.1,0.0,12.3,943.6,10.1
2011年,4.8,46.3,0.4,222.0,0.0,0.2,36.9,45.7,838.0,0.2,4.7,0.1,49.2,3.3,132.3,77.6,128.1,226.6,862.2,3.9,14.9,4.6,78.7,55.3,18.6,259.5,119.4,23.8,421.4,1.7,14.9,81.8,1.1,5.5,1049.0,12.9
2012年,2.05673,43.78442,0.42013,249.18671,0.0,0.11241,50.89415,34.84515,999.5314,0.0,4.20045,0.13226,62.56984,3.17316,141.68031,92.24587,143.32911,253.38716,1042.62594,1.61695,29.6512,3.88061,99.32926,64.14722,17.4105,328.24429,139.14677,26.615,511.41656,1.55128,13.78445,93.55778,1.30661,12.37018,1240.54097,19.74077
2013年,1.33336,36.34294,0.3033,320.21248,0.0,0.0,17.98349,34.41761,1154.24992,0.0,13.10017,0.0,46.75116,3.00813,134.30066,93.31293,146.24085,333.31265,1187.09819,1.3419,24.74211,3.54952,103.13194,73.45428,13.59813,470.93944,133.8857,35.25962,653.68289,1.22891,7.66253,87.90637,1.22891,5.72192,1391.68252,23.92587
2014年,0.46901,36.20658,1.27151,307.57137,0.03341,0.0,15.04672,47.72545,1115.7,0.0,16.88814,0.0,47.02404,2.98724,136.48577,95.55143,152.89329,324.45951,1130.8,-0.62323,27.54248,3.11842,111.52378,81.4527,12.66051,457.6,118.33921,31.25584,619.8,1.14744,7.92941,93.44642,1.14744,6.79961,1363.7,32.24541
