,企业档案馆数,国家专门档案馆专职人员,国家专门档案馆数,国家综合档案馆专职人员,国家综合档案馆利用档案,国家综合档案馆建筑面积,国家综合档案馆开放档案,国家综合档案馆数,国家综合档案馆照片档案,国家综合档案馆馆藏档案,文化事业档案馆数,科技事业单位档案馆数,部门档案馆专职人员,部门档案馆数
1978年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1979年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1980年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1981年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1982年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1983年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1984年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1985年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1986年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1987年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1988年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1989年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1990年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1991年,229.0,2038.0,211.0,21657.0,936.9872,348.1289,2094.2806,2957.0,371.0229,9637.4346,19.0,28.0,2171.0,128.0
1992年,231.0,2082.0,206.0,22226.0,773.8283,255.7184,2018.7239,2962.0,402.3681,10003.5222,19.0,28.0,2258.0,122.0
1993年,221.0,2245.0,200.0,23624.0,891.9219,275.854,2140.7245,2980.0,435.4632,10726.7899,20.0,31.0,1448.0,122.0
1994年,209.0,2294.0,205.0,23568.0,674.3975,268.314,2454.611,2983.0,449.6122,10782.9488,20.0,36.0,2160.0,136.0
1995年,213.0,2484.0,216.0,24777.0,529.3033,282.4809,2790.3163,3024.0,485.5449,11318.3093,27.0,38.0,2168.0,144.0
1996年,232.0,2658.0,226.0,24542.0,485.398,297.4942,2939.2322,3011.0,494.6294,11341.405,23.0,44.0,2072.0,134.0
1997年,228.0,2578.0,223.0,24904.0,500.983,347.6134,3304.6159,3021.0,552.9591,12222.9275,26.0,46.0,2521.0,162.0
1998年,245.0,3200.0,232.0,24197.0,446.5015,310.6537,3556.48,3034.0,579.6652,12276.5174,27.0,46.0,2411.0,149.0
1999年,304.0,3436.0,225.0,23530.0,508.4841,328.3705,3808.2395,3046.0,584.4985,12866.7533,40.0,59.0,2123.0,142.0
2000年,307.0,3319.0,234.0,23701.0,494.3539,336.2315,4072.0394,3070.0,631.7306,13313.9803,53.0,80.0,1865.0,141.0
2001年,286.0,3448.0,243.0,23652.0,575.3647,342.0438,4129.7064,3100.0,642.7595,13756.6408,47.0,84.0,2086.0,142.0
2002年,299.0,3435.0,253.0,22825.0,548.8496,350.9964,4301.1,3110.0,720.5399,14790.7,75.0,93.0,2109.0,148.0
2003年,300.0,3514.0,260.0,23086.0,602.6,361.4,4618.4,3121.0,797.4,15945.9,75.0,85.0,1770.0,141.0
2004年,300.0,3591.0,258.0,23401.0,813.9,376.8,4868.3,3127.0,827.9,17601.5,79.0,99.0,1932.0,149.0
2005年,301.0,3452.0,238.0,23413.0,868.0,393.1,5132.3,3142.0,908.8,18688.7,105.0,63.0,2020.0,145.0
2006年,216.0,3537.0,239.0,22689.0,1166.4,406.1,5746.3,3154.0,1277.2,21656.5,110.0,95.0,1699.0,137.0
2007年,215.0,3737.0,245.0,21399.0,1244.9,421.9,5875.5,3161.0,1393.3,23675.3,126.0,94.0,1985.0,146.0
2008年,241.0,3663.0,240.0,21414.0,1257.4,465.4,6072.2,3170.0,1505.3,25051.0,141.0,87.0,1886.0,154.0
2009年,233.0,3626.0,241.0,20949.0,1308.0,473.3,6687.4,3191.0,1646.3,28089.2,167.0,96.0,1814.0,149.0
2010年,223.0,3833.0,252.0,19750.0,1417.3,504.4,7428.6,3194.0,1809.2,32198.6,160.0,111.0,1747.0,167.0
2011年,183.0,3843.0,255.0,19985.0,1564.5,551.1,7828.4,3196.0,1965.8,35445.5,179.0,124.0,2121.0,170.0
2012年,204.0,3577.0,238.0,18009.0,1521.1,627.1,8254.6,3237.0,1827.4,40547.7,260.0,0.0,2161.0,183.0
2013年,189.0,3579.0,240.0,18105.0,1477.8,709.3,8900.5,3325.0,1927.6,42454.5,274.0,0.0,2182.0,218.0
2014年,169.0,3538.0,247.0,17863.0,1688.8,924.0,9179.7,3319.0,2041.8,53470.3,252.0,0.0,2129.0,209.0
