,全年公共广播节目播出时间,全年制作广播节目时间,公共广播节目套数
1978年,0.0,0.0,0.0
1979年,0.0,0.0,0.0
1980年,0.0,0.0,0.0
1981年,0.0,0.0,0.0
1982年,0.0,0.0,0.0
1983年,0.0,0.0,0.0
1984年,0.0,0.0,0.0
1985年,0.0,280799.0,0.0
1986年,0.0,0.0,0.0
1987年,0.0,0.0,0.0
1988年,0.0,0.0,0.0
1989年,0.0,0.0,0.0
1990年,0.0,647762.0,0.0
1991年,0.0,766538.0,0.0
1992年,0.0,969180.0,0.0
1993年,0.0,1425567.0,0.0
1994年,0.0,0.0,0.0
1995年,0.0,2332164.0,0.0
1996年,0.0,0.0,0.0
1997年,0.0,3195941.0,0.0
1998年,0.0,3375588.0,0.0
1999年,0.0,3578827.0,0.0
2000年,0.0,4043046.0,0.0
2001年,0.0,4159478.0,0.0
2002年,0.0,4414043.0,0.0
2003年,0.0,5023387.0,0.0
2004年,0.0,5267457.0,0.0
2005年,0.0,6139227.0,0.0
2006年,10780486.0,6192339.0,2365.0
2007年,11272365.0,6332506.0,2432.0
2008年,11629729.1167,6494035.0,2436.0
2009年,12265513.2167,6716500.0,2520.0
2010年,12660313.8833,6814226.0,2549.0
2011年,13057495.95,6936959.8,2587.0
2012年,13383650.9667,7188245.06667,2627.0
2013年,13795460.52,7391245.25,2637.0
2014年,14058328.0,7647266.86667,2686.0
