,中央广播节目人口覆盖率,中央电视节目人口覆盖率,农村广播节目人口覆盖率,农村电视节目人口覆盖率,广播节目综合人口覆盖率,电视节目综合人口覆盖率
1978年,,,,,,
1979年,,,,,,
1980年,,,,,,
1981年,,,,,,
1982年,,,,,,
1983年,,,,,,
1984年,,,,,,
1985年,,,,,68.3,68.4
1986年,,,,,,
1987年,,,,,,
1988年,,,,,,
1989年,,,,,73.0,77.9
1990年,,,,,74.7,79.4
1991年,,,,,75.0,81.0
1992年,,,,,75.6,81.3
1993年,,,,,76.3,82.3
1994年,,,,,,
1995年,,,,,78.8,84.51
1996年,,,,,,
1997年,,,,,86.02,87.68
1998年,,,,,88.26,89.01
1999年,,,,,90.5,91.6
2000年,,,,,92.47,93.65
2001年,,,,,92.92,94.18
2002年,,,,,93.34,94.61
2003年,,,,,93.72,94.94
2004年,,,,,94.05,95.29
2005年,,,,,94.48,95.81
2006年,,,94.11,95.56,95.04,96.23
2007年,,,94.12,95.6,95.43,96.58
2008年,,,94.74,91.6,95.96,96.95
2009年,,,95.1,91.9,96.31,97.23
2010年,95.5687213791,96.5544067152,95.6413900106,96.78,96.7759576221,97.6160783041
2011年,96.13,96.99,96.085379534,97.1,97.06,97.82
2012年,,,96.6,97.55,97.51,98.2
2013年,,,97.0020659464,97.8643484356,97.7868968078,98.4192057637
2014年,,,97.2858041158,98.1137154992,97.99,98.6
