,专题广播节目制作时间,专题电视节目制作时间,其他广播节目制作时间,其他电视节目制作时间,广告广播节目制作时间,广告电视节目制作时间,广播剧广播节目制作时间,广播节目制作时间,影视剧电视节目制作时间,新闻广播节目制作时间,新闻电视节目制作时间,电视节目制作时间,综艺广播节目制作时间,综艺电视节目制作时间
1978年,,,,,,,,,,,,,,
1979年,,,,,,,,,,,,,,
1980年,,,,,,,,,,,,,,
1981年,,,,,,,,,,,,,,
1982年,,,,,,,,,,,,,,
1983年,,,,,,,,,,,,,,
1984年,,,,,,,,,,,,,,
1985年,51603.0,4752.0,,,,,,280799.0,,65955.0,7444.0,38056.0,,
1986年,,,,,,,,,,,,,,
1987年,,,,,,,,,,,,,,
1988年,,,,,,,,,,,,,,
1989年,,,,,,,,,,,,,,
1990年,123741.0,15739.0,,,,,,647762.0,,135550.0,28593.0,91572.0,,
1991年,,,,,,,,766538.0,,152996.0,33791.0,108492.0,,
1992年,,,,,,,,969180.0,,178104.0,42393.0,148143.0,,
1993年,,,,,,,,1425567.0,,236774.0,55766.0,218260.0,,
1994年,,,,,,,,,,,,,,
1995年,1054140.0,193391.0,,,,,,2332164.0,,353368.0,80800.0,383513.0,924656.0,109322.0
1996年,,,,,,,,,,,,,,
1997年,697327.0,97465.0,,,,,,3195941.0,,429069.0,116953.0,616437.0,,
1998年,653643.0,91550.0,,,,,,3375588.0,,400860.0,115716.0,725699.0,,
1999年,717224.0,94863.0,,,,,,3578827.0,,413120.0,128036.0,790874.0,,
2000年,821031.0,105257.0,,,,,,4043046.0,,449582.0,147239.0,871081.0,,
2001年,1578183.0,379490.0,,,,,,4159478.0,,483631.0,235336.0,1578755.0,,
2002年,1703554.0,379240.0,,,,,,4414043.0,,531278.0,256883.0,1680909.0,,
2003年,1861943.0,433083.0,,,,,,5023387.0,,628090.0,280273.0,1791110.0,,
2004年,1579675.0,486311.0,592424.0,241247.0,564207.0,426553.0,66053.0,5267457.0,167511.0,858579.0,474218.0,2117158.0,1606519.0,321318.0
2005年,1822621.0,525528.0,565909.0,289364.0,671071.0,524892.0,75456.0,6139227.0,193771.0,1066880.0,637956.0,2553861.0,1937290.0,382350.0
2006年,1728485.0,540369.0,671142.0,363442.0,691610.0,589067.0,59225.0,6192339.0,71377.0,1055077.0,646337.0,2618034.0,1986800.0,407442.0
2007年,1798165.0,545922.0,777737.0,342148.0,722411.0,585277.0,76889.0,6332506.0,96397.0,1062423.0,595190.0,2553283.0,1894881.0,388349.0
2008年,1837471.0,622182.0,795373.0,330910.0,737223.0,558914.0,72629.0,6494035.0,58616.0,1116588.0,678820.0,2641949.0,1934751.0,392507.0
2009年,1900995.0,611352.0,817807.0,352701.0,782757.0,544038.0,90735.0,6716500.0,66899.0,1166848.0,675885.0,2653552.0,1957358.0,402677.0
2010年,1955180.0,640857.0,843474.0,354188.0,775931.0,526839.0,80181.0,6814226.0,93536.25,1216632.0,719680.0,2742949.25,1942828.0,407849.0
2011年,2016386.27,775564.6,833698.65,372515.0,766462.83,508294.0,119476.77,6936959.8,75451.73,1295018.87,802376.0,2950490.2,1905916.42,416288.8
2012年,2044072.83333,892521.1,900789.783333,455160.983333,796009.45,555192.15,140492.85,7188245.06667,163347.7,1333084.08333,886904.883333,3436300.96667,1973796.06667,483174.15
2013年,2091787.28,854124.2,962501.92,468035.483333,785278.0,542823.366667,178163.2,7391245.25,201117.216667,1397353.3,866756.466667,3397834.01667,1976161.97,464977.283333
2014年,2120516.66667,848275.716667,1069277.46667,415441.283333,808147.55,510274.85,185405.383333,7647266.86667,116750.083333,1443463.55,918296.2,3277393.51667,2020456.25,468355.383333
