,博物馆举办展览,博物馆从业人员,博物馆参观人次,博物馆基本陈列,博物馆文物藏品,博物馆机构数,博物馆考古发掘项目,本年博物馆从有关部门接收文物数,本年博物馆修复文物数
1978年,0.0,0.0,0.0,0.0,0.0,349.0,0.0,0.0,0.0
1979年,0.0,0.0,0.0,0.0,0.0,344.0,0.0,0.0,0.0
1980年,0.0,0.0,0.0,0.0,0.0,365.0,0.0,0.0,0.0
1981年,0.0,0.0,0.0,0.0,0.0,383.0,0.0,0.0,0.0
1982年,0.0,0.0,0.0,0.0,0.0,409.0,0.0,0.0,0.0
1983年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1984年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1985年,0.0,0.0,0.0,0.0,0.0,711.0,0.0,0.0,0.0
1986年,0.0,0.0,0.0,0.0,0.0,777.0,0.0,0.0,0.0
1987年,0.0,0.0,8245.0,0.0,7313878.0,827.0,0.0,0.0,0.0
1988年,0.0,0.0,10618.0,0.0,7663071.0,903.0,0.0,0.0,0.0
1989年,0.0,0.0,6716.0,0.0,7785715.0,967.0,0.0,0.0,0.0
1990年,0.0,0.0,14976.1,0.0,7779011.0,1013.0,0.0,0.0,0.0
1991年,0.0,0.0,14357.0,0.0,8026956.0,1075.0,0.0,0.0,0.0
1992年,0.0,0.0,9425.0,0.0,8391662.0,1106.0,0.0,0.0,0.0
1993年,0.0,0.0,8982.0,0.0,8644857.0,1130.0,0.0,0.0,0.0
1994年,0.0,0.0,0.0,0.0,0.0,1161.0,0.0,0.0,0.0
1995年,0.0,0.0,0.0,0.0,0.0,1194.0,0.0,0.0,0.0
1996年,0.0,0.0,0.0,0.0,0.0,1219.0,0.0,0.0,0.0
1997年,0.0,0.0,0.0,0.0,0.0,1282.0,0.0,0.0,0.0
1998年,0.0,32135.0,8844.0,0.0,9309135.0,1339.0,0.0,0.0,0.0
1999年,0.0,33435.0,9246.3,0.0,9506191.0,1363.0,0.0,0.0,0.0
2000年,0.0,34199.0,8540.0,0.0,9813923.0,1392.0,0.0,0.0,0.0
2001年,0.0,35092.0,7955.0,0.0,0.0,1461.0,0.0,0.0,0.0
2002年,0.0,35833.0,7980.0,0.0,0.0,1511.0,0.0,0.0,0.0
2003年,0.0,34891.0,6206.0,0.0,0.0,1515.0,0.0,0.0,0.0
2004年,0.0,39266.0,9736.0,0.0,12856434.0,1548.0,0.0,0.0,0.0
2005年,0.0,38603.0,11819.0,0.0,16199377.0,1581.0,0.0,0.0,0.0
2006年,0.0,40818.0,12032.4,0.0,13024192.0,1617.0,0.0,0.0,0.0
2007年,0.0,42636.0,25625.0,0.0,13760448.0,1722.0,0.0,0.0,0.0
2008年,0.0,51587.0,28328.0,0.0,14554158.0,1893.0,0.0,41046.0,0.0
2009年,0.0,59919.0,32715.6,0.0,15711150.0,2252.0,0.0,44211.0,0.0
2010年,10091.0,57431.0,40679.3,16613.0,17552482.0,2435.0,539.0,20900.0,33871.0
2011年,9867.0,62181.0,47050.68,7054.0,19023423.0,2650.0,366.0,434695.0,79496.0
2012年,11885.0,71748.0,56401.076,8230.0,23180726.0,3069.0,325.0,47314.0,39120.0
2013年,9172.0,79075.0,63776.0,7650.0,27191601.0,3473.0,0.0,113070.0,304839.0
2014年,0.0,83970.0,71773.809,0.0,29299673.0,3658.0,0.0,186236.0,0.0
