,生产动画片数,生产故事影片数,生产特种影片数,生产科教影片数,生产纪录影片数,电影故事片厂数
1978年,26,46,0,289,202,12
1979年,25,65,0,349,317,17
1980年,32,82,0,337,242,17
1981年,33,105,0,277,276,19
1982年,33,112,0,284,259,19
1983年,37,127,0,343,299,19
1984年,37,144,0,387,337,20
1985年,45,127,0,357,419,20
1986年,46,134,0,383,417,20
1987年,45,146,0,353,347,22
1988年,38,158,0,344,350,22
1989年,53,136,0,334,259,22
1990年,51,134,0,326,296,22
1991年,46,130,0,351,283,22
1992年,56,170,0,354,307,22
1993年,47,154,0,252,300,22
1994年,32,148,0,182,22,22
1995年,37,146,0,40,111,30
1996年,58,110,0,33,39,30
1997年,28,88,0,34,95,31
1998年,9,82,0,30,54,31
1999年,3,99,0,20,14,31
2000年,1,91,0,49,10,31
2001年,1,88,0,56,9,27
2002年,2,100,0,60,7,31
2003年,2,140,0,53,6,31
2004年,4,212,0,30,10,31
2005年,7,260,0,33,2,32
2006年,13,330,0,36,13,32
2007年,6,402,0,34,9,32
2008年,16,406,2,39,16,33
2009年,27,456,4,52,19,31
2010年,16,526,9,54,16,31
2011年,24,558,5,76,26,31
2012年,33,745,26,74,15,31
2013年,29,638,18,121,18,31
2014年,40,618,23,52,25,31
