,乡镇(街道)文化站数,公共图书馆业机构数,博物馆数,县市级群众文化机构数,省级、地市级文化馆数,群众文化服务业机构数,艺术表演团体数,艺术表演场馆数
1978年,4053,1218,349,2748,92,6893,3150,1095
1979年,0,1651,344,0,0,0,3482,1255
1980年,5609,1732,365,2912,218,8739,3533,1444
1981年,0,1787,383,0,0,0,3483,1415
1982年,0,1889,409,0,0,0,3460,1424
1983年,0,2038,0,0,0,0,3444,1688
1984年,0,2217,0,0,0,0,3397,1684
1985年,5281,2344,711,2960,335,8576,3317,1377
1986年,5583,2406,777,2993,337,8913,3195,2058
1987年,5653,2440,827,2973,348,8974,3094,2148
1988年,5712,2485,903,2975,358,9045,2985,2081
1989年,5716,2512,967,2955,366,9037,2850,2050
1990年,5895,2527,1013,2955,366,9216,2805,1955
1991年,7242,2535,1075,2894,371,10507,2772,2068
1992年,6292,2558,1106,2900,372,9564,2753,2037
1993年,6899,2572,1130,2886,370,10155,2707,2024
1994年,8015,2589,1161,2887,374,11276,2698,1998
1995年,10228,2615,1194,2886,373,13487,2682,1958
1996年,41969,2620,1219,2892,392,45253,2664,1934
1997年,42163,2628,1282,2901,385,45449,2663,1947
1998年,42547,2662,1339,2901,386,45834,2652,1929
1999年,42543,2669,1363,2905,389,45837,2632,1911
2000年,42024,2675,1392,2907,390,45321,2619,1900
2001年,40138,2696,1461,2842,399,43379,2605,1854
2002年,39273,2697,1511,2854,389,42516,2587,1829
2003年,38588,2709,1515,2846,382,41816,2601,1900
2004年,38181,2720,1548,2841,380,41402,2759,1928
2005年,38362,2762,1581,2851,375,41588,2805,1866
2006年,36874,2778,1617,2819,395,40088,2866,1839
2007年,37384,2799,1722,2806,411,40601,4512,1732
2008年,37938,2820,1893,2829,389,41156,5114,1662
2009年,38736,2850,2252,2862,361,41959,6139,1499
2010年,40118,2884,2435,2890,374,43382,6864,1461
2011年,40390,2952,2650,2906,379,43675,7055,1429
2012年,40575,3076,3069,2919,382,43876,7321,1279
2013年,40945,3112,3473,2930,385,44260,8180,1344
2014年,41110,3117,3658,2928,385,44423,8769,1338
