,图书出版种数,图书总印张数,图书总印数,图书新出版种数,报纸出版总印张数,报纸出版总印数,报纸出版种数,报纸每期出版平均印数,期刊出版总印张数,期刊出版总印数,期刊出版种数,期刊每期出版平均印数
1978年,14987.0,135.43,37.74,11888.0,113.52,127.76,186.0,4280.1,22.74,7.62,930.0,6200.1
1979年,17212.0,172.5,40.7,14007.0,123.0,130.8,69.0,4761.5,30.1,11.8,1470.0,7960.2
1980年,21621.0,195.74,45.93,17660.0,141.7,140.42,188.0,6236.0,36.72,11.25,2191.0,10298.4
1981年,25601.0,217.7,55.8,19854.0,133.6,140.7,242.0,7152.2,45.6,14.6,2801.0,13095.6
1982年,31784.0,222.0,58.8,23445.0,129.1,140.0,277.0,8074.3,46.0,15.1,3100.0,13885.2
1983年,35700.0,232.4,58.0,25826.0,142.7,155.1,340.0,9611.3,52.5,17.7,3415.0,15995.4
1984年,40072.0,260.6,62.5,28794.0,162.3,180.8,458.0,16246.2,64.3,21.8,3907.0,20440.2
1985年,45603.0,282.75,66.73,33743.0,202.81,246.78,1445.0,19107.0,77.29,25.6,4705.0,23952.0
1986年,51789.0,220.3,52.0,39426.0,172.2,193.9,791.0,14627.7,73.0,24.0,5248.0,21980.0
1987年,60213.0,261.2,62.5,42854.0,183.2,204.9,850.0,15524.4,72.7,25.9,5687.0,24375.0
1988年,65961.0,269.0,62.2,46774.0,189.7,207.2,829.0,15170.2,71.2,25.5,5865.0,23275.0
1989年,74973.0,243.6,58.6,55475.0,179.5,207.0,1576.0,15288.0,50.7,18.4,6078.0,17145.0
1990年,80224.0,232.0549,56.36,55245.0,182.79,211.25,1444.0,14670.0,48.12,17.9,5751.0,16156.0
1991年,89615.0,266.10696,61.394,58467.0,205.77,236.51,1524.0,16393.0,54.44,20.62,6056.0,18216.0
1992年,92148.0,280.3764,63.375,58169.0,238.78,257.85,1657.0,18031.0,62.73,23.6,6486.0,20506.0
1993年,96761.0,282.26054,59.3372,66313.0,287.13,263.83,1788.0,18478.0,64.21,23.51,7011.0,20780.0
1994年,103836.0,297.15954,60.0775,69779.0,310.75,253.19,1953.0,17736.0,63.86,22.11,7325.0,19763.0
1995年,101381.0,316.78208,63.22,59159.0,359.62,263.27,2089.0,17644.0,67.02,23.37,7583.0,19794.0
1996年,112813.0,360.45142,71.6,63647.0,392.41,274.3,2163.0,17877.0,68.06,23.1,7916.0,19300.0
1997年,120106.0,364.002,73.1,66585.0,459.81,287.6,2149.0,18259.0,73.3,24.4,7918.0,20046.0
1998年,130613.0,373.61708,72.4,74719.0,540.0,300.4,2053.0,18211.0,79.87,25.4,7999.0,20928.0
1999年,141831.0,391.35314,73.2,83095.0,636.68,318.4,2038.0,18632.0,96.77,28.5,8187.0,21845.0
2000年,143376.0,376.2144,62.74,84235.0,799.83,329.29,2007.0,17914.0,100.04,29.42,8725.0,21544.0
2001年,155000.0,406.08276,63.1,91416.0,938.9,351.1,2111.0,18130.0,100.9,28.9,8889.0,20697.0
2002年,171000.0,456.44889,68.7,100693.0,1067.4,367.83,2137.0,18721.12,106.4,29.51,9029.0,20406.0
2003年,190000.0,462.22401,66.7,110812.0,1235.6,383.11,2119.0,19072.0,109.1,29.5,9074.0,19909.0
2004年,208000.0,465.58511,64.1,121597.0,1524.8,402.4,1922.0,19522.0,110.5,28.3,9490.0,17208.0
2005年,222473.0,493.29119,64.6597,128578.0,1613.1,412.604,1931.0,19549.0,125.3,27.5894,9468.0,16286.0
2006年,233971.0,511.95776,64.0809,160757.0,1658.9,424.5172,1938.0,19703.0,136.9,28.5216,9468.0,16435.0
2007年,248283.0,486.50689,62.9331,136226.0,1700.76144,437.9882,1938.0,20545.37,157.93057,30.4106,9468.0,16697.0
2008年,274123.0,561.1,70.6185,148978.0,1930.55001,442.9222,1943.0,21154.79,157.98297,31.049,9549.0,16767.0
2009年,301719.0,565.50271,70.3675,168296.0,1969.39842,439.1132,1937.0,20837.15,166.24089,31.525,9851.0,16457.0
2010年,328387.0,606.3317,71.7051,189295.0,2148.0284,452.1391,1939.0,21437.68,181.05992143,32.1535,9884.0,16348.5192
2011年,369523.0,634.51289,77.0518,207506.0,2272.0,467.4326,1928.0,21517.0,192.7287671,32.8522,9849.0,16880.0343
2012年,414005.0,666.99442,79.2464,241986.0,2211.00305,482.2568,1918.0,22762.0,196.0,33.479817,9867.0,16767.0
2013年,444427.0,712.58143,83.1048,255981.0,2097.8409,482.4132,1915.0,23695.77,194.6951827,32.724315,9877.0,16453.4644
2014年,448431.0,,81.8465,255890.0,,463.8987,1912.0,,,30.945195,9966.0,
