,公共图书馆业机构数,其他文化及相关产业机构数,其他部门公共图书馆业机构数,其他部门其他文化及相关产业机构数,其他部门文化及相关产业机构数,其他部门文化市场经营机构机构数,其他部门文化文物机构数,其他部门文物业机构数,其他部门文艺科研机构机构数,其他部门群众文化服务业机构数,其他部门艺术业机构数,其他部门艺术教育业机构数,其他部门非文化及相关产业机构数,文化及相关产业机构数,文化市场经营机构数,文化文物机构数,文化部门公共图书馆业机构数,文化部门其他文化及相关产业机构数,文化部门其他经济公共图书馆业机构数,文化部门其他经济其他文化及相关产业机构数,文化部门其他经济文化及相关产业机构数,文化部门其他经济文化市场经营机构机构数,文化部门其他经济文化文物机构数,文化部门其他经济文物业机构数,文化部门其他经济文艺科研机构机构数,文化部门其他经济群众文化服务业机构数,文化部门其他经济艺术业机构数,文化部门其他经济艺术教育业机构数,文化部门其他经济非文化及相关产业机构数,文化部门国有经济公共图书馆业机构数,文化部门国有经济其他文化及相关产业机构数,文化部门国有经济文化及相关产业机构数,文化部门国有经济文化市场经营机构机构数,文化部门国有经济文化文物机构数,文化部门国有经济文物业机构数,文化部门国有经济文艺科研机构机构数,文化部门国有经济群众文化服务业机构数,文化部门国有经济艺术业机构数,文化部门国有经济艺术教育业机构数,文化部门国有经济非文化及相关产业机构数,文化部门文化及相关产业机构数,文化部门文化市场经营机构机构数,文化部门文化文物机构数,文化部门文物业机构数,文化部门文艺科研机构机构数,文化部门群众文化服务业机构数,文化部门艺术业机构数,文化部门艺术教育业机构数,文化部门集体经济公共图书馆业机构数,文化部门集体经济其他文化及相关产业机构数,文化部门集体经济文化及相关产业机构数,文化部门集体经济文化市场经营机构机构数,文化部门集体经济文化文物机构数,文化部门集体经济文物业机构数,文化部门集体经济文艺科研机构机构数,文化部门集体经济群众文化服务业机构数,文化部门集体经济艺术业机构数,文化部门集体经济艺术教育业机构数,文化部门集体经济非文化及相关产业机构数,文化部门非文化及相关产业机构数,文物业机构数,文艺科研机构数,群众文化服务业机构数,艺术业机构数,艺术教育业机构数,非文化及相关产业机构数
1978年,1218.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6893.0,,,
1979年,1651.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1980年,1732.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8739.0,,,
1981年,1787.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1982年,1889.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1983年,2038.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1984年,2217.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1985年,2344.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8576.0,,,
1986年,2406.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8913.0,,,
1987年,2440.0,,,,,,,,,,,,,67597.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8974.0,6016.0,33.0,
1988年,2485.0,,,,,,,,,,,,,67856.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9045.0,5887.0,210.0,
1989年,2512.0,,,,,,,,,,,,,67024.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9037.0,5813.0,210.0,
1990年,2527.0,,,,,,,,,,,,,67853.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9216.0,5798.0,206.0,
1991年,2535.0,,,,,,,,,,,,,67640.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10507.0,4840.0,224.0,
1992年,2558.0,,,,,,,,,,,,,61311.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9564.0,4790.0,223.0,
1993年,2572.0,,,,,,,,,,,,,59189.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10155.0,4731.0,223.0,
1994年,2589.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11276.0,,,
1995年,2615.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13487.0,,,
1996年,2620.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45253.0,,,
1997年,2628.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45449.0,,,
1998年,2662.0,,,,,,,,,,,,,337772.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3496.0,,45834.0,4581.0,235.0,
1999年,2669.0,,,,,,,,,,,,,329919.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3553.0,,45837.0,5131.0,238.0,
2000年,2675.0,,,,,,,,,,,,,282784.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3618.0,,45321.0,5120.0,220.0,
2001年,2696.0,,,,,,,,,,,,,263417.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3739.0,,43379.0,5105.0,211.0,
2002年,2697.0,,,,,,,,,,,,,305603.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3867.0,,42516.0,4416.0,205.0,
2003年,2709.0,,,,,,,,,,,,,349055.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3903.0,,41816.0,5123.0,195.0,
2004年,2720.0,,,,,,,,,,,,,362363.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3965.0,,41402.0,5172.0,193.0,
2005年,2762.0,,,,,,,,,,,,,381512.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4030.0,,41588.0,,189.0,
2006年,2778.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4092.0,,40088.0,,186.0,
2007年,2799.0,,,,,,,,,,,,,375599.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4277.0,,40601.0,375363.0,171.0,
2008年,2820.0,3965.0,,,,,,,,,,,,365699.0,305589.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4437.0,197.0,41156.0,7366.0,169.0,246.0
2009年,2850.0,8179.0,,,,,,,,,,,,305630.0,239571.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4842.0,210.0,41959.0,8582.0,158.0,134.0
2010年,2884.0,7535.0,5.0,780.0,250554.0,244591.0,250631.0,260.0,,,4918.0,,77.0,313342.0,244697.0,313540.0,2879.0,6755.0,,135.0,361.0,28.0,373.0,25.0,,,173.0,,12.0,2879.0,6587.0,61980.0,50.0,62079.0,4868.0,214.0,43382.0,3851.0,149.0,99.0,62788.0,106.0,62909.0,4947.0,214.0,43382.0,4354.0,151.0,,33.0,447.0,28.0,457.0,54.0,,,330.0,2.0,10.0,121.0,5207.0,214.0,43382.0,9272.0,151.0,198.0
2011年,2952.0,7638.0,,570.0,246320.0,240312.0,246352.0,272.0,,,5166.0,,32.0,309953.0,240362.0,310091.0,2952.0,7068.0,,99.0,370.0,8.0,382.0,76.0,,,187.0,,12.0,2952.0,6935.0,62904.0,40.0,62992.0,5314.0,222.0,43675.0,3620.0,146.0,88.0,63633.0,50.0,63739.0,5456.0,222.0,43675.0,4061.0,149.0,,34.0,359.0,2.0,365.0,66.0,,,254.0,3.0,6.0,106.0,5728.0,222.0,43675.0,9227.0,149.0,138.0
2012年,3076.0,7841.0,,509.0,,234646.0,241928.0,494.0,1.0,,6278.0,,,,234759.0,305927.0,3076.0,7332.0,,221.0,,,565.0,107.0,4.0,,230.0,3.0,,3076.0,7071.0,,113.0,63102.0,5457.0,212.0,43876.0,3159.0,138.0,,,113.0,63999.0,5630.0,216.0,43876.0,3615.0,141.0,,40.0,,,332.0,66.0,,,226.0,,,,6124.0,217.0,43876.0,9893.0,141.0,
2013年,3112.0,7189.0,,475.0,,220665.0,228198.0,852.0,1.0,,6204.0,,,,220665.0,292884.0,3112.0,6714.0,,390.0,,,853.0,158.0,3.0,,299.0,3.0,,3112.0,6280.0,,,63522.0,6662.0,221.0,44260.0,2853.0,134.0,,,,64686.0,6884.0,224.0,44260.0,3353.0,139.0,,44.0,,,311.0,64.0,,,201.0,2.0,,,7737.0,225.0,44260.0,9557.0,139.0,
2014年,3117.0,7353.0,,534.0,,213547.0,221794.0,906.0,1.0,,6806.0,,,,213547.0,287356.0,3117.0,6819.0,,395.0,,,903.0,209.0,3.0,2.0,291.0,3.0,,3117.0,6382.0,,,64345.0,7237.0,221.0,44421.0,2837.0,130.0,,,,65562.0,7515.0,224.0,44423.0,3329.0,135.0,,42.0,,,314.0,69.0,,,201.0,2.0,,,8421.0,225.0,44423.0,10135.0,135.0,
