,公共图书馆业从业人员数,其他文化及相关产业从业人员数,其他部门公共图书馆业从业人员数,其他部门其他文化及相关产业从业人员数,其他部门文化及相关产业从业人员数,其他部门文化市场经营机构从业人员数,其他部门文化文物从业人员数,其他部门文物业从业人员数,其他部门文艺科研机构从业人员数,其他部门群众文化服务业从业人员数,其他部门艺术业从业人员数,其他部门艺术教育业从业人员数,其他部门非文化及相关产业从业人员数,文化及相关产业从业人员数,文化市场经营从业人员数,文化文物从业人员数,文化部门公共图书馆业从业人员数,文化部门其他文化及相关产业从业人员数,文化部门其他经济公共图书馆业从业人员数,文化部门其他经济其他文化及相关产业从业人员数,文化部门其他经济文化及相关产业从业人员数,文化部门其他经济文化市场经营机构从业人员数,文化部门其他经济文化文物从业人员数,文化部门其他经济文物业从业人员数,文化部门其他经济文艺科研机构从业人员数,文化部门其他经济群众文化服务业从业人员数,文化部门其他经济艺术业从业人员数,文化部门其他经济艺术教育业从业人员数,文化部门其他经济非文化及相关产业从业人员数,文化部门国有经济公共图书馆业从业人员数,文化部门国有经济其他文化及相关产业从业人员数,文化部门国有经济文化及相关产业从业人员数,文化部门国有经济文化市场经营机构从业人员数,文化部门国有经济文化文物从业人员数,文化部门国有经济文物业从业人员数,文化部门国有经济文艺科研机构从业人员数,文化部门国有经济群众文化服务业从业人员数,文化部门国有经济艺术业从业人员数,文化部门国有经济艺术教育业从业人员数,文化部门国有经济非文化及相关产业从业人员数,文化部门文化及相关产业从业人员数,文化部门文化市场经营机构从业人员数,文化部门文化文物从业人员数,文化部门文物业从业人员数,文化部门文艺科研机构从业人员数,文化部门群众文化服务业从业人员数,文化部门艺术业从业人员数,文化部门艺术教育业从业人员数,文化部门集体经济公共图书馆业从业人员数,文化部门集体经济其他文化及相关产业从业人员数,文化部门集体经济文化及相关产业从业人员数,文化部门集体经济文化市场经营机构从业人员数,文化部门集体经济文化文物从业人员数,文化部门集体经济文物业从业人员数,文化部门集体经济文艺科研机构从业人员数,文化部门集体经济群众文化服务业从业人员数,文化部门集体经济艺术业从业人员数,文化部门集体经济艺术教育业从业人员数,文化部门集体经济非文化及相关产业从业人员数,文化部门非文化及相关产业从业人员数,文物业从业人员数,文艺科研从业人员数,群众文化服务业从业人员数,艺术业从业人员数,艺术教育业从业人员数,非文化及相关产业从业人员数
1978年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1980年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1981年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1982年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1983年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1984年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1985年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1986年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1987年,35793,0,0,0,0,0,0,0,0,0,0,0,0,502437,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,133311,253394,20512,0
1988年,37592,0,0,0,0,0,0,0,0,0,0,0,0,497269,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,137324,240577,18475,0
1989年,39103,0,0,0,0,0,0,0,0,0,0,0,0,560295,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,136243,228856,18473,0
1990年,40247,0,0,0,0,0,0,0,0,0,0,0,0,495330,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,138901,226911,18398,0
1991年,42037,0,0,0,0,0,0,0,0,0,0,0,0,510719,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,139346,217101,19127,0
1992年,43501,0,0,0,0,0,0,0,0,0,0,0,0,457265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,133877,211510,19362,0
1993年,44367,0,0,0,0,0,0,0,0,0,0,0,0,450222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,129647,206999,18720,0
1994年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1995年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1996年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1997年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1998年,48313,0,0,0,0,0,0,0,0,0,0,0,0,1767431,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65653,0,129842,190928,20772,0
1999年,48792,0,0,0,0,0,0,0,0,0,0,0,0,1645713,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66619,0,128216,194652,20432,0
2000年,51368,0,0,0,0,0,0,0,0,0,0,0,0,1476176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68038,0,128420,190032,15578,0
2001年,48579,0,0,0,0,0,0,0,0,0,0,0,0,1333149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70923,0,120283,184717,15219,0
2002年,48447,0,0,0,0,0,0,0,0,0,0,0,0,1605136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66125,0,119072,174890,14285,0
2003年,49646,0,0,0,0,0,0,0,0,0,0,0,0,1658793,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66676,0,123458,180353,13907,0
2004年,49069,0,0,0,0,0,0,0,0,0,0,0,0,2243070,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77101,0,121438,181215,13813,0
