,儿童读物出版总印张,儿童读物出版总印数,儿童读物出版种数,课本出版总印张,课本出版总印数,课本出版种数
1978年,,,,,,
1979年,,,,,,
1980年,,,,,,
1981年,,,,,,
1982年,,,,,,
1983年,,,,,,
1984年,,,,,,
1985年,,,,,,
1986年,,,,,,
1987年,,,,,,
1988年,,,,,,
1989年,,,,,,
1990年,,,,,,
1991年,,,,,,
1992年,,,,,,
1993年,353283.0,18696.0,4086.0,,,
1994年,,,,,,
1995年,,,,,,
1996年,,,,,,
1997年,,,,,,
1998年,805750.0,24307.0,6293.0,18302004.0,368505.0,20313.0
1999年,643858.0,21508.0,6111.0,19077459.0,380807.0,20755.0
2000年,635341.0,16890.0,7004.0,19464771.0,355988.0,23694.0
2001年,757450.0,22875.0,7254.0,19544188.0,333633.0,24236.0
2002年,694849.0,23042.0,7393.0,21780889.0,355222.0,25817.0
2003年,713282.0,19895.0,7588.0,20922860.0,325380.0,28789.0
2004年,685139.0,17992.0,7989.0,21981123.0,327141.0,36087.0
2005年,955545.0,22926.0,9583.0,25393488.0,352949.0,50028.0
2006年,972961.0,19975.0,9376.0,25572776.0,350743.0,51925.0
2007年,1153509.0,24445.0,10460.0,23594404.0,332428.0,53997.0
2008年,1519546.0,33315.0,13522.0,25803172.0,330218.0,55853.0
2009年,1483746.0,28445.0,15591.0,25276621.0,323531.0,62024.0
2010年,1876864.0,35781.0,19794.0,27037727.0,335452.0,68145.0
2011年,2138117.0,37800.0,22059.0,27294304.0,343991.0,78281.0
2012年,2853998.0,47702.0,30965.0,27078790.0,347458.0,81271.0
2013年,2815938.0,45686.0,32400.0,26902976.0,345002.0,87509.0
2014年,3091760.0,49693.0,32712.0,27398531.0,349949.0,92370.0
