,艺术表演团体农村演出场次,艺术表演团体农村演出观众人次,艺术表演团体国内演出场次,艺术表演团体国内演出观众人次,艺术表演团体机构数,艺术表演团体演出场次,艺术表演场馆机构数,艺术表演场馆演(映)出场次,艺术表演场馆艺术演出场次,艺术表演场馆艺术演出观众人次,艺术表演场馆观众人次
1978年,,,,,3150.0,,1095.0,,,,
1979年,,,,,3482.0,,1255.0,,,,
1980年,,,,,3533.0,,1444.0,,,,
1981年,,,,,3483.0,,1415.0,,,,
1982年,,,,,3460.0,,1424.0,,,,
1983年,,,,,3444.0,,1688.0,,,,
1984年,,,,,3397.0,,1684.0,,,,
1985年,,,,,3317.0,,1377.0,,,,
1986年,,,,,3195.0,,2058.0,,,,
1987年,38.79,,,,3094.0,62.11,2148.0,,,,
1988年,34.78,,,,2985.0,55.18,2081.0,,,,
1989年,31.7,,,,2850.0,49.02,2050.0,,,,
1990年,31.63,,,,2805.0,49.1,1955.0,,,,
1991年,28.9,,,,2772.0,44.63,2068.0,,,,
1992年,27.92,,,,2753.0,42.53,2037.0,,,,
1993年,26.4,,,,2707.0,40.8,2024.0,,,,
1994年,,,,,2698.0,,1998.0,,,,
1995年,,,,,2682.0,,1958.0,,,,
1996年,,,,,2664.0,,1934.0,,,,
1997年,,,,,2663.0,,1947.0,,,,
1998年,26.0,,,,2652.0,42.4,1929.0,,,,
1999年,25.8,,,,2632.0,42.3,1911.0,,,,
2000年,26.0,,,,2619.0,43.0,1900.0,,,,
2001年,24.3,,,,2605.0,42.3,1854.0,,,,
2002年,23.9,,,,2587.0,41.6,1829.0,,,,
2003年,21.5,,,,2601.0,38.5,1900.0,,,,
2004年,23.48,,,,2759.0,42.5,1928.0,,,,
2005年,26.9,,,,2805.0,45.9,1866.0,,,,
2006年,29.0,,,,2866.0,49.0,1839.0,,,,
2007年,50.29,,,,4512.0,92.2,1732.0,,,,
2008年,47.222,416580.0,851.93,631868.0,5114.0,90.525,1662.0,740.0,96.0,44288.0,127443.0
2009年,74.059,515891.0,1126.35,817159.0,6139.0,120.11,1499.0,606.26,149.49,53692.0,123193.0
2010年,84.671,563676.0,1277.82,884558.0,6864.0,137.149,1461.0,811.2,147.23,54709.0,132719.0
2011年,100.671,439235.22,1465.93,745850.5,7055.0,154.72,1429.0,1040.69,139.02,47566.5,109088.3
2012年,81.155,521024.34,1249.81,828050.92,7321.0,135.018,1279.0,1186.87,172.71,61187.36,186044.08
2013年,105.073,529734.37,1628.1,900642.51,8180.0,165.105,1344.0,829.28,66.02,26624.45,77763.47
2014年,114.037,558626.66,1710.84,910196.77,8769.0,173.912,1338.0,780.66,69.54,25982.67,68443.5
