,福利彩票公益金支出,福利彩票发行单位,福利彩票提取公益金,福利彩票销售额
1978年,,,,
1979年,,,,
1980年,,,,
1981年,,,,
1982年,,,,
1983年,,,,
1984年,,,,
1985年,,,,
1986年,,,,
1987年,,,0.1,0.2
1988年,,,1.2,3.8
1989年,,,1.262,3.832
1990年,,,2.003,6.473
1991年,,,2.497,7.739
1992年,,,4.06,13.755
1993年,,,5.454,18.429
1994年,,,5.344,17.982
1995年,,,16.935,57.302
1996年,,,19.107,64.752
1997年,,,10.113,36.375
1998年,14.1,,19.59,63.199
1999年,19.9,1169.0,30.45,104.445
2000年,38.7,1253.0,24.23,89.89
2001年,19.7,1185.0,41.92,139.574
2002年,25.5,1121.0,58.797,167.993
2003年,30.6,1145.0,70.02,200.057
2004年,33.8,1128.0,79.231,226.375
2005年,52.3,1113.0,143.68,411.2
2006年,52.6,989.0,171.64,495.67
2007年,77.6,985.0,217.0,631.6
2008年,119.2,999.0,211.4,604.0
2009年,113.4,988.0,248.0,756.0
2010年,121.2,993.0,297.1,968.0
2011年,127.9,974.0,388.7,1278.0
2012年,159.0,955.0,449.4,1510.3
2013年,195.48,940.0,510.67,1765.28
2014年,231.34321,893.0,585.70118,2059.6815216
