,低视力者配用助视器人数,农村贫困残疾人危房改造受益残疾人数,农村贫困残疾人危房改造户数,城乡残疾人纳入最低生活保障人数,城镇残疾人个体及其他形式就业人数,城镇残疾人公益性岗位就业人数,城镇残疾人当年安排就业人数,城镇残疾人按比例就业人数,城镇残疾人集中就业人数,城镇残疾职工参加社会保险人数,培训家长人数,孤独症儿童机构训练人数,开展精神病防治康复工作县(市、区)个数,成人肢体残疾人社区、家庭康复训练人数,扶持贫困残疾人人数,新收训聋儿人数,智残儿童康复训练人数,未入学学龄残疾儿童少年数,残疾人中等职业教育在校生数,残疾人实用技术培训,残疾人就业服务机构数,残疾人工作者数,残疾人普及型假肢装配数,残疾人矫形器装配数,残疾人辅助器具供应数,特殊教育普通高中在校生数,白内障复明手术数,监护精神病人人数,盲人定向行走训练人数,精神病人显好率,精神病人监护率,精神病人社会参与率,精神病人肇事率,肢体残疾儿童康复训练人数,贫困白内障患者免费手术数,高等院校录取残疾考生数,麻风畸残康复矫治手术数
2003年,30932.0,,,,14.5,,32.7,8.4,9.8,,20716.0,,582.0,44221.0,,18465.0,22295.0,30.6,,,3005.0,7.8,,,,,57.4,242.6,,71.1,90.2,60.6,0.3,,,,3852.0
2004年,32791.0,,,,18.1,,37.8,8.8,10.9,,22276.0,,701.0,49332.0,,19620.0,22982.0,27.5,,,3022.0,8.0,,,,,56.9,256.8,,72.8,92.3,62.0,0.2,,,,3714.0
2005年,35575.0,2.7,2.1,,16.7,,39.1,11.0,11.4,,23374.0,,739.0,53808.0,194.2,19765.0,24141.0,24.3,,71.6,3048.0,8.1,,,,,57.2,274.3,,73.5,92.4,62.3,0.2,,10.8,,3903.0
2006年,32298.0,8.8544,5.3221,,16.0,,36.2,9.9,10.3,,22322.0,750.0,1294.0,53903.0,176.7,19444.0,25657.0,22.3,,80.8,3076.0,9.1,,,,,70.6,348.8,6815.0,71.1,88.1,59.5,0.3,13674.0,14.9,,1692.0
2007年,31607.0,16.7404,12.1766,635.886,15.8,,39.2,11.5,11.9,260.7726,26737.0,1056.0,1555.0,75947.0,179.4,19869.0,26084.0,22.7,9028.0,77.0,3127.0,9.4,23339.0,12689.0,95.0,4978.0,80.0,363.4,12224.0,69.26,83.76,56.07,0.38,12239.0,23.0,6320.0,3964.0
2008年,34803.0,13.977,9.8432,738.6156,15.6,,36.8,9.9,11.3,297.5762,24314.0,1027.0,1644.0,80468.0,179.8,20122.0,26887.0,22.0,9932.0,87.0,3127.0,9.4,26438.0,11950.0,109.5,5464.0,88.8,383.8,12936.0,70.0,86.4,56.9,0.2,15690.0,25.1,7305.0,1034.0
2009年,40501.0,14.0,10.2,853.6256,15.6404,,35.023,8.9019,10.4807,287.639,25654.0,5290.0,1727.0,90588.0,192.3,19830.0,26748.0,21.1,11448.0,84.0,3043.0,9.5,25029.0,11425.0,112.1799,6339.0,104.3,412.8,15034.0,69.54,84.19,55.36,0.35,15058.0,37.3,7782.0,1166.0
2010年,33467.0,14.5,11.8,927.1012,13.7,,32.4,8.6,10.2,283.2,22924.0,5620.0,1818.0,114939.0,204.0,18809.0,26731.0,14.6,11506.0,85.5,3019.0,9.9,30283.0,26189.0,113.9,6067.0,79.9,416.2,16157.0,68.4,84.0,54.5,0.3,21375.0,27.3,8731.0,668.0
2011年,35737.0,11.5,9.4,1031.4,14.6,2.1,31.784,7.5242,9.6943,299.3,29497.0,6910.0,2423.0,149000.0,211.8,17730.0,28037.0,12.6,11572.0,92.3,2678.0,10.9,30539.0,15169.0,74.3,7207.0,75.8,421.2,24871.0,68.4,80.5,53.8,0.2,17558.0,31.0,8027.0,159.0
2012年,117214.0,15.7,13.2,1070.5,14.7,,32.9319,8.0098,10.1838,280.9,38646.0,11119.0,,328000.0,229.9,19659.0,115218.0,9.096,10442.0,86.1,,,38961.0,40105.0,114.48,7043.0,79.6,449.0,119844.0,67.2,,52.6,,29522.0,33.4,8363.0,
2013年,129000.0,14.4,12.2,1093.0,17.5,,36.9,8.7,10.7,296.7,39376.0,16656.0,,318000.0,238.7,20000.0,100663.0,8.3532,11350.0,85.6,,,29000.0,47000.0,128.3,7313.0,74.6,461.9,120000.0,66.2,,51.4,,35000.0,29.1,8926.0,
2014年,141625.0,10.3272,8.9566,1105.6,10.7221,,25.3,6.9619,7.6053,282.8,38970.0,19727.0,,,233.2309,19401.0,104275.0,8.5107,11671.0,72.6198,,,28644.0,64226.0,152.4223,7227.0,74.8089,463.5259,122724.0,66.2,,51.7,,,30.0117,8183.0,
