,基金会单位数,基金会职工人数,民办非企业单位单位数,民办非企业单位职工人数,社会团体单位数,社会团体职工人数,社会组织单位数,社会组织增加值,社会组织女性职工人数,社会组织职工人数
1978年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1979年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1980年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1981年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1982年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1983年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1984年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1985年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1986年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1987年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1988年,0.0,0.0,0.0,0.0,4446.0,0.0,4446.0,0.0,0.0,0.0
1989年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1990年,0.0,0.0,0.0,0.0,10855.0,0.0,10855.0,0.0,0.0,0.0
1991年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1992年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1993年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1994年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1995年,0.0,0.0,0.0,0.0,180583.0,0.0,180583.0,0.0,0.0,0.0
1996年,0.0,0.0,0.0,0.0,184821.0,0.0,184821.0,0.0,0.0,0.0
1997年,0.0,0.0,0.0,0.0,181318.0,0.0,181318.0,0.0,0.0,0.0
1998年,0.0,0.0,0.0,0.0,165600.0,0.0,165600.0,0.0,0.0,0.0
1999年,0.0,0.0,5901.0,0.0,136764.0,0.0,142665.0,0.0,0.0,0.0
2000年,0.0,0.0,22654.0,0.0,130668.0,0.0,153322.0,0.0,0.0,0.0
2001年,0.0,0.0,82134.0,0.0,128805.0,0.0,210939.0,0.0,0.0,0.0
2002年,0.0,0.0,111212.0,0.0,133297.0,0.0,244509.0,0.0,0.0,0.0
2003年,954.0,0.0,124491.0,0.0,141167.0,0.0,266612.0,0.0,0.0,0.0
2004年,892.0,0.0,135181.0,0.0,153359.0,0.0,289432.0,0.0,0.0,0.0
2005年,975.0,0.0,147637.0,0.0,171150.0,0.0,319762.0,0.0,0.0,0.0
2006年,1144.0,15391.0,161303.0,1540476.0,191946.0,2695983.0,354393.0,112.16681,1062770.0,4251850.0
2007年,1340.0,18269.0,173915.0,1664959.0,211661.0,2885287.0,386916.0,307.57906,1166211.0,4568515.0
2008年,1597.0,10414.0,182382.0,1892060.0,229681.0,2855858.0,413660.0,372.40181,1406787.0,4758332.0
2009年,1843.0,12000.0,190479.0,2078160.0,238747.0,3356506.0,431069.0,493.0895,1581352.0,5446666.0
2010年,2200.0,13164.0,198175.0,2208050.0,245256.0,3960704.0,445631.0,518.33429,1628947.0,6181918.0
2011年,2614.0,14141.0,204388.0,2348326.0,254969.0,3630298.0,461971.0,660.0,1495862.0,5992765.0
2012年,3029.0,18686.0,225108.0,2644621.0,271131.0,3469467.0,499268.0,525.56,1777824.0,6132774.0
2013年,3549.0,18646.0,254670.0,2815532.0,289026.0,3531635.0,547245.0,0.0,1880817.0,6365813.0
2014年,4117.0,20394.0,292195.0,3065964.0,309736.0,3736265.0,606048.0,0.0,2003785.0,6822623.0
