,京九线货物周转量,京包线货物周转量,京哈线货物周转量,京广线货物周转量,京沪线货物周转量,兰新线货物周转量,包兰线货物周转量,北同蒲线货物周转量,南同蒲线货物周转量,南昆线货物周转量,大秦线货物周转量,太焦线货物周转量,宝成线货物周转量,成昆线货物周转量,新石线货物周转量,沪昆线货物周转量,滨洲线货物周转量,滨绥线货物周转量,焦柳线货物周转量,石太线货物周转量,石德线货物周转量,胶济线货物周转量,陇海线货物周转量,青藏线货物周转量
1978年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1979年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1980年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1981年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1982年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1983年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1984年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1985年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1986年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1987年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1988年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1989年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1990年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1991年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1992年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1993年,0.0,450.54,0.0,1760.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,184.07,148.22,0.0,168.06,107.48,185.53,742.38,0.0
1994年,0.0,404.69,0.0,1850.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,178.47,148.93,0.0,173.28,116.18,198.28,766.84,0.0
1995年,0.0,473.9,0.0,1883.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,177.3,157.83,0.0,173.97,118.32,205.42,802.55,0.0
1996年,0.0,470.77,0.0,1822.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,183.57,170.81,0.0,172.51,117.92,215.28,828.99,0.0
1997年,0.0,471.78,0.0,1607.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,189.11,175.24,0.0,174.65,111.4,215.99,818.33,0.0
1998年,415.69,421.57,0.0,1398.99,0.0,444.18,0.0,0.0,0.0,0.0,322.12,0.0,161.44,193.75,114.04,0.0,176.09,147.01,0.0,156.16,106.32,184.33,780.76,0.0
1999年,531.5,432.5,0.0,1239.02,0.0,506.88,0.0,0.0,0.0,0.0,365.78,0.0,153.64,189.98,126.09,0.0,188.18,148.99,0.0,172.35,105.21,186.36,779.04,0.0
2000年,545.65,471.22,0.0,1247.93,0.0,569.7,0.0,0.0,0.0,0.0,445.98,0.0,155.82,209.98,137.93,0.0,191.44,152.36,0.0,190.61,111.19,209.7,869.15,0.0
2001年,582.58,516.5,0.0,1316.58,0.0,607.72,0.0,0.0,0.0,0.0,524.24,0.0,197.46,245.67,163.26,0.0,195.98,161.92,0.0,200.14,104.69,235.08,952.25,0.0
2002年,619.19,570.77,0.0,1311.96,0.0,633.48,266.81,0.0,0.0,0.0,596.98,0.0,223.86,270.28,189.72,0.0,211.81,163.84,0.0,213.01,116.64,252.82,1000.27,54.73
2003年,575.38,596.45,0.0,1337.99,0.0,682.75,280.33,0.0,0.0,0.0,677.27,0.0,227.31,287.73,204.72,0.0,230.73,174.68,0.0,226.36,114.23,250.15,1098.57,61.89
2004年,667.96,586.49,351.31,1430.11,0.0,758.61,303.74,0.0,0.0,0.0,871.2,0.0,247.9,305.16,273.06,0.0,274.71,190.47,0.0,219.47,132.69,197.15,1147.53,70.54
2005年,893.99,559.23,0.0,1404.66,0.0,916.87,341.1,0.0,0.0,0.0,1073.7,0.0,269.89,317.89,424.64,0.0,314.51,202.75,0.0,237.9,160.9,191.01,1165.95,75.35
