,京九线货运量,京包线货运量,京哈线货运量,京广线货运量,京沪线货运量,兰新线货运量,包兰线货运量,北同蒲线货运量,南同蒲线货运量,南昆线货运量,大秦线货运量,太焦线货运量,宝成线货运量,成昆线货运量,新石线货运量,沪昆线货运量,滨洲线货运量,滨绥线货运量,焦柳线货运量,石太线货运量,石德线货运量,胶济线货运量,陇海线货运量,青藏线货运量
1978年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1979年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1980年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1981年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1982年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1983年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1984年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1985年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1986年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1987年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1988年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1989年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1990年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1991年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1992年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1993年,0.0,2562.0,0.0,8499.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2875.0,967.0,0.0,3753.0,284.0,2736.0,5397.0,0.0
1994年,0.0,2840.0,0.0,8403.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2668.0,943.0,0.0,3797.0,302.0,2827.0,5423.0,0.0
1995年,0.0,3280.0,0.0,8470.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2735.0,955.0,0.0,3736.0,266.0,2970.0,5529.0,0.0
1996年,0.0,3562.0,0.0,8306.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2750.0,983.0,0.0,3736.0,272.0,3289.0,5528.0,0.0
1997年,0.0,3851.0,0.0,7962.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2845.0,976.0,0.0,3584.0,300.0,3359.0,5414.0,0.0
1998年,654.0,3915.0,0.0,7442.0,0.0,3455.0,0.0,0.0,0.0,0.0,448.0,0.0,1009.0,1420.0,1256.0,0.0,2567.0,974.0,0.0,3133.0,311.0,3058.0,5045.0,0.0
1999年,737.0,4115.0,0.0,7338.0,0.0,3738.0,0.0,0.0,0.0,0.0,394.0,0.0,713.0,1819.0,1422.0,0.0,2723.0,1038.0,0.0,3202.0,321.0,2961.0,5177.0,0.0
2000年,1404.0,5163.0,0.0,7385.0,0.0,4063.0,0.0,0.0,0.0,0.0,443.0,0.0,743.0,3110.0,1708.0,0.0,2772.0,1123.0,0.0,3441.0,382.0,3311.0,5400.0,0.0
2001年,2589.0,5501.0,0.0,7623.0,0.0,3895.0,0.0,0.0,0.0,0.0,477.0,0.0,704.0,3280.0,2101.0,0.0,2841.0,1124.0,0.0,3624.0,403.0,3679.0,5936.0,0.0
2002年,2644.0,5881.0,0.0,7187.0,0.0,3366.0,3817.0,0.0,0.0,0.0,416.0,0.0,988.0,1903.0,2728.0,0.0,3137.0,1178.0,0.0,3760.0,379.0,3762.0,6357.0,707.0
2003年,3265.0,5859.0,0.0,6998.0,0.0,3558.0,4278.0,0.0,0.0,0.0,347.0,0.0,1254.0,1981.0,2955.0,0.0,3464.0,1245.0,0.0,3974.0,373.0,1890.0,6677.0,764.0
2004年,3882.0,4865.0,8274.0,7264.0,0.0,3570.0,5253.0,0.0,0.0,0.0,607.0,0.0,1358.0,2259.0,3153.0,0.0,3980.0,1364.0,0.0,4457.0,408.0,2039.0,6940.0,942.0
