,产权公证办证件数,亲属关系公证办证件数,其他民事公证办证件数,其他民事协议公证办证件数,副本等与原本相符公证办证件数,合伙协议公证办证件数,声明书公证办证件数,夫妻财产协议公证办证件数,委托书公证办证件数,宅基地使用权公证办证件数,房屋买卖公证办证件数,房屋租赁公证办证件数,拆迁协议公证办证件数,收养公证办证件数,死亡公证办证件数,民事法律关系公证办证件数,现场监督公证办证件数,留学协议公证办证件数,签名印鉴属实公证办证件数,继承权公证办证件数,解除收养公证办证件数,计划生育公证办证件数,证据保全公证办证件数,赠与书公证办证件数,赡养协议公证办证件数,遗嘱公证办证件数,遗赠扶养协议公证办证件数
1978年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1980年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1981年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1982年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1983年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1984年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1985年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1986年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1987年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1988年,150084,3791,0,0,5796,0,13846,0,18911,94633,116969,43525,0,18682,2558,981933,31202,7735,0,42507,3509,0,4086,22979,0,24223,18059
1989年,193508,5098,0,0,10509,0,23141,0,20563,135490,120189,54497,0,23853,2657,1516083,64274,8639,0,51472,1767,0,3780,26122,0,14022,15119
1990年,197173,5805,0,0,5424,0,28651,0,16485,208127,113654,51230,0,29072,1995,2319429,61645,6415,0,42107,2073,0,1368,27602,0,14994,19821
1991年,207218,6422,0,0,5617,0,29384,0,19680,294194,116973,64276,0,26177,1926,4663442,65450,6865,0,41456,1819,0,8332,31188,0,15301,12979
1992年,274801,26098,0,0,54039,0,40828,0,21964,463389,209048,66586,0,25822,3176,4761274,103636,7740,0,48562,1585,0,3263,46265,0,16397,11073
1993年,142128,11173,0,0,10105,0,37760,0,33730,204279,312673,59598,0,21094,3767,3496932,99713,7072,0,54739,1340,0,2646,62303,0,17426,9204
1994年,82781,13309,0,0,8611,0,44416,0,30898,68292,576695,54287,0,26779,3597,3269991,120288,5017,0,50107,1146,0,7129,60625,0,26125,11979
1995年,98948,14841,0,0,9503,0,44555,0,31120,55593,235082,53098,0,34117,5583,3051972,127297,5770,0,44823,1540,0,5716,57386,0,25352,10884
1996年,84873,15724,1646929,0,13011,0,67532,0,40824,53782,231537,61525,0,26745,7876,3002692,118934,5711,0,44715,1639,0,7423,56794,0,27895,8085
