,乡镇企业承包公证办证件数,企业租赁公证办证件数,供用电公证办证件数,公司会议记录公证办证件数,公司章程公证办证件数,其他经济公证办证件数,其他经济合同公证办证件数,农林牧副渔业承包公证办证件数,劳务合同公证办证件数,土地使用权出让、转让公证办证件数,工商服务业承包公证办证件数,建筑工程承包公证办证件数,执行许可证明公证办证件数,技术合作公证办证件数,抵押登记公证办证件数,担保公证办证件数,拍卖公证办证件数,招标、投标公证办证件数,提存公证办证件数,法人(代表人)资格公证办证件数,法人委托书公证办证件数,经济公证办证件数,联营公证办证件数,财产租赁公证办证件数,购销公证办证件数,贷款公证办证件数,资产经营协议公证办证件数,还款协议公证办证件数
1978年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1980年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1981年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1982年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1983年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1984年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1985年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1986年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1987年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1988年,40596,32939,28386,0,1256,576243,127390,617512,553340,0,58051,38267,2587,8291,0,7043,4627,15910,1099,24979,46827,2647627,18040,20867,58103,344711,20563,0
1989年,35455,12078,25577,0,4458,744552,213351,666723,567428,0,33463,26324,3096,8228,0,9709,4893,8409,1377,39975,53169,2860029,12543,24807,67734,272428,24252,0
1990年,18466,5357,57982,0,1274,1123847,176871,682927,623259,0,24340,24342,3797,7358,0,9735,3275,5847,1443,35312,42155,3236384,8402,22695,40021,312092,5587,0
1991年,16632,5774,40944,0,3612,1197442,210147,1639969,592944,0,21306,22595,3070,7649,0,16857,8755,6089,1066,30380,52018,4304619,6960,18423,46518,342211,13258,0
1992年,25065,12122,42660,0,3848,1299102,282456,823530,622479,0,30406,32166,16138,10125,0,44081,15238,19591,20532,39634,49925,3939263,14972,33557,46603,408778,46255,0
1993年,25340,52607,30718,0,4226,1099441,317168,314638,595773,0,59095,24966,3033,13089,0,23371,23380,16341,3250,28293,43979,3427093,19374,47961,73059,590876,17115,0
1994年,20344,16665,44077,0,3105,1264568,263957,327039,446518,0,50582,22903,5195,12818,0,33445,42577,14747,807,23057,33106,3289610,15479,47054,74213,496058,31296,0
1995年,18813,13825,20758,0,1995,1412793,301108,277813,390470,0,53126,19535,7404,3389,0,51384,48386,17789,5268,18191,29111,3371540,9547,39698,132759,482306,16072,0
1996年,14174,11368,23399,0,3325,1291001,346937,271497,339539,0,36976,23011,4742,3229,0,68279,75526,28399,1725,25452,28653,3216142,12837,40751,55908,501681,7733,0
1997年,16489,12109,69100,13004,2187,818368,678122,479117,298813,31249,46474,24939,14857,40616,34085,59047,30846,32122,5187,15818,20105,3479341,17347,36684,103102,538056,5259,36239
1998年,13001,13947,67566,12814,3578,1875358,605797,362713,243226,87209,46777,19181,7836,11713,35504,87542,35322,34618,8008,8747,17811,4450009,9661,37791,140598,576243,6633,79888
1999年,12500,10561,40936,34100,5811,1834786,782142,3545075,298531,70206,28820,20529,6800,3005,58242,97869,34844,46067,18078,10785,16399,8004578,8732,35714,145491,757148,7563,73844
2000年,7569,9469,253243,3853,4789,856246,395756,656390,214677,72934,20929,19653,7023,17023,48819,101507,32344,76243,13527,8465,22295,4233306,7118,30037,152499,1109888,4219,86791
2001年,6604,5007,153670,10123,4729,676579,440973,205251,169919,44890,17726,19089,12274,2442,72433,86806,2826,69655,1143,1001,29518,3354326,6794,27257,62354,1171711,42179,11373
2002年,5342,4086,63754,18842,6114,700472,328667,164162,112024,49373,10887,15128,18010,3406,87303,95476,22010,55513,12579,12839,44700,3480962,6355,22489,92404,1399875,2757,131405
2003年,9991,5391,14047,9658,3779,587984,360705,125585,95145,40792,11830,19406,19268,1429,85648,94798,28374,72990,16794,13116,86811,3824249,9676,24546,119422,1851760,4435,110829
2004年,3811,2917,224003,19896,6266,495164,301955,96043,95010,40042,23968,15896,18897,3340,59955,82248,43326,67795,11004,13027,112830,3915752,8864,17419,81717,1950465,1814,118080
2005年,2303,2692,15005,4440,3203,483986,234079,77025,80289,31771,15496,11932,19499,955,66830,79276,21507,66010,5500,12341,97964,3115642,10565,15951,55428,1620008,1216,80371
2006年,3548,4325,9646,10927,3292,441963,226736,95027,69321,31975,4674,12836,14791,1120,62093,84810,45645,77500,8424,98984,135015,3096350,6389,10690,59058,1489700,1419,86442
2007年,1473,1760,11400,6926,2934,496007,209622,76822,58406,29013,4470,9790,18179,961,57053,82825,21994,78109,6748,14121,168578,3009390,4418,7887,41240,1506527,1882,90245
2008年,4525,1482,119235,8025,2683,442673,175995,71543,50380,23494,5552,10198,10368,1279,54384,67292,19727,76582,8742,14423,109101,2579595,4663,7522,34826,1176795,4376,73730
2009年,2116,5534,8568,11060,8434,655363,182793,45069,46984,39761,4832,16292,12732,712,73635,84128,40545,96451,7808,30639,122821,3055445,13558,8201,35534,1389379,7702,104794
2010年,1244,2116,4591,3936,3841,559073,214996,72342,36143,25418,3084,13514,8691,1123,88724,83410,27104,99307,5108,17397,146072,3137515,8903,11502,55820,1532057,9033,102966
2011年,823,2497,4101,13176,3657,544724,191896,28330,41421,22265,1724,11258,9996,765,84390,98754,47274,102597,4359,16338,209156,2974332,3248,7856,33968,1376410,27109,86240
2012年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
