,中国对大洋洲及太平洋岛屿承包工程完成营业额,中国对密克罗尼西亚承包工程完成营业额,中国对巴布亚新几内亚承包工程完成营业额,中国对库克群岛承包工程完成营业额,中国对斐济承包工程完成营业额,中国对新喀里多尼亚承包工程完成营业额,中国对新西兰承包工程完成营业额,中国对汤加承包工程完成营业额,中国对澳大利亚承包工程完成营业额,中国对瓦努阿图承包工程完成营业额,中国对萨摩亚承包工程完成营业额,中国对马绍尔群岛承包工程完成营业额
1978年,,,,,,,,,,,,
1979年,,,,,,,,,,,,
1980年,,,,,,,,,,,,
1981年,,,,,,,,,,,,
1982年,,,,,,,,,,,,
1983年,,,,,,,,,,,,
1984年,,,,,,,,,,,,
1985年,,,,,,,,,,,,
1986年,,,,,,,,,,,,
1987年,,,,,,,,,,,,
1988年,,,,,,,,,,,,
1989年,,,,,,,,,,,,
1990年,,,,,,,,,,,,
1991年,,,,,,,,,,,,
1992年,,,,,,,,,,,,
1993年,,,,,,,,,,,,
1994年,,,,,,,,,,,,
1995年,,,,,,,,,,,,
1996年,,,,,,,,,,,,
1997年,,,,,,,,,,,,
1998年,9969.0,1544.0,931.0,,4.0,,323.0,,6591.0,99.0,98.0,
1999年,11950.0,779.0,8115.0,,561.0,,,,1345.0,99.0,140.0,2.0
2000年,12322.0,1426.0,5003.0,,428.0,,60.0,55.0,1131.0,,141.0,16.0
2001年,10487.0,1180.0,4006.0,,793.0,,1084.0,311.0,2326.0,21.0,48.0,
2002年,9116.0,601.0,1303.0,,2464.0,,216.0,345.0,3703.0,,,
2003年,5564.0,595.0,1123.0,76.0,1588.0,,3.0,186.0,1726.0,33.0,,
2004年,9474.0,274.0,1323.0,363.0,3572.0,,356.0,576.0,2235.0,383.0,90.0,15.0
2005年,7035.0,361.0,2036.0,64.0,1279.0,,206.0,236.0,1738.0,164.0,900.0,51.0
2006年,30681.0,478.0,2876.0,230.0,1057.0,,2829.0,180.0,19926.0,14.0,721.0,2370.0
2007年,41838.0,172.0,18063.0,68.0,918.0,,743.0,188.0,20046.0,453.0,759.0,300.0
2008年,106830.0,945.0,31752.0,153.0,1904.0,40.0,4386.0,800.0,65370.0,266.0,935.0,
2009年,200578.0,510.0,63591.0,1604.0,5774.0,8714.0,3642.0,2310.0,112396.0,127.0,1469.0,
2010年,153039.0,31.0,20157.0,120.0,14166.0,12762.0,2884.0,5390.0,93323.0,1087.0,3119.0,
2011年,232265.0,390.0,100171.0,15.0,13664.0,5710.0,3826.0,9806.0,94474.0,678.0,3531.0,
2012年,206900.0,,38985.0,15.0,17775.0,4413.0,5277.0,9971.0,105994.0,1699.0,182.0,
2013年,204927.0,,45055.0,16.0,14133.0,4100.0,9578.0,4711.0,125061.0,537.0,229.0,
2014年,224761.0,258.0,70426.0,837.0,12904.0,220.0,14815.0,1832.0,114742.0,5387.0,1559.0,
