,集体建筑业企业主营业务税金及附加,集体建筑业企业产值利润率,集体建筑业企业产值利税率,集体建筑业企业从业人员,集体建筑业企业利润总额,集体建筑业企业动力装备率,集体建筑业企业单位数,集体建筑业企业固定资产净价,集体建筑业企业固定资产原价,集体建筑业企业应付职工薪酬,集体建筑业企业建筑业总产值,集体建筑业企业房屋建筑面积竣工率,集体建筑业企业房屋施工面积,集体建筑业企业房屋竣工面积,集体建筑业企业技术装备率,集体建筑业企业按总产值计算劳动生产率,集体建筑业企业本年固定资产折旧,集体建筑业企业税金总额,集体建筑业企业管理费用中的税金,集体建筑业企业自有施工机械设备年末净值,集体建筑业企业自有施工机械设备年末总功率,集体建筑业企业自有施工机械设备年末总台数
1978年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1979年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1980年,0.0,0.0,0.0,166.2,0.0,0.0,4608.0,0.0,0.0,0.0,66.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1981年,0.0,0.0,0.0,175.9,0.0,0.0,4741.0,0.0,0.0,0.0,68.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1982年,0.0,0.0,0.0,200.1,0.0,0.0,5076.0,0.0,0.0,0.0,87.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1983年,0.0,0.0,0.0,258.1,0.0,0.0,6768.0,0.0,0.0,0.0,121.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1984年,0.0,0.0,0.0,293.5,0.0,0.0,6724.0,0.0,0.0,0.0,145.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1985年,0.0,0.0,0.0,334.8,0.0,0.0,7765.0,0.0,0.0,0.0,200.59,0.0,16196.0,8509.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1986年,0.0,0.0,0.0,376.4,0.0,0.0,8977.0,0.0,0.0,0.0,241.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1987年,0.0,0.0,0.0,405.9,0.0,0.0,9837.0,0.0,0.0,0.0,292.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
