,国有建筑业企业主营业务税金及附加,国有建筑业企业产值利润率,国有建筑业企业产值利税率,国有建筑业企业从业人员,国有建筑业企业利润总额,国有建筑业企业动力装备率,国有建筑业企业单位数,国有建筑业企业固定资产净价,国有建筑业企业固定资产原价,国有建筑业企业应付职工薪酬,国有建筑业企业建筑业总产值,国有建筑业企业房屋建筑面积竣工率,国有建筑业企业房屋施工面积,国有建筑业企业房屋竣工面积,国有建筑业企业技术装备率,国有建筑业企业按总产值计算劳动生产率,国有建筑业企业本年固定资产折旧,国有建筑业企业税金总额,国有建筑业企业管理费用中的税金,国有建筑业企业自有施工机械设备年末净值,国有建筑业企业自有施工机械设备年末总功率,国有建筑业企业自有施工机械设备年末总台数
1978年,,,,,,,,,,,,,,,,,,,,,,
1979年,,,,,,,,,,,,,,,,,,,,,,
1980年,,,,481.8,,,1996.0,,,,220.9,,,,,,,,,,,
1981年,,,,509.3,,,2586.0,,,,213.7,,,,,,,,,,,
1982年,,,,532.9,,,2808.0,,,,258.03,,,,,,,,,,,
1983年,,,,544.5,,,2885.0,,,,298.54,,,,,,,,,,,
1984年,,,,554.2,,,3017.0,,,,371.56,,,,,,,,,,,
1985年,,,,576.7,,,3385.0,,,,474.51,,19295.8,8563.1,,,,,,,,
1986年,,,,617.3,,,3608.0,,,,566.83,,20266.3,8870.5,,,,,,,,
1987年,,,,618.2,,,3788.0,,,,660.11,,21153.1,9209.0,,10345.0,,,,,,
1988年,,,,623.5,,,3798.0,,,,776.96,,22297.0,8899.3,,12168.0,,,,,,
1989年,,,,614.7,,,3927.0,,,,878.57,,21399.0,9143.3,,13820.0,,,,,,
1990年,,,,621.0,,,4275.0,,,,935.19,,20303.2,9361.7,,,,,,,,
1991年,,,,638.9,,,4638.0,,,,1062.48,,21395.4,9566.2,,,,,,2213621.0,3248.9,1519637.0
1992年,,,,681.2,,,4985.0,,,,1432.13,,25896.1,10968.0,,,,,,2464943.0,3314.6,1410064.0
1993年,,,,657.1,,,6363.0,,,,2054.83,,32118.1,12085.4,,27419.0,,,,2848367.0,3323.8,1309360.0
1994年,,,,818.2,,,7251.0,,,,3033.66,,39445.8,14143.0,,37079.0,,,,3567576.0,3900.2,1476295.0
1995年,,,,824.3,,,7531.0,,,,3670.25,,44562.9,15182.4,,44525.0,,,,4161384.0,3984.6,1637276.0
1996年,,,,855.9,,,9109.0,,,,4160.21,,48372.8,17491.3,,48604.0,,,,4692164.0,4213.3,1870826.0
1997年,,,,828.6,,,9650.0,,,,4526.52,,48830.1,18507.5,,54627.0,,,,5211213.0,4419.9,1865910.0
1998年,,,,738.4,6.5533,,9458.0,,,,4571.44,,45866.9,17577.4,,59731.0,,,,5180338.0,4343.2,1818321.0
1999年,,,,690.6,24.0822,,9394.0,,,,4861.38,,47055.7,19868.6,,66052.0,,,,5548440.0,4405.0,1876329.0
2000年,,,,635.6,21.5894,,9030.0,,,,5053.79,,46237.5,20145.0,,73302.0,,,,5485356.0,4150.75,1822716.0
2001年,,,,590.65,32.7049,,8264.0,,,,5362.81,,46627.5,20338.2,,82899.0,,,,5561988.0,4008.67,1831423.0
2002年,,,,543.75,45.5858,,7536.0,,,,5582.86,,44567.3,19628.2,,92844.0,,,,6811241.0,3663.21,1710768.0
2003年,,,,524.32,54.0339,,6638.0,,,,6060.23,,46803.66,18774.06,,100409.0,,,,6920800.0,3493.75,1649774.0
2004年,,,,467.36,,,6513.0,,,,7325.61,,52397.94,20552.46,,,,,,6037889.7,3513.53,1485122.0
2005年,282.71,1.68,5.18,480.0,141.42859,7.17,6007.0,1428.84,2352.14,762.59,8432.03,36.4165394367,56308.81,20505.72,13292.23,154435.59,144.44,295.66,12.96,6380890.9,3442.34,1523411.0
2006年,309.95,1.92,5.43,467.6,176.5849,6.88,5555.0,1444.19,2363.43,793.81,9218.56,32.1495985547,62253.81,20014.35,12363.26,170373.24,142.66,323.77,13.82,5781243.7,3217.39,1360393.0
