,港澳台商投资建筑业企业主营业务税金及附加,港澳台商投资建筑业企业产值利润率,港澳台商投资建筑业企业产值利税率,港澳台商投资建筑业企业从业人员,港澳台商投资建筑业企业利润总额,港澳台商投资建筑业企业动力装备率,港澳台商投资建筑业企业单位数,港澳台商投资建筑业企业固定资产净价,港澳台商投资建筑业企业固定资产原价,港澳台商投资建筑业企业应付职工薪酬,港澳台商投资建筑业企业建筑业总产值,港澳台商投资建筑业企业房屋建筑面积竣工率,港澳台商投资建筑业企业房屋施工面积,港澳台商投资建筑业企业房屋竣工面积,港澳台商投资建筑业企业技术装备率,港澳台商投资建筑业企业按总产值计算劳动生产率,港澳台商投资建筑业企业本年固定资产折旧,港澳台商投资建筑业企业税金总额,港澳台商投资建筑业企业管理费用中的税金,港澳台商投资建筑业企业自有施工机械设备年末净值,港澳台商投资建筑业企业自有施工机械设备年末总功率,港澳台商投资建筑业企业自有施工机械设备年末总台数
1988年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1989年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1990年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1991年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1992年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1993年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1994年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1995年,0.0,0.0,0.0,4.96,0.0,0.0,329.0,0.0,0.0,0.0,33.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1996年,0.0,0.0,0.0,8.7,0.0,0.0,417.0,0.0,0.0,0.0,46.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1997年,0.0,0.0,0.0,8.2,0.0,0.0,491.0,0.0,0.0,0.0,63.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998年,0.0,0.0,0.0,9.3,1.0402,0.0,629.0,0.0,0.0,0.0,91.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1999年,0.0,0.0,0.0,11.5,-2.9962,0.0,664.0,0.0,0.0,0.0,91.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000年,0.0,0.0,0.0,8.22,0.9856,0.0,635.0,0.0,0.0,0.0,99.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2001年,0.0,0.0,0.0,7.68,3.7556,0.0,622.0,0.0,0.0,0.0,102.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2002年,0.0,0.0,0.0,7.41,2.4171,0.0,632.0,0.0,0.0,0.0,113.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2003年,0.0,0.0,0.0,7.04,2.8756,0.0,535.0,0.0,0.0,0.0,123.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2004年,0.0,0.0,0.0,6.8,0.0,0.0,511.0,0.0,0.0,0.0,137.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005年,4.62,2.1,4.98,8.6,3.6242,4.81,516.0,24.35,40.06,13.92,172.54,32.0193948101,668.22,213.96,11446.38,161705.72,2.92,4.97,0.34,99000.0,41.5826,35900.0
2006年,6.41,2.6,5.4,8.9,6.25549,5.17,479.0,25.27,41.66,17.68,240.52,30.7359981029,1349.46,414.77,11327.55,198285.24,2.57,6.77,0.36,101200.0,46.23,33700.0
2007年,7.43,3.1451869669,5.89974462509,9.81,8.86786,3.9,482.0,26.17,42.8,22.15,281.95,14.9960709644,1323.48,198.47,9714.73,207765.441469,2.99,7.76648,0.34,95300.0,38.28,42700.0
2008年,9.19049,4.13135210492,7.12629272164,10.478,13.2644,4.5,474.0,31.22133,49.86795,30.61937,321.0668,30.39989723,1385.6185,421.2266,8877.0,224660.490372,4.16055,9.61576,0.42527,93014.4,46.9813,31922.0
2009年,9.308,5.51711096743,8.51185566661,10.8563,18.45969,4.0,444.0,32.16346,54.11096,28.843,334.58979,32.7965966727,1662.0441,545.0939,10402.0,226729.860678,3.85217,10.02011,0.71211,112930.5,43.8099,28692.0
2010年,11.83,5.8,8.7,12.1647,25.6507,3.1,416.0,34.96,59.29,34.04,443.95782,26.9,2162.62,582.46,6417.0,192698.0,6.29,12.7744,0.94,78100.0,37.62,30500.0
2011年,16.34605,4.2660100053,7.05636650941,11.3056,26.13695,4.03308979621,393.0,39.14828,64.43673,44.44539,612.67906,26.9,2681.1517,720.5944,8402.16352958,431710.384092,4.83713,17.09593,0.74988,94991.5,45.5965,28041.0
2012年,17.37391,4.9,7.7,12.9682,31.75528,4.18883885196,385.0,31.22293,55.47893,64.92902,649.74199,25.1,3711.0294,932.5798,7927.16799556,449499.121399,5.49688,18.32159,0.94768,102801.1,54.3217,27667.0
2013年,0.0,0.0,0.0,16.4604,0.0,0.0,390.0,0.0,0.0,0.0,621.96191,21.0133785763,4292.4373,901.9861,0.0,433498.330107,0.0,0.0,0.0,0.0,0.0,0.0
2014年,17.06833,3.47473088141,6.19856272607,15.4415,22.99142,0.0,369.0,73.98117,108.20763,85.16199,661.67484,21.647129382,3760.2547,813.9872,0.0,292054.096284,5.10329,18.02291,0.95458,0.0,0.0,0.0
