,建筑业企业主营业务税金及附加,建筑业企业产值利润率,建筑业企业产值利税率,建筑业企业从业人员,建筑业企业利润总额,建筑业企业动力装备率,建筑业企业单位数,建筑业企业固定资产净价,建筑业企业固定资产原价,建筑业企业应付职工薪酬,建筑业企业建筑业增加值,建筑业企业建筑业总产值,建筑业企业房屋建筑面积竣工率,建筑业企业房屋施工面积,建筑业企业房屋竣工面积,建筑业企业技术装备率,建筑业企业按增加值计算劳动生产率,建筑业企业按总产值计算劳动生产率,建筑业企业本年固定资产折旧,建筑业企业税金总额,建筑业企业管理费用中的税金,建筑业企业自有施工机械设备年末净值,建筑业企业自有施工机械设备年末总功率,建筑业企业自有施工机械设备年末总台数
1978年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1979年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1980年,0.0,0.0,0.0,648.0,0.0,0.0,6604.0,0.0,0.0,0.0,0.0,286.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1981年,0.0,0.0,0.0,685.2,0.0,0.0,7327.0,0.0,0.0,0.0,0.0,282.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1982年,0.0,0.0,0.0,724.0,0.0,0.0,7884.0,0.0,0.0,0.0,0.0,345.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1983年,0.0,0.0,0.0,802.6,0.0,0.0,9653.0,0.0,0.0,0.0,0.0,419.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1984年,0.0,0.0,0.0,847.7,0.0,0.0,9741.0,0.0,0.0,0.0,0.0,517.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1985年,0.0,0.0,0.0,911.5,0.0,0.0,11150.0,0.0,0.0,0.0,0.0,675.1,0.0,35491.8,17072.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1986年,0.0,0.0,0.0,993.7,0.0,0.0,12585.0,0.0,0.0,0.0,0.0,808.07,0.0,37773.9,18601.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1987年,0.0,0.0,0.0,1024.1,0.0,0.0,13625.0,0.0,0.0,0.0,0.0,952.65,0.0,39856.6,19437.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1988年,0.0,0.0,0.0,1044.8,0.0,0.0,14134.0,0.0,0.0,0.0,0.0,1131.65,0.0,42735.2,19060.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1989年,0.0,0.0,0.0,1004.8,0.0,0.0,13106.0,0.0,0.0,0.0,0.0,1282.98,0.0,40649.9,19723.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1990年,0.0,0.0,0.0,1010.7,0.0,0.0,13327.0,0.0,0.0,0.0,0.0,1345.01,0.0,37923.0,19552.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1991年,0.0,0.0,0.0,1058.3,0.0,4.0,13825.0,0.0,0.0,0.0,464.7,1564.33,0.0,41054.2,20256.3,2572.0,0.0,0.0,0.0,0.0,0.0,2722151.0,4250.2,2528110.0
1992年,0.0,0.0,0.0,1157.5,0.0,3.8,14536.0,0.0,0.0,0.0,614.6,2174.44,0.0,51885.4,24045.5,2719.0,0.0,0.0,0.0,0.0,0.0,3147398.0,4431.9,2531578.0
1993年,88.2842,0.0,4.9,1096.7,64.6932,4.3,20998.0,0.0,0.0,0.0,840.7,3253.5,0.0,65374.2,28684.8,4105.0,0.0,24214.0,0.0,0.0,7.9619,4671699.0,4948.9,2608091.0
1994年,125.5481,0.0,4.5,1445.9,72.5172,4.0,23315.0,0.0,0.0,0.0,1322.11,4653.32,0.0,78032.2,32383.3,3446.0,0.0,32184.0,0.0,0.0,10.2027,4981982.0,5712.7,2952629.0
1995年,156.9988,0.0,4.2,1497.87,74.1983,4.7,24133.0,0.0,0.0,0.0,1668.6,5793.75,0.0,89862.8,35666.3,4264.0,0.0,38680.0,0.0,0.0,11.0429,6386383.0,7056.5,3482784.0
1996年,229.6771,0.0,4.3,2121.87,109.3504,4.6,41364.0,0.0,0.0,0.0,2405.6,8282.2,0.0,129087.0,60047.9,4154.0,0.0,39033.0,0.0,0.0,18.2737,8814352.0,9804.8,5649612.0
1997年,253.5052,0.0,4.2,2101.51,109.917,4.1,44017.0,0.0,0.0,0.0,2540.5,9126.5,0.0,128680.3,62244.0,4729.0,0.0,43428.0,0.0,0.0,18.1609,9938659.0,8668.5,5604603.0
1998年,301.93,0.0,4.2,2029.99,117.33,4.3,45634.0,0.0,0.0,0.0,2783.8,10062.0,47.7,137593.6,65682.6,5127.0,0.0,48255.0,0.0,0.0,20.7,10407189.0,8656.5,5833748.0
1999年,317.03,0.0,4.4,2020.13,154.7982,4.5,47234.0,0.0,0.0,0.0,3022.3,11152.9,50.2,147262.5,73924.9,5756.0,0.0,53328.0,0.0,0.0,22.58,11628317.0,9077.8,6110175.0
2000年,362.19,0.0,4.6,1994.3,192.0635,4.6,47518.0,0.0,0.0,0.0,3341.1,12497.6,50.4,160141.1,80714.9,6304.0,0.0,59585.0,0.0,0.0,24.96,12572317.0,9228.1,6259885.0
2001年,472.33,0.0,5.2,2110.66,294.3904,4.86,45893.0,0.0,0.0,0.0,4023.6,15361.56,51.9,188328.7,97699.0,7136.0,0.0,67275.0,0.0,0.0,26.7,15062491.0,10251.72,7022174.0
2002年,566.76,0.0,5.2,2245.19,370.3532,4.91,47820.0,0.0,0.0,0.0,3822.4,18527.18,51.1,215608.7,110217.1,9675.0,0.0,76171.0,0.0,0.0,32.67,21722927.0,11022.52,7540011.0
