,其他制造业用于最终使用的金额,其他服务业用于最终使用的金额,农、林、牧、渔业用于最终使用的金额,化学工业用于最终使用的金额,建筑业用于最终使用的金额,房地产业、租赁和商务服务业用于最终使用的金额,批发零售贸易、住宿和餐饮业用于最终使用的金额,最终使用,机械设备制造业用于最终使用的金额,炼焦、燃气及石油加工业用于最终使用的金额,电力、热力及水的生产和供应业用于最终使用的金额,纺织、服装及皮革产品制造业用于最终使用的金额,运输仓储邮政、信息传输、计算机服务和软件业用于最终使用的金额,采矿业用于最终使用的金额,金属产品制造业用于最终使用的金额,金融业用于最终使用的金额,非金属矿物制品业用于最终使用的金额,食品、饮料制造及烟草制品业用于最终使用的金额
1978年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1979年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1980年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1981年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1982年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1983年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1984年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1985年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1986年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1987年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1988年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1989年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1990年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1991年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1992年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1993年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1994年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1995年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1996年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1997年,29823270.5287,98691398.2266,118325859.223,29671440.3152,167717630.842,37719235.9759,48325186.4331,895046644.148,133328671.664,3779311.18682,4580415.78065,77452679.2766,16342031.5789,5036473.42637,14667869.7839,9413138.19981,11477195.5028,88694836.203
1998年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1999年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000年,28781521.2832,132086662.913,126490434.392,36990758.5291,217126328.608,56998409.8246,53375954.8377,1117755958.29,206875336.5,4086044.96491,7050030.74105,76706969.2022,24896471.1388,6743314.03111,18481199.4946,14915872.2191,11100292.2672,95050357.3414
2001年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2002年,53019.0,280333862.554,122070572.82,38677330.8488,273799510.973,77424601.2887,102503845.228,1482005175.0,267231852.898,-219382.0,184427.0,87386654.7546,37687963.9527,9259032.51452,22380504.9937,15021653.2837,8310056.01522,83368780.0733
2003年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2004年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005年,63007084.4175,383370897.64,128549074.267,62389662.4223,414518177.993,104457025.204,148488248.754,2469642631.1,621039676.417,12773515.18,18925241.9532,149437373.047,99325038.1122,6399646.83502,57279101.2171,35192135.6213,18403257.3437,146087474.68
2006年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007年,105594292.008,474841954.605,142052871.75,100812259.11,601873406.807,159725284.915,202246138.491,3382039494.92,839351430.219,17826630.4923,27401824.3444,202548378.608,130139751.706,10369689.713,108586209.504,45013176.4248,18174951.4358,195481244.785
2008年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010年,140339801.653,730463502.218,172935162.488,139530388.271,984978890.526,300636779.171,268137331.167,5022012609.38,1289786166.22,21514989.7976,47495713.9408,242777593.46,170055882.614,16903200.8877,92435844.6946,64076703.3623,26452639.2574,313492019.647
2011年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012年,156099475.019,996901848.883,286678966.553,160758386.494,1296852813.94,364389891.232,421234155.507,6567743245.76,1511103203.1,53713866.8096,36716264.118,273723635.184,310788618.335,12469606.0972,123540156.232,109392810.95,31114067.6006,422265479.699
2013年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
