,其他制造业进口金额,其他服务业进口金额,农、林、牧、渔业进口金额,化学工业进口金额,建筑业进口金额,房地产业、租赁和商务服务业进口金额,批发零售贸易、住宿和餐饮业进口金额,机械设备制造业进口金额,炼焦、燃气及石油加工业进口金额,电力、热力及水的生产和供应业进口金额,纺织、服装及皮革产品制造业进口金额,运输仓储邮政、信息传输、计算机服务和软件业进口金额,进口,采矿业进口金额,金属产品制造业进口金额,金融业进口金额,非金属矿物制品业进口金额,食品、饮料制造及烟草制品业进口金额
1978年,,,,,,,,,,,,,,,,,,
1979年,,,,,,,,,,,,,,,,,,
1980年,,,,,,,,,,,,,,,,,,
1981年,,,,,,,,,,,,,,,,,,
1982年,,,,,,,,,,,,,,,,,,
1983年,,,,,,,,,,,,,,,,,,
1984年,,,,,,,,,,,,,,,,,,
1985年,,,,,,,,,,,,,,,,,,
1986年,,,,,,,,,,,,,,,,,,
1987年,,,,,,,,,,,,,,,,,,
1988年,,,,,,,,,,,,,,,,,,
1989年,,,,,,,,,,,,,,,,,,
1990年,,,,,,,,,,,,,,,,,,
1991年,,,,,,,,,,,,,,,,,,
1992年,,,,,,,,,,,,,,,,,,
1993年,,,,,,,,,,,,,,,,,,
1994年,,,,,,,,,,,,,,,,,,
1995年,,,,,,,,,,,,,,,,,,
1996年,,,,,,,,,,,,,,,,,,
1997年,-6874072.91231,-496137.750687,-3999546.61662,-21130161.4613,-501159.859,-3672073.63314,-431179.091678,-47932420.3889,-3945329.83305,-1906.09053862,-12051112.983,-1094934.42301,-127590692.556,-7685118.86784,-11566144.3662,-440741.86751,-1062218.6422,-4706433.76864
1998年,,,,,,,,,,,,,,,,,,
1999年,,,,,,,,,,,,,,,,,,
2000年,-12020918.6793,-484950.821139,-5430392.64423,-26909947.0817,-411470.470903,-5215048.95246,-694551.918646,-81031306.293,-5084280.68045,,-11301475.1639,-1575754.25762,-196815421.555,-15957450.226,-20526428.7237,-2045592.64,-2314497.4187,-5811355.58366
2001年,,,,,,,,,,,,,,,,,,
2002年,8877012.0,5574891.34126,6811579.15381,35881658.0,797672.368392,7718880.04191,37980.8831605,129817404.738,5208068.0,106173.0,16304205.8006,2919901.96061,269424809.0,16689591.2309,22669240.0,2760460.27234,1979121.90355,5270967.67503
2003年,,,,,,,,,,,,,,,,,,
2004年,,,,,,,,,,,,,,,,,,
2005年,21097299.2771,9343405.81625,17224665.9038,75450833.5168,1326549.15294,10010259.0383,9764060.14313,284554049.843,13598239.7906,217620.18743,20487496.5762,9821139.85198,593984570.822,62754614.4471,42365542.8321,3398293.9782,2920304.055,9650196.41162
2006年,,,,,,,,,,,,,,,,,,
2007年,27295814.3829,12615391.3169,23279609.1165,91051715.2936,2212627.128,24112559.0103,5233455.95315,337102931.985,14501469.0862,179856.869074,14270615.7874,15028793.4126,740205546.813,103388758.53,49051969.5569,1291731.66114,3772993.1169,15815254.607
2008年,,,,,,,,,,,,,,,,,,
2009年,,,,,,,,,,,,,,,,,,
2010年,50519076.1073,18767468.1567,41033459.8249,118823964.076,3433383.09733,24934988.1946,7549573.39667,425384810.117,20842144.3802,185728.052771,17226804.0419,20033294.5185,1015151806.8,175809623.225,58454312.0839,2146592.64751,5749922.27879,24256662.5959
2011年,,,,,,,,,,,,,,,,,,
2012年,43132590.0604,21061857.0122,51186806.7959,123067057.248,2284306.81036,27953887.4811,11526917.376,458533409.235,28816782.8353,221872.468994,20543195.3338,40051668.6026,1220269786.53,248969888.115,97649841.5002,4433606.88179,7026282.17338,33809816.6032
2013年,,,,,,,,,,,,,,,,,,
2014年,,,,,,,,,,,,,,,,,,
