,其他制造业用于农村居民消费的金额,其他服务业用于农村居民消费的金额,农、林、牧、渔业用于农村居民消费的金额,农村居民消费,化学工业用于农村居民消费的金额,建筑业用于农村居民消费的金额,房地产业、租赁和商务服务业用于农村居民消费的金额,批发零售贸易、住宿和餐饮业用于农村居民消费的金额,机械设备制造业用于农村居民消费的金额,炼焦、燃气及石油加工业用于农村居民消费的金额,电力、热力及水的生产和供应业用于农村居民消费的金额,纺织、服装及皮革产品制造业用于农村居民消费的金额,运输仓储邮政、信息传输、计算机服务和软件业用于农村居民消费的金额,采矿业用于农村居民消费的金额,金属产品制造业用于农村居民消费的金额,金融业用于农村居民消费的金额,非金属矿物制品业用于农村居民消费的金额,食品、饮料制造及烟草制品业用于农村居民消费的金额
1978年,,,,,,,,,,,,,,,,,,
1979年,,,,,,,,,,,,,,,,,,
1980年,,,,,,,,,,,,,,,,,,
1981年,,,,,,,,,,,,,,,,,,
1982年,,,,,,,,,,,,,,,,,,
1983年,,,,,,,,,,,,,,,,,,
1984年,,,,,,,,,,,,,,,,,,
1985年,,,,,,,,,,,,,,,,,,
1986年,,,,,,,,,,,,,,,,,,
1987年,,,,,,,,,,,,,,,,,,
1988年,,,,,,,,,,,,,,,,,,
1989年,,,,,,,,,,,,,,,,,,
1990年,,,,,,,,,,,,,,,,,,
1991年,,,,,,,,,,,,,,,,,,
1992年,,,,,,,,,,,,,,,,,,
1993年,,,,,,,,,,,,,,,,,,
1994年,,,,,,,,,,,,,,,,,,
1995年,,,,,,,,,,,,,,,,,,
1996年,,,,,,,,,,,,,,,,,,
1997年,4415358.41961,5350312.41274,67413084.3361,177983003.2,6082941.76021,0.0,10919727.6511,12883059.9019,10404036.7193,226943.531505,1589523.74572,11064577.9413,3914185.95546,613818.408231,1386979.74237,3614603.2954,1479374.8626,36624474.518
1998年,,,,,,,,,,,,,,,,,,
1999年,,,,,,,,,,,,,,,,,,
2000年,4968866.91499,7093228.362,64185460.9591,246034170.0,7748718.44815,,14860589.4524,11563064.74,14883423.0042,477818.826522,2131846.77987,12596968.9522,6563143.68229,792332.583024,1705711.92812,5712306.02414,1971900.96332,40425924.3989
2001年,,,,,,,,,,,,,,,,,,
2002年,2463038.63243,16677625.2937,49328791.5725,162717000.0,4982991.34281,,22260259.575,14151138.0825,6166088.86372,415227.229217,2290655.25597,6498773.22978,4683771.16933,778639.832237,757054.083014,5371883.13256,995231.803314,24895830.9019
2003年,,,,,,,,,,,,,,,,,,
2004年,,,,,,,,,,,,,,,,,,
2005年,2986255.67453,21482251.0326,49565041.7202,192281799.65,5864261.25703,,22729305.8295,16078867.9594,11299741.8294,922789.422955,2675758.74148,8082866.59974,8698598.06459,610128.791399,1047235.05655,5763400.0,1245151.39652,33230146.2751
2006年,,,,,,,,,,,,,,,,,,
2007年,3582899.56852,26572033.3453,51593464.1814,243172440.41,6135329.72911,,23599829.6921,33575643.358,14357404.3521,1370560.33302,5590814.63705,12015253.8792,11611531.9734,873463.11209,704375.664574,7070858.25838,502316.044211,44016662.2803
2008年,,,,,,,,,,,,,,,,,,
2009年,,,,,,,,,,,,,,,,,,
2010年,6905167.05495,34556283.5413,57424947.6165,325752111.37,7851246.14792,,29591979.6274,38590033.9139,19804819.4491,1265143.65695,7619661.59082,17804619.6764,15042863.3549,839009.126143,787098.537314,10004163.5473,293452.05678,77371622.4705
2011年,,,,,,,,,,,,,,,,,,
2012年,6847689.73022,56648287.2639,80368698.4716,452228451.56,10841058.4892,,47127056.6894,46133906.5418,26404380.6631,2721232.03289,7214289.82896,22379729.7562,23879560.4055,992965.997672,876818.7867,14231498.7684,1493455.37041,104067822.759
2013年,,,,,,,,,,,,,,,,,,
2014年,,,,,,,,,,,,,,,,,,
