,九年一贯制普通初中学校数,其他部门办九年一贯制普通初中学校数,其他部门办初级中学学校数,其他部门办普通初中学校数,农村九年一贯制普通初中学校数,农村其他部门办九年一贯制普通初中学校数,农村其他部门办初级中学学校数,农村其他部门办普通初中学校数,农村初级中学学校数,农村地方企业办九年一贯制普通初中学校数,农村地方企业办初级中学学校数,农村地方企业办普通初中学校数,农村教育部门办九年一贯制普通初中学校数,农村教育部门办初级中学学校数,农村教育部门办普通初中学校数,农村普通初中学校数,农村民办九年一贯制普通初中学校数,农村民办初级中学学校数,农村民办普通初中学校数,初级中学学校数,县镇九年一贯制普通初中学校数,县镇其他部门办九年一贯制普通初中学校数,县镇其他部门办初级中学学校数,县镇其他部门办普通初中学校数,县镇初级中学学校数,县镇地方企业办九年一贯制普通初中学校数,县镇地方企业办初级中学学校数,县镇地方企业办普通初中学校数,县镇教育部门办九年一贯制普通初中学校数,县镇教育部门办初级中学学校数,县镇教育部门办普通初中学校数,县镇普通初中学校数,县镇民办九年一贯制普通初中学校数,县镇民办初级中学学校数,县镇民办普通初中学校数,地方企业办九年一贯制普通初中学校数,地方企业办初级中学学校数,地方企业办普通初中学校数,城市九年一贯制普通初中学校数,城市其他部门办九年一贯制普通初中学校数,城市其他部门办初级中学学校数,城市其他部门办普通初中学校数,城市初级中学学校数,城市地方企业办九年一贯制普通初中学校数,城市地方企业办初级中学学校数,城市地方企业办普通初中学校数,城市教育部门办九年一贯制普通初中学校数,城市教育部门办初级中学学校数,城市教育部门办普通初中学校数,城市普通初中学校数,城市民办九年一贯制普通初中学校数,城市民办初级中学学校数,城市民办普通初中学校数,教育部门办九年一贯制普通初中学校数,教育部门办初级中学学校数,教育部门办普通初中学校数,普通初中学校数,民办九年一贯制普通初中学校数,民办初级中学学校数,民办普通初中学校数
1978年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,113130,0,0,0
1979年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,103944,0,0,0
1980年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87077,0,0,0
1981年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82271,0,0,0
1982年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80775,0,0,0
1983年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77598,0,0,0
1984年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75903,0,0,0
1985年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75903,0,0,0
1986年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75856,0,0,0
1987年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68323,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13589,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10945,0,0,0,0,0,0,75927,0,0,0
1988年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66322,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13772,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11398,0,0,0,0,0,0,74968,0,0,0
1989年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63831,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14068,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11676,0,0,0,0,0,0,73525,0,0,0
1990年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11453,0,0,0,0,0,0,71953,0,0,0
1991年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58912,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15298,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11641,0,0,0,0,0,0,70608,0,0,0
1992年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55534,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16772,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11715,0,0,0,0,0,0,69171,0,0,0
1993年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52912,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17706,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12177,0,0,0,0,0,0,68415,0,0,0
1994年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18496,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12725,0,0,0,0,0,0,68116,0,0,0
1995年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48738,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13274,0,0,0,0,0,0,67029,0,0,0
