,其他部门办职业初中学校数,农村其他部门办职业初中学校数,农村教育部门办职业初中学校数,农村民办职业初中学校数,农村职业初中学校数,县镇其他部门办职业初中学校数,县镇教育部门办职业初中学校数,县镇民办职业初中学校数,县镇职业初中学校数,城市其他部门办职业初中学校数,城市教育部门办职业初中学校数,城市民办职业初中学校数,城市职业初中学校数,教育部门办职业初中学校数,民办职业初中学校数,职业初中学校数
1978年,,,,,,,,,,,,,,,,
1979年,,,,,,,,,,,,,,,,
1980年,,,,,,,,,,,,,,,,
1981年,,,,,,,,,,,,,,,,
1982年,,,,,,,,,,,,,,,,
1983年,,,,,,,,,,,,,,,,
1984年,,,,,,,,,,,,,,,,
1985年,,,,,,,,,,,,,,,,1626.0
1986年,,,,,,,,,,,,,,,,
1987年,,,,,,,,,,,,,,,,
1988年,,,,,,,,,,,,,,,,
1989年,,,,,,,,,,,,,,,,
1990年,,,,,,,,,,,,,,,,1509.0
1991年,,,,,,,,,,,,,,,,
1992年,,,,,,,,,,,,,,,,
1993年,,,,,,,,,,,,,,,,
1994年,,,,,,,,,,,,,,,,
1995年,,,,,,,,,,,,,,,,1535.0
1996年,,,,,,,,,,,,,,,,
1997年,,,,,,,,,,,,,,,,
1998年,,,,,,,,,,,,,,,,
1999年,,,,,,,,,,,,,,,,
2000年,,,,,,,,,,,,,,,,1194.0
2001年,,,,,,,,,,,,,,,,1065.0
2002年,,,,,,,,,,,,,,,,984.0
2003年,,,,,,,,,,,,,,,,1019.0
2004年,4.0,,490.0,11.0,501.0,1.0,161.0,6.0,168.0,3.0,18.0,7.0,28.0,669.0,24.0,697.0
2005年,1.0,,421.0,10.0,431.0,,136.0,8.0,144.0,1.0,18.0,7.0,26.0,575.0,25.0,601.0
2006年,2.0,1.0,215.0,6.0,222.0,,93.0,4.0,97.0,1.0,14.0,1.0,16.0,322.0,11.0,335.0
2007年,4.0,1.0,174.0,2.0,177.0,2.0,80.0,3.0,85.0,1.0,11.0,1.0,13.0,265.0,6.0,275.0
2008年,5.0,2.0,121.0,4.0,127.0,2.0,71.0,3.0,76.0,1.0,9.0,,10.0,201.0,7.0,213.0
2009年,3.0,1.0,82.0,3.0,86.0,1.0,54.0,1.0,56.0,1.0,10.0,,11.0,146.0,4.0,153.0
2010年,1.0,,37.0,,37.0,,26.0,,26.0,1.0,3.0,,4.0,66.0,,67.0
2011年,1.0,,23.0,,23.0,,27.0,,27.0,1.0,3.0,,4.0,53.0,,54.0
2012年,1.0,,19.0,,19.0,,26.0,,26.0,1.0,3.0,,4.0,48.0,,49.0
2013年,1.0,,15.0,,15.0,,21.0,,21.0,1.0,3.0,,4.0,39.0,,40.0
2014年,,,,,,,,,,,,,,,,26.0
