,中央艺术表演场馆从业人数,书场、曲艺场从业人数,其他艺术表演场馆从业人数,其他部门艺术表演场馆从业人数,剧场从业人数,县、市及以下艺术表演场馆从业人数,国有艺术表演场馆从业人数,地、市艺术表演场馆从业人数,影剧院从业人数,执行事业会计制度艺术表演场馆从业人数,执行企业会计制度艺术表演场馆从业人数,文化部门艺术表演场馆从业人数,杂技、马戏场从业人数,省、区、市艺术表演场馆从业人数,综合性艺术表演场馆从业人数,艺术表演场馆从业人数,集体艺术表演场馆从业人数,音乐厅从业人数
1978年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1980年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1981年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1982年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1983年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1984年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1985年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1986年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1987年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43357,0,0
1988年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43357,0,0
1989年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43928,0,0
1990年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44577,0,0
1991年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46758,0,0
1992年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46710,0,0
1993年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47076,0,0
1994年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1995年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1996年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1997年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1998年,0,258,0,0,0,0,0,0,0,0,0,0,68,0,0,44930,0,592
1999年,0,190,0,0,0,0,0,0,0,0,0,0,70,0,0,43574,0,665
2000年,0,198,0,0,0,0,0,0,0,0,0,0,74,0,0,42177,0,718
2001年,0,167,0,0,0,0,0,0,0,0,0,0,75,0,0,40007,0,490
2002年,0,171,0,0,0,0,0,0,0,0,0,0,8,0,0,37471,0,488
2003年,0,209,0,0,0,0,0,0,0,0,0,0,166,0,0,37123,0,334
2004年,0,108,0,0,0,0,0,0,0,0,0,0,98,0,0,35464,0,485
2005年,0,0,538,0,14157,0,0,0,19176,0,0,0,0,0,1334,35678,0,473
2006年,0,0,997,0,15370,0,0,0,16435,0,0,0,0,0,1580,34945,0,563
2007年,0,0,2100,0,17833,0,0,0,16465,0,0,0,0,0,2547,39770,0,825
2008年,0,93,5946,0,16946,0,0,0,14026,0,0,0,173,0,4158,42049,0,707
2009年,0,230,3362,0,0,0,0,0,0,0,0,0,650,0,5406,46436,0,4312
2010年,56,366,2858,17107,16109,23854,29056,10816,14597,0,0,25280,236,7661,6442,42387,822,1779
2011年,142,332,3214,15927,15705,22432,27411,12570,14021,20292,22115,26480,544,7263,7134,42407,619,1457
2012年,199,783,3902,27155,25012,32416,25759,14824,13287,16812,35419,25076,249,4792,7536,52231,204,1462
2013年,176,136,450,0,11280,12215,22011,9283,10437,16430,9606,0,46,4362,3213,26036,233,474
2014年,232,156,500,0,11560,12054,21872,9113,10121,15908,9801,0,38,4310,2863,25709,244,471
