,中央艺术表演场馆观众人次,书场、曲艺场观众人次,其他艺术表演场馆观众人次,其他部门艺术表演场馆观众人次,剧场观众人次,县、市及以下艺术表演场馆观众人次,国有艺术表演场馆观众人次,地、市艺术表演场馆观众人次,影剧院观众人次,执行事业会计制度艺术表演场馆观众人次,执行企业会计制度艺术表演场馆观众人次,文化部门艺术表演场馆观众人次,杂技、马戏场观众人次,省、区、市艺术表演场馆观众人次,综合性艺术表演场馆观众人次,艺术表演场馆观众人次,集体艺术表演场馆观众人次,音乐厅观众人次
1978年,,,,,,,,,,,,,,,,,,
1979年,,,,,,,,,,,,,,,,,,
1980年,,,,,,,,,,,,,,,,,,
1981年,,,,,,,,,,,,,,,,,,
1982年,,,,,,,,,,,,,,,,,,
1983年,,,,,,,,,,,,,,,,,,
1984年,,,,,,,,,,,,,,,,,,
1985年,,,,,,,,,,,,,,,,,,
1986年,,,,,,,,,,,,,,,,,,
1987年,,,,,,,,,,,,,,,,,,
1988年,,,,,,,,,,,,,,,,,,
1989年,,,,,,,,,,,,,,,,,,
1990年,,,,,,,,,,,,,,,,,,
1991年,,,,,,,,,,,,,,,,,,
1992年,,,,,,,,,,,,,,,,,,
1993年,,,,,,,,,,,,,,,,,,
1994年,,,,,,,,,,,,,,,,,,
1995年,,,,,,,,,,,,,,,,,,
1996年,,,,,,,,,,,,,,,,,,
1997年,,,,,,,,,,,,,,,,,,
1998年,,,,,,,,,,,,,,,,,,
1999年,,,,,,,,,,,,,,,,,,
2000年,,,,,,,,,,,,,,,,,,
2001年,,,,,,,,,,,,,,,,,,
2002年,,,,,,,,,,,,,,,,,,
2003年,,,,,,,,,,,,,,,,,,
2004年,,,,,,,,,,,,,,,,,,
2005年,,,,,,,,,,,,,,,,,,
2006年,,,,,,,,,,,,,,,,,,
2007年,,,,,,,,,,,,,,,,,,
2008年,240.0,264.0,1900.0,46225.0,71682.0,56153.0,83453.0,54128.0,39852.0,,,81218.0,1526.0,16922.0,10482.0,127443.0,2871.0,1737.0
2009年,303.0,1145.0,7813.0,48267.0,38840.0,72456.0,81670.0,30374.0,56560.0,,,74926.0,1829.0,20060.0,14448.0,123193.0,6153.0,2558.0
2010年,290.0,970.0,4500.0,42791.0,39843.0,72699.0,95680.0,35231.0,61846.0,,,89928.0,1979.0,24499.0,19775.0,132719.0,2977.0,3806.0
2011年,417.48,998.42,2972.43,39818.46,41415.68,56101.19,68753.22,31222.45,45593.6,42287.6,66800.73,69269.87,2099.56,21347.21,13460.5,109088.33,1080.92,2548.15
2012年,393.67,1080.65,4404.32,125047.09,70572.32,133359.83,110629.27,39766.51,53627.99,37893.97,148150.11,60997.02,657.07,12524.05,53834.05,186044.08,699.58,1867.71
2013年,431.87,127.6,826.54,,23324.37,37808.3,56177.48,28291.42,41098.52,34890.0,42870.0,,85.0,11231.9,10646.54,77763.47,641.18,1654.91
2014年,563.54,153.64,572.98,,23316.21,32116.44,53264.91,24740.3,34132.62,31502.79,36940.71,,87.5,11023.22,8683.15,68443.5,659.84,1497.42
