,中央艺术表演场馆机构数,书场、曲艺场机构数,其他艺术表演场馆数,其他艺术表演场馆机构数,其他部门艺术表演场馆机构数,剧场机构数,县、市及以下艺术表演场馆机构数,国有艺术表演场馆机构数,地、市艺术表演场馆机构数,影剧院数,执行事业会计制度艺术表演场馆机构数,执行企业会计制度艺术表演场馆机构数,文化部门艺术表演场馆机构数,杂技、马戏场机构数,省、区、市艺术表演场馆机构数,综合性艺术表演场馆数,艺术表演场馆机构数,集体艺术表演场馆机构数,音乐厅机构数
1978年,,,,,,,,,,,,,,,,,1095.0,,
1979年,,,,,,,,,,,,,,,,,1255.0,,
1980年,,,,,,,,,,,,,,,,,1444.0,,
1981年,,,,,,,,,,,,,,,,,1415.0,,
1982年,,,,,,,,,,,,,,,,,1424.0,,
1983年,,,,,,,,,,,,,,,,,1688.0,,
1984年,,,,,,,,,,,,,,,,,1684.0,,
1985年,,,,,,,,,,,,,,,,,1377.0,,
1986年,,,,,,,,,,,,,,,,,2058.0,,
1987年,,,,,,,,,,,,,,,,,2148.0,,
1988年,,,,,,,,,,,,,,,,,2081.0,,
1989年,,,,,,,,,,,,,,,,,2050.0,,
1990年,,,,,,,,,,,,,,,,,1955.0,,
1991年,,,,,,,,,,,,,,,,,2068.0,,
1992年,,,,,,,,,,,,,,,,,2037.0,,
1993年,,,,,,,,,,,,,,,,,2024.0,,
1994年,,,,,,,,,,,,,,,,,1998.0,,
1995年,,,,,,,,,,,,,,,,,1958.0,,
1996年,,,,,,,,,,,,,,,,,1934.0,,
1997年,,,,,,,,,,,,,,,,,1947.0,,
1998年,,22.0,,,,,,,,,,,,2.0,,,1929.0,,12.0
1999年,,21.0,,,,,,,,,,,,2.0,,,1911.0,,13.0
2000年,,20.0,,,,,,,,,,,,3.0,,,1900.0,,12.0
2001年,,20.0,,,,,,,,,,,,1.0,,,1854.0,,18.0
2002年,,19.0,,,,,,,,,,,,2.0,,,1829.0,,14.0
2003年,,19.0,,,,,,,,,,,,3.0,,,1900.0,,13.0
2004年,,20.0,,,,,,,,,,,,2.0,,,1928.0,,19.0
2005年,,,45.0,,,770.0,,,,996.0,,,,,,35.0,1866.0,,20.0
2006年,,,57.0,,,831.0,,,,881.0,,,,,,48.0,1839.0,,22.0
2007年,,,87.0,,,956.0,,,,904.0,,,,,,95.0,1732.0,,28.0
2008年,,16.0,65.0,,,952.0,,,,776.0,,,,5.0,,105.0,1662.0,,25.0
2009年,,29.0,166.0,,,,,,,,,,,10.0,,236.0,1499.0,,24.0
2010年,5.0,39.0,149.0,464.0,651.0,711.0,1498.0,1519.0,419.0,885.0,,,1461.0,10.0,190.0,282.0,1461.0,129.0,36.0
2011年,7.0,36.0,131.0,434.0,527.0,703.0,1343.0,1438.0,427.0,802.0,1159.0,797.0,1429.0,8.0,179.0,242.0,1429.0,84.0,34.0
2012年,7.0,32.0,234.0,921.0,1085.0,985.0,1786.0,1419.0,443.0,776.0,1033.0,1331.0,1279.0,8.0,128.0,289.0,1279.0,24.0,40.0
2013年,7.0,10.0,31.0,97.0,,575.0,862.0,1227.0,367.0,612.0,964.0,380.0,,2.0,108.0,101.0,1344.0,20.0,13.0
2014年,7.0,9.0,33.0,96.0,,576.0,852.0,1222.0,369.0,604.0,950.0,388.0,,2.0,110.0,101.0,1338.0,20.0,13.0
