,大中型工业企业新产品销售收入,规模以上工业中外合作经营企业新产品销售收入,规模以上工业中外合资经营企业新产品销售收入,规模以上工业企业新产品销售收入,规模以上工业其他企业新产品销售收入,规模以上工业内资企业新产品销售收入,规模以上工业国有企业新产品销售收入,规模以上工业国有独资公司新产品销售收入,规模以上工业国有联营企业新产品销售收入,规模以上工业外商投资企业新产品销售收入,规模以上工业外商投资股份有限公司新产品销售收入,规模以上工业外资企业新产品销售收入,规模以上工业有限责任公司新产品销售收入,规模以上工业港、澳、台商合作经营企业新产品销售收入,规模以上工业港、澳、台商合资经营企业新产品销售收入,规模以上工业港、澳、台商投资企业新产品销售收入,规模以上工业港、澳、台商投资股份有限公司新产品销售收入,规模以上工业港、澳、台商独资经营企业新产品销售收入,规模以上工业私营企业新产品销售收入,规模以上工业联营企业新产品销售收入,规模以上工业股份合作企业新产品销售收入,规模以上工业股份有限公司新产品销售收入,规模以上工业集体企业新产品销售收入
1978年,,,,,,,,,,,,,,,,,,,,,,,
1979年,,,,,,,,,,,,,,,,,,,,,,,
1980年,,,,,,,,,,,,,,,,,,,,,,,
1981年,,,,,,,,,,,,,,,,,,,,,,,
1982年,,,,,,,,,,,,,,,,,,,,,,,
1983年,,,,,,,,,,,,,,,,,,,,,,,
1984年,,,,,,,,,,,,,,,,,,,,,,,
1985年,,,,,,,,,,,,,,,,,,,,,,,
1986年,,,,,,,,,,,,,,,,,,,,,,,
1987年,,,,,,,,,,,,,,,,,,,,,,,
1988年,,,,,,,,,,,,,,,,,,,,,,,
1989年,,,,,,,,,,,,,,,,,,,,,,,
1990年,,,,,,,,,,,,,,,,,,,,,,,
1991年,,,,,,,,,,,,,,,,,,,,,,,
1992年,,,,,,,,,,,,,,,,,,,,,,,
1993年,,,,,,,,,,,,,,,,,,,,,,,
1994年,,,,,,,,,,,,,,,,,,,,,,,
1995年,26200000.0,,,,,,,,,,,,,,,,,,,,,,
1996年,33819497.9,,,,,,,,,,,,,,,,,,,,,,
1997年,36307610.4,,,,,,,,,,,,,,,,,,,,,,
1998年,43674993.0,,,,,,,,,,,,,,,,,,,,,,
1999年,55500489.7,,,,,,,,,,,,,,,,,,,,,,
2000年,76413740.6,,,,,,,,,,,,,,,,,,,,,,
2001年,87940000.0,,,,,,,,,,,,,,,,,,,,,,
2002年,108380000.0,,,,,,,,,,,,,,,,,,,,,,
2003年,140980000.0,,,,,,,,,,,,,,,,,,,,,,
2004年,204212346.0,,,228085839.3,,,,,,,,,,,,,,,,,,,
2005年,240970909.9,,,,,,,,,,,,,,,,,,,,,,
2006年,312328083.9,,,,,,,,,,,,,,,,,,,,,,
2007年,409761681.4,,,,,,,,,,,,,,,,,,,,,,
2008年,512916075.0,,,570270986.0,,,,,,,,,,,,,,,,,,,
2009年,579780546.0,,,658382082.0,,,,,,,,,,,,,,,,,,,
2010年,728638981.6,,,,,,,,,,,,,,,,,,,,,,
2011年,886502359.4,1333501.3,157203820.8,1005827244.7,4125119.3,645500919.3,75087570.2,49156528.2,1112917.6,262100315.3,10752314.2,92607211.5,252885647.8,480290.9,43828104.5,98220216.5,7287084.4,45896509.0,135095607.8,1946250.1,2733797.9,165657099.2,7969827.0
2012年,981921709.0,2005692.5,155720800.6,1105297711.1,5195815.1,727129402.5,73886123.7,52525311.8,1304449.8,268100188.3,8937882.9,101111836.1,284221579.4,688788.9,48376999.1,110068120.3,7730055.6,52277400.1,165428442.4,1614586.9,2729970.0,181807579.9,12245305.1
2013年,1125619063.0,3281700.0,192316151.5,1284606903.2,1244075.6,837421639.7,30625353.3,62989977.9,827755.0,306968507.7,10080712.9,101077562.1,358674342.7,973699.9,57357357.0,140216755.8,7764855.9,73835408.9,228237347.8,882324.1,974706.3,208367328.1,8416161.8
2014年,1236008137.2,3250530.9,195410555.6,1428952967.9,1097921.2,944582126.3,39011856.3,59561455.1,930095.7,318280407.5,10186588.2,109216835.1,392132502.5,2006792.3,67025381.1,166090434.1,9460306.9,87573541.9,273564962.5,975622.6,1278315.6,228045356.2,8475589.4
