,大中型工业企业开发新产品经费,规模以上工业中外合作经营企业开发新产品经费,规模以上工业中外合资经营企业开发新产品经费,规模以上工业企业开发新产品经费,规模以上工业其他企业开发新产品经费,规模以上工业内资企业开发新产品经费,规模以上工业国有企业开发新产品经费,规模以上工业国有独资公司开发新产品经费,规模以上工业国有联营企业开发新产品经费,规模以上工业外商投资企业开发新产品经费,规模以上工业外商投资股份有限公司开发新产品经费,规模以上工业外资企业开发新产品经费,规模以上工业有限责任公司开发新产品经费,规模以上工业港、澳、台商合作经营企业开发新产品经费,规模以上工业港、澳、台商合资经营企业开发新产品经费,规模以上工业港、澳、台商投资企业开发新产品经费,规模以上工业港、澳、台商投资股份有限公司开发新产品经费,规模以上工业港、澳、台商独资经营企业开发新产品经费,规模以上工业私营企业开发新产品经费,规模以上工业联营企业开发新产品经费,规模以上工业股份合作企业开发新产品经费,规模以上工业股份有限公司开发新产品经费,规模以上工业集体企业开发新产品经费
1978年,,,,,,,,,,,,,,,,,,,,,,,
1979年,,,,,,,,,,,,,,,,,,,,,,,
1980年,,,,,,,,,,,,,,,,,,,,,,,
1981年,,,,,,,,,,,,,,,,,,,,,,,
1982年,,,,,,,,,,,,,,,,,,,,,,,
1983年,,,,,,,,,,,,,,,,,,,,,,,
1984年,,,,,,,,,,,,,,,,,,,,,,,
1985年,,,,,,,,,,,,,,,,,,,,,,,
1986年,,,,,,,,,,,,,,,,,,,,,,,
1987年,,,,,,,,,,,,,,,,,,,,,,,
1988年,,,,,,,,,,,,,,,,,,,,,,,
1989年,,,,,,,,,,,,,,,,,,,,,,,
1990年,,,,,,,,,,,,,,,,,,,,,,,
1991年,,,,,,,,,,,,,,,,,,,,,,,
1992年,,,,,,,,,,,,,,,,,,,,,,,
1993年,,,,,,,,,,,,,,,,,,,,,,,
1994年,,,,,,,,,,,,,,,,,,,,,,,
1995年,1648000.0,,,,,,,,,,,,,,,,,,,,,,
1996年,2073308.8,,,,,,,,,,,,,,,,,,,,,,
1997年,2239933.2,,,,,,,,,,,,,,,,,,,,,,
1998年,2451566.0,,,,,,,,,,,,,,,,,,,,,,
1999年,3045519.3,,,,,,,,,,,,,,,,,,,,,,
2000年,3888539.2,,,,,,,,,,,,,,,,,,,,,,
2001年,4220419.0,,,,,,,,,,,,,,,,,,,,,,
2002年,5092038.0,,,,,,,,,,,,,,,,,,,,,,
2003年,6389593.0,,,,,,,,,,,,,,,,,,,,,,
2004年,8209592.0,,,9657000.0,,,,,,,,,,,,,,,,,,,
2005年,14571954.7,,,,,,,,,,,,,,,,,,,,,,
2006年,18629418.0,,,,,,,,,,,,,,,,,,,,,,
2007年,24533447.9,,,,,,,,,,,,,,,,,,,,,,
2008年,30955692.2,,,36760615.3,,,,,,,,,,,,,,,,,,,
2009年,36546131.0,,,44819855.0,,,,,,,,,,,,,,,,,,,
2010年,44206917.4,,,,,,,,,,,,,,,,,,,,,,
2011年,56971680.7,116466.4,5830463.2,68459429.8,418186.0,49343583.4,4633558.1,4126141.5,75552.8,12130839.0,854873.5,5314612.4,19893923.8,67766.5,2960830.9,6985007.4,530982.0,3400280.2,11177558.7,109033.9,211025.8,12474503.6,425793.5
2012年,65718382.0,169633.5,7016444.0,79985405.1,482321.9,57916116.8,5510422.4,4477729.5,83248.2,13945735.5,797599.4,5922677.3,22686245.6,117384.4,3301316.2,8123552.8,556857.3,4101610.2,14625193.2,108230.2,221537.6,13693781.0,588384.9
2013年,74406399.3,242580.5,7969857.1,92467435.9,100218.6,68562481.2,2854119.8,5836971.6,65430.0,14894822.6,777059.6,5887815.3,29403877.5,138929.3,3644876.5,9010132.1,578806.5,4634668.2,19762562.3,67878.4,86268.2,15703824.1,583732.3
2014年,79532787.9,246113.2,8565541.3,101231582.0,81207.8,75759343.4,2702241.9,5766656.4,49787.8,15832730.3,852648.4,6147815.9,32526953.7,139394.2,4043951.9,9639508.3,665508.6,4783414.2,23169548.3,53643.8,74667.0,16546230.2,604850.7
