,专业公共卫生机构平均住院日,专科医院平均住院日,专科疾病防治院(所、站)平均住院日,中医医院平均住院日,中西医结合医院平均住院日,临床检验中心平均住院日,乡镇卫生院平均住院日,其他医疗卫生机构平均住院日,医院平均住院日,卫生院平均住院日,各类医疗卫生机构平均住院日,基层医疗卫生机构平均住院日,妇幼保健院(所、站)平均住院日,护理院平均住院日,民族医院平均住院日,疗养院平均住院日,社区卫生服务中心(站)平均住院日,综合医院平均住院日,街道卫生院平均住院日,门诊部平均住院日
1991年,0.0,0.0,0.0,0.0,0.0,0.0,5.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1992年,0.0,0.0,0.0,0.0,0.0,0.0,5.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1993年,0.0,0.0,0.0,0.0,0.0,0.0,4.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1994年,0.0,0.0,0.0,0.0,0.0,0.0,4.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1995年,0.0,0.0,0.0,0.0,0.0,0.0,4.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1996年,0.0,0.0,0.0,0.0,0.0,0.0,4.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1997年,0.0,0.0,0.0,0.0,0.0,0.0,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998年,0.0,0.0,0.0,0.0,0.0,0.0,4.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1999年,0.0,0.0,0.0,0.0,0.0,0.0,4.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000年,0.0,0.0,0.0,0.0,0.0,0.0,4.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2001年,0.0,0.0,0.0,0.0,0.0,0.0,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2002年,0.0,0.0,0.0,0.0,0.0,0.0,3.99,0.0,10.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2003年,0.0,0.0,0.0,0.0,0.0,0.0,4.21,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2004年,0.0,0.0,0.0,0.0,0.0,0.0,4.43,0.0,10.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005年,0.0,0.0,0.0,0.0,0.0,0.0,4.63,0.0,10.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006年,0.0,0.0,0.0,0.0,0.0,0.0,4.62,0.0,10.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007年,0.0,0.0,0.0,0.0,0.0,0.0,4.81787113097,0.0,10.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008年,0.0,17.6,16.3202753587,10.457743949,0.0,0.0,4.4355387637,0.0,10.7210968943,4.46772929661,8.61081004212,0.0,5.3670424554,89.5390060463,0.0,11.319890147,8.51667057415,10.095025955,6.94830966,3.72062435302
2009年,0.0,17.0,16.6,10.4,0.0,0.0,4.79095295285,0.0,10.5,4.8,8.6,0.0,5.4,0.0,0.0,8.7,6.8,9.9,0.0,4.1
2010年,5.99150520399,17.3373925174,17.1999908163,10.6388376765,0.0,0.0,5.2,10.3269704785,10.4875531757,5.1914540322,8.87219587701,5.46564264186,5.40086738467,0.0,0.0,10.3269704785,9.25265225046,9.77950686296,7.11983733456,5.73611495816
2011年,6.01163523468,16.1048865416,16.072594907,10.4899680419,10.8617074424,0.0,5.5832211584,9.08208712053,10.3046999487,5.59442228944,9.00314303642,5.86972961439,5.43640658914,69.9571993487,11.8988240957,9.08208712053,9.06717687647,9.66895174734,7.25200185979,5.98585681645
2012年,6.03402633608,15.5047711838,16.8592716616,10.1631581064,10.8152097089,0.0,5.67745243058,8.77581818561,10.0072176821,5.69023436524,8.84666783402,5.92852311065,5.43700487391,72.6371787862,11.2088604777,8.77581818561,9.21529142277,9.3934706366,7.78053892591,0.0
2013年,6.18053476753,14.8901111641,15.7664244069,10.1263599534,10.9437705016,0.0,5.9213364129,9.53099943077,9.84150826642,5.92844711803,8.8511769054,6.16023676478,5.54069512569,76.6060200142,10.9347543773,9.53099943077,9.37241367153,9.22526807927,7.23490816107,0.0
2014年,6.2303434778,14.4417275655,14.9553031423,9.9720331747,10.5859689366,0.0,6.2671714911,8.7540845757,9.6468773212,6.2724628866,8.859793166,6.4975785824,5.6811810437,77.8394009639,10.7518110087,8.7540845757,9.5545285567,9.0200084712,7.2795376493,0.0
