,一次能源天然气生产量,交通运输、仓储和邮政业天然气消费总量,其他行业天然气消费总量,农、林、牧、渔、水利业天然气消费总量,出口天然气量(-),可供本地区消费的天然气能源量,天然气平衡差额,天然气能源消费总量,工业天然气消费总量,年初年末天然气库存差额,建筑业天然气消费总量,批发、零售业和住宿、餐饮业天然气消费总量,生活消费天然气总量,进口天然气量
1978年,,,,,,,,,,,,,,
1979年,,,,,,,,,,,,,,
1980年,,,,,,,,,,,,,,
1981年,,,,,,,,,,,,,,
1982年,,,,,,,,,,,,,,
1983年,,,,,,,,,,,,,,
1984年,,,,,,,,,,,,,,
1985年,,,,,,,,,,,,,,
1986年,,,,,,,,,,,,,,
1987年,,,,,,,,,,,,,,
1988年,,,,,,,,,,,,,,
1989年,,,,,,,,,,,,,,
1990年,,,,,,,,,,,,,,
1991年,,,,,,,,,,,,,,
1992年,,,,,,,,,,,,,,
1993年,,,,,,,,,,,,,,
1994年,,,,,,,,,,,,,,
1995年,,,,,,,,,,,,,,
1996年,,,,,,,,,,,,,,
1997年,,,,,,,,,,,,,,
1998年,,,,,,,,,,,,,,
1999年,,,,,,,,,,,,,,
2000年,272.0,8.81,0.64,202.0,31.39,240.61,-4.42,245.03,199.0,,0.82,3.44,32.32,
2001年,303.29,10.96,0.7,217.8,30.39,272.9,-1.4,274.3,214.81,,0.72,5.0,42.11,
2002年,326.61,16.37,0.0,227.5,32.03,294.58,2.74,291.84,222.53,,0.68,6.1,46.16,
2003年,350.15,18.82,0.0,267.8,18.73,331.42,-7.66,339.08,260.82,,0.7,6.85,51.89,
2004年,414.6,26.16,14.14,,24.4,390.2,-6.519,396.719,278.63,,1.39,9.179,67.22,
2005年,493.2,38.01,9.122724,,29.69,463.51,-4.124732,467.634732,328.79,,1.49,10.792008,79.43,
2006年,585.53,47.24,12.768,,28.98,566.05,4.635981,561.414019,383.9664,,1.66,13.1638,102.615819,9.5
2007年,692.4,46.886,16.0902,,26.0,706.6,1.3685553,705.2314447,479.66995,,2.0916,17.108,143.3861647,40.2
2008年,803.0,71.5536647094,20.91726,,32.45,816.59,3.65570436,812.93429564,531.6043029,,0.99,17.75,170.12236564,46.04
2009年,852.69,91.0657127094,23.6365038,,32.09,896.94,1.7415757044,895.198424296,577.89660542,,0.968715,23.9625,177.669705496,76.34
2010年,948.48,106.696517509,26.00015418,0.5,40.3,1072.9134,3.4983382989,1075.7561617,687.260640646,,1.162458,27.24057,226.895699521,164.7334
2011年,1026.89,138.349344449,27.1441609639,0.56,31.88,1306.5335,1.23087598669,1305.3,840.0,,1.2787038,33.64210395,264.382215299,311.5235
2012年,1071.53,154.508876265,32.8770077595,0.644,28.9,1463.21294,0.212929756585,1463.00001024,946.747627162,,1.26297574326,38.6884195425,288.274352798,420.58294
2013年,,,,,,,,,,,,,,
2014年,,,,,,,,,,,,,,
