,一次能源生产量,交通运输、仓储和邮政业消费总量,其他行业消费总量,农、林、牧、渔、水利业消费总量,出口量(-),可供消费的能源总量,回收能,工业消费总量,工业终端消费量,平衡差额,年初年末库存差额,建筑业消费总量,批发、零售业和住宿、餐饮业消费总量,损失量,炼油加工转换损失量,炼焦加工转换损失量,生活消费总量,终端消费量,能源加工转换损失量,能源消费总量,进口量
2004年,196647.53961,16642.2055441,8242.82074675,5697.35107445,11646.0320807,212650.113082,2507.98632,152506.508847,143607.370825,-805.870545375,-1452.06876244,3114.6012239,4484.09083772,5439.1561519,1415.604818,556.899089602,22768.4097995,204235.72108,3781.1063961,213455.983628,26592.6879949
2005年,229036.720466,19135.5815631,10483.5999072,6860.45677429,11257.0,254618.721533,7452.208918,187914.462304,177775.23527,-6750.6730274,2563.632682,3485.72903226,5916.62695585,6609.94545722,1272.541413,854.826904768,27572.9003516,250877.374657,3882.07444576,261369.39456,26823.0
2006年,232166.569058,20284.1891721,10275.978999,6330.70640659,10925.0,256034.472679,3725.0,184945.451267,174224.820139,-2641.82638685,-104.008851542,3760.75895767,5314.04622466,7100.43327834,1391.19574034,734.35964462,27765.1619148,247520.265364,4055.60042331,258676.299066,31171.0
2007年,247279.192147,21959.1315921,11158.1904443,6228.39530831,9995.0,274800.29004,6166.0,200531.371713,189032.273437,-5707.6539771,-3711.34435101,4127.52411678,5689.37960664,7657.47412719,1325.48493956,853.818238072,30813.8976721,268609.803862,4240.66602725,280507.944017,35062.0
2008年,260552.0,22917.2868585,11771.3361774,6013.12695882,9955.0,287011.282859,6510.836,209302.117417,196832.492321,-4437.0147451,-6860.0,3812.52989014,5733.58078577,7736.14345794,1380.18257412,819.064131193,31898.3223911,278546.140879,5166.01326636,291448.297604,36764.0
2009年,274619.0,23692.0,12690.0,6251.0,8440.0,311277.0,7627.0,219197.0,205322.0,4630.0,-9841.0,4562.0,6412.0,8065.0,1784.0,1010.0,33843.0,292299.0,6283.0,306647.0,47313.0
2010年,312124.754849,27102.0690776,15051.9602258,7266.49938045,8802.67357913,365588.170755,8957.992623,261377.461164,238652.041517,4940.31018947,-4362.57001,5533.19383171,7847.09674752,8884.74881213,1959.551397,1595.16328842,36469.6317324,337468.729131,14294.3826228,360647.860566,57670.6668722
2011年,340177.506,29694.1676475,16843.0743,7675.2289802,8448.53155779,390393.506845,0.0,278047.83388,264697.51887,3350.28887372,-6772.20915,6051.66387106,9147.49855739,9199.34899228,1791.579773,1833.19115056,39583.6629271,373296.068404,15411.931165,387043.217971,65436.7415524
2012年,351040.751999,32560.5961832,18406.6326551,7803.56890082,7374.40454502,407594.311257,0.0,284711.504523,269900.311136,5456.44287468,-4772.650079,6337.40754127,10012.3262303,9725.75323292,2153.453925,2179.23936418,42305.8386981,386888.498297,16763.0,402137.868383,68700.6138829
2013年,358783.760868,34819.0224254,19762.5940623,8054.79716128,8004.76669206,417415.312741,0.0,291130.63433,278513.507219,502.24739572,-6784.07823,7016.98199585,10598.1571767,10438.9885385,1898.892458,2433.33458224,45530.8401352,403813.719653,15993.5094936,416913.065345,73420.3967942
2014年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
